code,title,credits,description,,,,
COUN 4310,Learning Theories for Addiction Counselors,3,"A study of major theories of learning, motivation and cognition as they apply to addictions counseling.",,,,
COUN 4307,Consultation and Supervision for Addictions Professionals,3,Explores models and techniques of consultation and supervision. The course will address the importance of ongoing supervision and continuing education.,,,,
COUN 4308,Process Addictions,3,Regulation and control of intermediary metabolism. Introduction to biochemical genetics.,,,,
COUN 4306,"Suicide and Violence Assessment, Prevention, and Treatment",3,"Explores suicide and violence assessment, prevention strategies and treatment protocols related to underlying substance use disorder. The course will also address use of setting specific policies and procedures for handling crisis and dangerous situations for the safety of professional and clients.",,,,
COUN 4301,"Documentation, Ethics and the Law for Addictions Counselors",3,"Explore the Licensed Chemical Dependency Counselor (LCDC) rules in Texas and the NAADAC code of ethics for best practices. Content will also include billing/payment for services, insurance coverage and current barriers to addiction services while striving to have parity with MH coverage.",,,,
COUN 4304,Adolescents and Addictions,3,"Examines therapeutic approaches and techniques for counseling adolescents with addictions. Course will also focus on the other stakeholders, such as parents and educational institution personnel that play a significant role in adolescent lives.",,,,
COUN 4309,Addictions Practicum,3,A 300-hour supervised practicum at a Clinical Training Institution (CTI) under the supervision of a LCDC or Qualified Credentialed Counselor (QCC).,,,,
COUN 4305,Addictions and Specific Adult Populations,3,"Explores the best practices for addictions treatment with diverse populations focusing specifically on populations such as veterans, LGBTQ individuals, incarcerated individuals and those with HIV, AIDS, and other sexually transmitted diseases.",,,,
COUN 3313,Addictions and Personal Nutrition,3,"Introduces counseling students to nutritional information as it relates to personal health and nutrition, and commonly held misconceptions.",,,,
COUN 3312,Socio-Cultural and Political Advocacy in Addictions Counseling,3,"Examines current social, political, economic and cultural context of addiction, including risk and resiliency factors for individuals, groups and their environment. Content will also include importance and method for developing and maintaining relationships with civic groups, agencies, other professionals, governmental entities and the community for resources, referrals and advocacy.",,,,
COUN 3306,Career Counseling,3,"Students will learn the basics of helping individuals involved in addiction recovery make career decisions, choices and advocate for necessary mental health support on the job as well as explore the implications of legal action on various occupational choices.",,,,
COUN 3301,Developmental Counseling,3,"Provides an in-depth look at the science of human development and how it applies to the field of counseling. Using counseling applications, case studies and journal questions, the course introduces developmental theories and research within the context of clinical practice.",,,,
COUN 2307,Family Dynamics,3,"Explores the family as a dynamic system, focusing on the effects of addiction on family roles, rules and behavior patterns across generations using various family theories. Content will also focus on the role of family, social networks and community systems as a support system for the person with addiction and supports for family members such as codependent and Alateen support groups.",,,,
COUN 2303,Addictions Intervention and Prevention,3,"Investigates addiction professional’s role in prevention and intervention including strategies and interdisciplinary approaches available to impede the illegal use of alcohol, tobacco and other drugs and to foster safe, healthy, and drug-free environments.",,,,
COUN 3307,Wellness and Professional Practice,3,"Explores models and principles of stress management and wellness, focused on self-awareness of personal, professional and cultural variables.",,,,
COUN 2306,Counseling Skills for Addictions Professionals,3,Course develops counseling micro-skills necessary to establish an effective therapeutic relationship with clients to reduce negative effects of substance use.,,,,
COUN 2302,Addictions Counseling Theories,3,"Approval of instructor, chair and associate dean.",,,,
COUN 2305,Group Process for Addictions,3,Explores group counseling skills and techniques including stages of group development and ethical issues specific to group process.,,,,
COUN 1302,Pharmacology of Addictions,3,"Explores the different types of substances abused and the psychological and physiological consequences, including tolerance, withdrawal and drug interaction.",,,,
COUN 2301,Treatment Planning for Relapse Prevention,3,"Explores the different models and methods of individualized treatment planning and relapse prevention including interdisciplinary medication-assisted treatment, readiness for treatment, and ethical guidelines for treatment. The course will focus on involving the client in the assessment of current issues and the use of data-driven methods for measuring treatment outcomes. Content will also include methods to involve family when possible and build sober-support networks such as Alcoholics and Narcotics Anonymous.",,,,
COUN 1301,Addictions Counseling,3,"A review of the research, theory and history of addiction counseling, including requirements for and scope of licensure and ethical guidelines as a chemical dependency counselor.",,,,
COUN 1304,"Screening, Assessment, Diagnosis, and Referral",3,"Explores the DSM diagnostic criteria for addictions, the different screening and assessments available for addictions and referral for other services. Use of a systematic biopsychosocial assessment and placement within the continuum of care will also be explored. Further dual diagnosis and its implications will be covered.",,,,
CINF 4391,Selected Topics in Computer Information Systems,3,Regulation and control of intermediary metabolism. Introduction to biochemical genetics.,,,,
CINF 4389,Independent Study in Computer Information Systems,3,Study of cellular biochemical components and metabolism.,,,,
CINF 4388,Senior Project in Computer Information Systems,3,"May be taken only during the final semester before graduation. Registration is restricted to students with an approved Candidate Plan of Study. Students develop a significant computer application for a realistic project in CIS that emphasizes the entire software lifecycle. Professional behavior, ethics and teamwork will be developed. Students prepare written reports and give oral presentations. Laboratory instruction.",,,,
CINF 4379,Internship in Computer Information Systems,3,Supervised work experience in an approved industrial firm or government agency. Written and oral report required.,,,,
CINF 4381,Computer Forensics,3,"This course examines the various media and strategies of storing information. Students will learn different aspects of computer crime and ways to protect, uncover and understand digital evidence. Students will gain experience using hardware and software tools to perform investigations. Laboratory instruction.",,,,
CINF 4341,Network Defense,3,"This course provides an essential study of network defense, related vulnerability and security issues and common tools available for network packet analysis and exploitations.",,,,
CINF 4364,Computer Systems Administration,3,"Administration of computers and their operating systems, both as stand-alone and in network topologies. Unix is used as an example. Laboratory instruction.",,,,
CINF 4334,Electronic Commerce,3,Key concepts and principles of e-commerce; importance of e-commerce in the global economy; technological elements of the infrastructure of e-commerce; business and social factors associated with the success or failure of e-commerce; critical thinking to strategize and plan technology-based solutions to achieve business goals.,,,,
CINF 4320,Web Application Development,3,"Survey of languages, tools and techniques for web application development, HTML, XHTML, CSS, JavaScript, Dynamic HTML, Server-side web development using .Net Framework with ASP.Net and C#, Perl CGI programming with Perl, XML. Laboratory instruction.",,,,
CINF 4324,Modern System Analysis and Design,3,Key concepts and principles of system analysis and design within the context of information system development. Emphasis on the application of tools and techniques along with the role and responsibilities of the systems analyst as well as the systems project manager.,,,,
CINF 4323,Computer Security,3,"Introduction to encryption, decryption and cryptographical protocols; security components; security policies and mechanisms in computer applications, computer systems and networks; legal and ethical issues in computer security. Laboratory instructions.",,,,
COMM 4350,3-D Computer Modeling,3,"Introduction to 3-D modeling techniques for animation, images, and 3-D computer sculptures, including building 3-D models, modeling techniques used in 3-D software applications, texture mapping and lighting in a 3-D environment.",,,,
COMM 4334,Adaptation and Text,3,"of evolving theories and aesthetics of performance-studies stagecraft, with hands-on, systematic training",,,,
COMM 4301,Global Issues in Film,3,"Global issues in media are addressed using a critical/cultural studies approach. Focuses on global mediated issues (film, texts, news, internet, etc.), to foster an understanding of diversity and to teach global media literacy.",,,,
COMM 4324,Strategic Social Media,3,"Strategic Social Media is designed to teach the practices necessary for creating high-touch customer experiences that drive community across multiple social media platforms. In this course, students will learn how strategic collaboration, tactical execution, and measurement of social media efforts are handled in today’s businesses. The course will cover blog writing, video marketing, Facebook, Twitter, LinkedIn, and an array of niche social media platforms.",,,,
COMM 4323,Public Relations Campaigns,3,"This course is designed to teach you how to think like a public relations professional. To do so, the course emphasizes the preparation of problem-solving campaigns, programs and projects. Students will implement the four-step public relations process in the form of group and individual proposals. Students will be expected to apply skills in critical thinking, numeracy, writing, reading, research and new technologies. (Cross-listed with DMST 5330.)",,,,
COMM 4061,Communication Portfolio,0,"A pass/fail exit requirement included as part of the degree plan’s capstone requirement. Students showcase their best work, both textual and graphic, in an electronic portfolio.",,,,
COMM 3357,Crisis Communication,3,"Examination of strategic communication practices throughout the three stages of a crisis event. Special emphasis is placed on crisis planning, media relationships, image restoration, ethical responses and organizational learning.",,,,
COMM 4322,Public Relations Writing,3,"Professional approach to crafting messages that build mutually beneficial relationships between organizations and their constituents. Includes press releases, public service announcements, newsletters, brochures, speeches and social media.",,,,
COMM 3360,Web Design,3,"Fundamentals of web design, including graphical editors, basic layouts, colors and accessibility standards.",,,,
COMM 3356,Advertising Procedure,3,"Study of consumer advertising from several perspectives: historical forces, advertising agency operations and successful campaigns. Students learn about targeting demographics, innovative advertising methods and how to identify and collect information.",,,,
COMM 3355,Communication Ethics,3,Examination of a range of ethical principles and case studies with the ultimate goal of helping students work out their own professional standards and commit to them.,,,,
COMM 3354,Gathering Information,3,"Research techniques in which students identify and collect information from libraries, archives, databases, the internet and interviews. The gathered information is then used to write magazine articles, reports and strategic studies.",,,,
COMM 3353,Alternative Media Marketing and Case Studies,3,"Persuasive communication as it relates to integrated marketing and public relations, from a communications standpoint. Case studies are used to teach creative strategies from idea to campaign implementation, including international case studies that require social and cultural diversity.",,,,
COMM 3351,Mass Media and Society,3,"Exploration of mediated communication and media effects with an advanced critical cultural approach to media and society topics, relative theories and effects. Research- and writing-intensive course.",,,,
COMM 3352,Media Law,3,Laboratory for Digital Circuits,,,,
COMM 3350,Visual Communication,3,"Introduction to design elements and theory that are critical to creating media content to serve specific communication goals. Concepts covered include layout, color scheme, concept design, composition, balance, visual development, usability, interface design and audience engagement.",,,,
COMM 3323,Social Media Content Production,3,"Learn strategies and tactics for brand storytelling, the process for developing compelling content created for social channels, owned media and paid advertising, and the digital content creation tools used.",,,,
COMM 3341,Storytelling and Oral Communication,3,"This course uses embodied learning to explore three core forms of the oral tradition: oral histories, autobiographical narratives and personal advocacy narratives.",,,,
COMM 3340,Environmental Communication,3,"In this course, students will learn the various means of communicating messages regarding environmental issues, whether these messages are created by organizations to advocate on behalf of the environment, to create perceptions of caring for the environment or to define the environment.",,,,
COMM 3322,Social Media Analytics,3,"Advanced study of collection, reporting, and analysis of web date, user demographics and psychographics, understanding current data reporting platforms such as Google Analytics, Google AdSense, and Facebook Analytics.",,,,
COMM 3320,Principles of Public Relations,3,"Overview of persuasive communication as it pertains in theory and practice to public relations, marketing and advertising practices.",,,,
COMM 3321,Media Writing,3,"Media writing with an emphasis on community-centered journalism, or public prose, in an off- and online environments. Writing skills: unbiased fact-gathering and interviewing techniques. Basic news to investigative features will be emphasized. If taken at a lower level, communication majors may replace this course with an upper-level communication elective with permission of adviser. Communication majors must pass with a grade of C or better.",,,,
CSCI 6530,Research Methods in Computer Science,5,"A study of current methods and techniques in computer science research, including writing research proposals, conducting research, technical writing and presentations.",,,,
COMM 1307,Introduction to Mass Communication,3,"An introduction to mass media theory, convergence, media technology history and innovations, social media and societal implications. Media literacy will be emphasized.",,,,
COMM 1315,Public Speaking,3,"Application of communication theory and practice to the public speaking context with emphasis on audience analysis, speaker delivery, ethics of communication, cultural diversity and speech organizational techniques to develop students’ speaking abilities as well as their ability to effectively evaluate oral presentations.",,,,
CSCI 5134,Concurrent Programming and Software Modeling,1,"Principles of issues related to concurrent programming and software modeling. Detailed study of Unix, Java and .NET APIs for multiprocessing, multi-threading and synchronization. Introduction to Software Modeling using UML, analysis of requirements documents to produce UML models and automatic code generation using IDE plug-ins or built-in tools. Other software development issues like unit testing and version control will also be explored. Laboratory instruction.",,,,
CSCI 5531,Advanced Operating Systems,5,"Study of current methodologies used in the design of distributed operating systems including issues related to the design of distributed file systems, inter-process communication and synchronization facilities, process, processor and memory management within the context of distributed operating systems. Case studies and review of current literature. Basic introduction to network programming and its application to the design of a simplified component of a distributed operating system. Laboratory instruction.",,,,
CSCI 5432,Design and Analysis of Algorithms,4,"Review of advanced data structures and algorithm design. Focus on analysis techniques for complex algorithms and data structures, including amortized analysis, randomized algorithms and NP approximations. Includes survey of parallel analysis and complexity theory.",,,,
CSCI 5333,Database Management Systems,3,"Database management systems (DBMS), relational DBMS, object-oriented DBMS, knowledge base management systems, database language, query optimization, security and integrity, concurrency control and recovery, design theory of databases. Laboratory instruction.",,,,
CSCI 4389,Independent Study in Computer Science,3,"Approval of instructor, chair and associate dean.Approval of instructor, chair and associate dean.",,,,
CSCI 4391,Selected Topics in Computer Science,3,Identified by specific title each time course is offered,,,,
CSCI 4388,Senior Project in Computer Science,3,"May be taken only during the final semester before graduation. Registration is restricted to students with an approved Candidate Plan of Study. Students develop a significant computer application for a realistic project. Emphasis will be on practical experience on all phases of constructing a computer solution. Professional behavior, ethics and teamwork will be developed throughout the project. Students prepare written reports and give oral presentations. Laboratory instruction.",,,,
CSCI 4379,Internship in Computer Science,3,Supervised work experience in an approved industrial firm or government agency. Written and oral report required.,,,,
CSCI 4381,Computer Forensics,3,"Introduction to the topics of computer crime and computer forensics. Students will learn different aspects of computer crime and ways to protect, uncover and understand digital evidence. Students will gain experience using hardware and software tools to perform rudimentary investigations. Laboratory instruction.",,,,
CSCI 4355,Programming Language Concepts,3,"Coverage of the building blocks of programming languages including syntax, semantics and various computer programming expressions. Introduction to the different programming paradigms such imperative, object-oriented, functional, logic, concurrent programming and how they support constructs such as types, assignment, functions, parameter passing, classes, encapsulation, inheritance, polymorphism and exception handling through coverage of examples from each paradigm. This course will include laboratory programming assignments.",,,,
CSCI 4364,Computer Systems Administration,3,"Administration of computers and their operating systems, both as stand-alone and in-network topologies. Unix is used as an example. Laboratory instruction. (CSCI 2315 or CSCI 2305) and senior standing.",,,,
CSCI 4362,Computer Game Programming: Theory and Practice,3,"Applying a fourth-generation game engine and language on designing and developing 2-D and 3-D real-time multimedia simulations and games for education, training, robotics and entertainment. Laboratory instruction.",,,,
CSCI 4377,Introduction to Mobile Applications Development,3,"Introduction to Mobile applications design and development principles. The study of the language and platform used for developing mobile applications on different mobile devices such as iOS and Android. Platform-specific topics will include design patterns such as Model-View-Controller, user interface, accessing device hardware features such as camera and GPS, and other mobile device features. Hands-on laboratory instructions provided using one of the popular mobile platforms.",,,,
CSCI 4351,Advanced Programming in Unix,3,"Program development in a multiprocessing environment, including process and file system data structures, process control, synchronization and communication between concurrent processes, shared memory, threads and signals. Advanced input/output mechanisms such as asynchronous I/O and memory-mapped I/O. Library functions including system function and database library routines. Laboratory instruction.",,,,
CSCI 4354,Operating Systems,3,"Analysis and design of basic operating systems concepts, including multiprocessing, interprocess communication and synchronization, scheduling, file systems, memory management, input/output and deadlock. Examples drawn from real operating systems including Unix and Windows NT. Laboratory instruction.",,,,
CSCI 4350,Computer Graphics and Interface Design,3,"Two-dimensional graphics algorithms, point and coordinate transformations, animation on graphics terminals and systems. Laboratory instruction using Solaris X-Windows-environment.",,,,
CSCI 4341,Network Defense,3,"This course provides an essential study of network defense, related vulnerability and security issues, and common tools available for network packet analysis and exploitations.",,,,
CSCI 4333,Design of Database Systems,3,"Design of database systems, data description and manipulation languages, data models, entity-relationship model, relational model, SL, relational algebra, normalization theory, DBMS, internet, database design, data flow diagrams, and implementation of database systems. Laboratory instruction.",,,,
CSCI 4342,Network Forensics,3,"Exploration and examination of techniques, tools, and their applications to investigate, search, collect, analyze, and report on network-based breaches and events. This course introduces and explains the fundamental concepts of network forensics, core of network forensics related to different network devices and network-based applications, and tools used to collect, analyze and report forensics-related data. Laboratory instruction.",,,,
CSCI 4335,Introduction to Artificial Intelligence,3,"Introduction to concepts of artificial intelligence: foundations of artificial intelligence, intelligent agents, searching, constraint satisfaction, planning, knowledge representation uncertain knowledge and reasoning, and learning. AI programming languages will be introduced. Students who receive credit for CSCI 5335 will not receive credit for this course.",,,,
CSCI 4323,Computer Security,3,"Introduction to encryption, decryption and cryptographical protocols; security components; security policies and mechanisms in computer applications, computer systems and networks; legal/ethical issues in computer security. Laboratory instruction.",,,,
CSCI 4320,Web Application Development,3,"Survey of languages, tools and techniques for web application development, HTML, XHTML, CSS, JavaScript, dynamic HTML, Server-side web development using .Net Framework with ASP.NET and C#, Perl, CGI programming with Perl, XML. Laboratory instruction.",,,,
CSCI 4336,Introduction to Machine Learning,3,"Introduction to concepts of machine learning: elements of probability distributions and linear algebra, supervised and unsupervised learning, linear and nonlinear regression, classification, neural networks, support vector machines, sampling methods, K-Means clustering, principal component analysis, Bayesian networks, and reinforcement learning. Applicability of each technique will be discussed. Students who receive credit for CSCI 5336 will not receive credit for this course.",,,,
CSCI 4321,Numerical Methods,3,"Taylor series and error analysis, interpolation, solution of linear and non-linear equations, least squares, integration of functions and differential equations. Programming assignments. Laboratory instruction.",,,,
CSCI 4315,Advanced Software Development With .Net Framework and C#,3,"In-depth study of the managed environment provided by .NET Framework and its use in developing advanced windows applications utilizing OOP concepts and techniques. Includes GUI issues, event and exception handling, multithreading, networking, collections, file and database access as well as an introduction to ASP.NET, web forms and web services.",,,,
CSCI 4316,Advanced Enterprise Java and Framework,3,"Study of current methodologies used in the design and development of enterprise applications using advanced Java technologies will be familiarized. This course will provide a high-level overview of Java Enterprise ecosystem by looking at its core APIs in action. Other contents include JavaServer Faces (JSF), Context and Dependency Injection (CDI), Java Server Pages (JSP), Java API for RESTful web services (JAX-RS), WebSocket API, JSON Processing API, Enterprise Java Beans (EJB), Java Message Services (JMS), Java Persistence API (JPA), and front-line Java frameworks like Spring, DJango, WebLogic, and JUnit for developing the most dynamic and powerful enterprise sites on the web. Laboratory instruction.",,,,
CSCI 4195,Cooperative Education Work Term,1,Educational paid work assignment by a student in the field of career interest and course of study. A technical report will be required at the end of the semester. (Specific requirements are noted in the Cooperative Education Catalog description.),,,,
CSCI 4289,Independent Study in Computer Science,2,Laboratory experiments and activities.,,,,
CSCI 4308,Topics in Computer Science - Non-Majors,3,Identified by topics each time the course is offered. Not to be taken for credit by majors in computing programs. Laboratory instruction.,,,,
CSCI 3352,Advanced Data Structures and Algorithms,3,Regulation and control of intermediary metabolism. Introduction to biochemical genetics.,,,,
CSCI 4312,Network Protocols,3,Data communications systems software concepts; computer network architecture; ISO model. Laboratory instruction.,,,,
CSCI 4189,Independent Study in Computer Science,1,Identified by specific title each time course is offered,,,,
CSCI 3391,Selected Topics in Computing,3,selected topics to study in genermenay,,,,
CSCI 3341,Cyber Attacks and Defense,3,"This course introduces the basics of cyber attacks and cyber defense mechanisms, with an emphasis on cyber operations. It discusses what cybersecurity entails in organizational and enterprise settings, plus other non-technical factors in securing the cyberspace. The overall objective is to help our future computing professionals develop essential understanding of the fundamental concepts underlying cybersecurity. Students will perform hands-on activities, which enhance the understanding by allowing students to see security in action.",,,,
CSCI 3323,Object-Oriented Design and Programming,3,"Basic elements of object-oriented technology including classes, their attributes, methods and relations to other classes, objects, classification and inheritance, encapsulation, polymorphism, object-oriented analysis, design and programming assignments in C language under UNIX. Laboratory instruction.",,,,
CSCI 3311,Programming With Visual Basic,3,"Programming with Visual Basic with emphasis on object-oriented programming and the uses of integrated development environments. Data types, control structures, functions and subroutines, files, classes, controls. Development using the .NET framework. Laboratory instruction. Open to non-majors only.",,,,
CSCI 3303,Fundamentals of Programming,3,"This course will build on basic script programming knowledge. Topics will include problem solving using built-in functions and lambdas; data structures such as lists, tuples, sets and dictionaries; comprehensions and generators; visualization; and processing data using databases and files including binary, text and CSV files, etc. Students will work with Python. Laboratory instruction. Open to non-CS majors only.",,,,
CSCI 2315,Data Structures,3,"Advanced programming techniques and data structures including arrays, linked lists, queues and stacks; abstract data types, recursion, searching and sorting, binary trees, hashing techniques, elementary algorithm design and analysis and more.",,,,
CSCI 1471,Computer Science II,4,"Build upon basic programming concepts using Java constructs such as iteration, selection, recursion, exception handling, data structures and file I/O. Introduce object-oriented programming concepts including: reuse principles, data abstraction, classes, inheritance, polymorphism, exception handling and UML to build robust code and enhance problem solving methodology.",,,,
CSCI 2305,Data Structures for Science and Engineering,3,"Structured programming techniques, data structures and algorithms that include algorithm design and analysis, recursion, arrays, linked lists, stacks, queues, binary trees, hash tables, searching and sorting along with building abstract data types. Laboratory Instruction.",,,,
CSCI 1320,C Programming,3,"Programming techniques with the C programming language, emphasis on modular design, data abstraction and encapsulation using ANSI C. Use of all features of C including arrays, pointers, structures, prototypes, separate compilation and the C-preprocessor. Development of generic functions and study of portability issues.",,,,
CSCI 2331,Computer Organization and Assembly Language,3,"Basic elements of computer hardware and software, data representations, instruction formats and addressing modes, assembly language instructions, programming techniques in assembly language, macro assemblers, link loaders, functions of operating systems and input/output programming and peripherals. Laboratory instruction.",,,,
CSCI 1470,Computer Science I,4,"Introduction to computer programming using Python. Topics include design tools (flowcharts, pseudocode) control flow statements (if, while, for), simple arithmetic expressions, input and output statements, functions, data structures including strings and lists, text files. Introduction to software development lifecycle and testing. The course is programming intensive with in-class assignments and weekly homework and a final project. Introduction to Arduino and number systems.",,,,
CSCI 1370,Software Development with Java,3,"Programming with an object-oriented programming language, Java. Uses iteration, selection, recursion, exception handling, data structures and file I/O. Introduction of Object-oriented programming concepts such as reuse, data abstraction, classes, inheritance, polymorphism, exception handling and UML to build robust code and enhance problem solving methodology. May be used in the place of CS2.",,,,
CENG 4391,Selected Topics in Computer Engineering,3,Identified by specific title each time course is offered,,,,
CENG 4354,Digital System Design,3,Combinational and sequential circuit design of digital systems using a hardware description language. Laboratory instruction.,,,,
CENG 4331,Analysis and Design of Linear Systems,3,"Continuous and discrete time systems. Fourier, Laplace and z-transforms and transfer functions. Introduction to digital signal processing and digital filter design using conventional and convolutional techniques, applications from communications and control theory. Computer solutions using MATLAB.",,,,
CENG 4389,Independent Study in Computer Engineering,3,Laboratory for Digital Circuits,,,,
CENG 4379,Internship in Computer Engineering,3,Supervised work experience in an approved industrial firm or government agency. Written and oral report required.,,,,
CENG 4362,Digital Control Design,3,Identified by specific title each time course is offered,,,,
CENG 4351,Introduction to Robotics,3,The course introduces the use of various robotic systems and the techniques necessary to design and develop hardware components and software applications using robotic operating systems.,,,,
CENG 4289,Independent Study in Computer Engineering,2,Laboratory for Digital Circuits,,,,
CENG 4313,Microprocessor Interfacing,3,Identified by specific title each time course is offered,,,,
CENG 3113,Laboratory for Linear Circuits,1,Laboratory experiments demonstrating AC/DC circuits. Experiments using lumped constants and integrated circuits will be stressed.,,,,
CENG 2371,Microcontroller Programming,3,Identified by specific title each time course is offered,,,,
CHEM 4376,Introduction to Petroleum Chemistry,3,"This course provides a broad understanding of the composition, chemical/physical properties of crude oil and petroleum products as well as the relative unit operations in industrial process.",,,,
CENG 2112,Laboratory for Digital Circuits,1,Laboratory experiments and activities  for Digital Circuits.,,,,
CHEM 4391,Selected Topics in Chemistry,3,Identified by specific title each time course is offered,,,,
CHEM 4375,Petroleum Geology,3,"This course studies the topics of the “petroleum system,” origin and migration of hydrocarbons, reservoirs, traps and seals, sedimentary basins and some of the most commonly used methods in exploration and development.",,,,
CHEM 4389,Independent Study in Chemistry,3,Independent Study in Chemistry,,,,
CENG 2312,Digital Circuits,3,Applications of point set theory and Boolean Algebra to the analysis and design of asynchronous and synchronous digital circuits.,,,,
CHEM 4374,Surface Chemical Processing,3,The course topics cover relevant surface chemical phenomena as encountered in environmental and chemical/industrial applications. The course material will discuss the fundamental surface chemical processes and the role of surface/interface properties in scientific and industrial applications as well as the principles of conventional and advanced surface analytical techniques.,,,,
CHEM 4372,Undergraduate Research I and Seminar,3,"The selection, study and formal oral and written presentation of topics from the chemical literature and/or original research findings.",,,,
CHEM 4373,Quantitative Chemical Analysis,3,"The goal of the two-semester sequence of analytical chemistry is to understand the underlying principles and limitations of analytical chemistry methods and learn how to make reliable measurements. This course emphasizes relevant mathematical approaches, chemical equilibria, and “wet” methods of chemical analysis (volumetric and gravimetric techniques, titration, electrochemistry, and spectrophotometry).",,,,
CHEM 4371,Advanced Spectroscopic Analysis,3,"Approval of instructor, chair and associate dean.",,,,
CHEM 4370,Industrial Chemistry: Process and Environment,3,"Survey of industrially important processes which are based on naturally occurring or petroleum-derived organic materials. A component of the course involves Environmental Protection, such as the Clean Air and the Toxic Substances Control.",,,,
CHEM 4368,Advanced Organic Chemistry,3,Advanced mechanistic study of the relationship between structure and reactivity in organic chemistry.,,,,
CHEM 4367,Instrumental Analysis,3,"The goal of the two-semester sequence of analytical chemistry is to understand the underlying principles and limitations of analytical chemistry methods and learn how to make reliable measurements. This course is dedicated to instrumental methods, such as spectroscopy, chromatography, electrophoresis, mass spectrometry, electrochemical techniques and materials characterization techniques.",,,,
CHEM 4363,Forensic Chemistry,3,Applications of chemistry principles to analysis of physical evidence from criminal investigations.,,,,
CHEM 4360,Bio-organic and Medicinal Chemistry,3,"Survey of the fields of biological chemistry in which organic chemistry plays a significant role. Topics such as enzymatic and enzyme-like catalysis, protein/enzyme structure-function relationships, enzyme cofactor chemistry and biochemistry, nucleic acid chemistry and biochemistry, bioconjugates, bioprobes and molecular recognition will be discussed.",,,,
CHEM 4365,Introduction to Polymer Chemistry,3,"Approval of instructor, chair and associate dean.",,,,
CHEM 4359,Drug Discovery and Design,3,"Advanced topics in medicinal and pharmaceutical chemistry using a combination of traditional lectures, roundtable discussions of journal articles, and hands-on exercises in the relevant computational techniques.",,,,
CHEM 4352,Water Chemistry and Water Pollution,3,"Study of chemical equilibria in natural waters, water quality parameters, water sampling, important water pollutants and their fate.",,,,
CHEM 4355,Environmental Sampling and Monitoring,3,"Principles and techniques of environmental sampling for air, water, soil and hazardous wastes. EPA standard methods for environmental analysis using biological, chemical and instrumental techniques.",,,,
CHEM 4342,Biochemistry II,3,"Approval of instructor, chair and associate dean.",,,,
CHEM 4356,Soil & Groundwater Remediation,3,"Chemical, biological, geological principles and applications of various remediation techniques commonly used to clean up contaminated soils and groundwater.",,,,
CHEM 4358,Industrial Chemistry: Process and Environment,3,"This course will survey a variety of industrially important processes which are based on naturally occurring or petroleum-derived organic materials. As an additional component of the course, the relevance and impact of various regulations of the Environmental Protection Agency will be explored.",,,,
CHEM 4341,Biochemistry I,3,"Study of structures and functions of biomolecules, including proteins, carbohydrates, lipids and nucleic acids. Not intended for BIOL major students.",,,,
CHEM 4328,Introduction to Medicinal Chemistry,3,Overview of key biological and biochemical concepts and the general tactics and strategies involved in developing an effective drug.,,,,
CHEM 4335,Inorganic Chemistry,3,"Concepts and systems of inorganic chemistry; atomic structure, molecular structure and bonding, ionic crystals, solid state defects and coordination compounds.",,,,
CHEM 4321,Physical Chemistry I,3,Physical Chemistry (PC) I is not a prerequisite for Physical Chemistry II. PCI covers thermodynamics and kinetics. PCII covers quantum mechanics and spectroscopy. CHEM 4321 and,,,,
CHEM 4268,Lab for Instrumental Analysis,2,Identified by specific title each time course is offered,,,,
CHEM 4322,Physical Chemistry II,3,Physical Chemistry (PC) I is not a prerequisite for Physical Chemistry II. PCI covers thermodynamics and kinetics. PCII covers quantum mechanics and spectroscopy.,,,,
CHEM 4311,Chemical Origins,3,Identified by specific title each time course is offered,,,,
CHEM 4312,Principles of Astrobiochemistry,3,"Overview of the search for life in the universe, including chemical signatures of life on other planets.",,,,
CHEM 4315,Handedness in Science,3,"Suitable for chemists, physicist and biologist (especially pre-med). Handedness (chirality) in chemistry, biology, pharmaceuticals and medicine. Origin of chirality: Is it a feature of fundamental physics? Use of chirality to detect life on other planets.",,,,
CHEM 4251,Laboratory for Environmental Analysis,2,Experimental methods for sampling and analysis of environmental samples using modern instruments. Hands-on laboratory and field experiments. One hour of lecture and 3 hours of laboratory per week.,,,,
CHEM 4274,Laboratory for Quantitative Chemical Analysis,2,Laboratory experiments and activities astronomy.,,,,Laboratory experiments and activities astronomy.
CHEM 4242,Laboratory for Biochemistry,2,Laboratory principles and practices in cellular biochemistry. One hour of lecture and 3 hours of laboratory per week.,,,,
CHEM 4235,Advanced Lab for Inorganic Chemistry,2,Laboratory principles and basic manipulation skills used during the preparation and characterization of inorganic compounds.,,,,
CHEM 4222,Laboratory for Physical Chemistry,2,Identified by specific title each time course is offered,,,,
CHEM 4189,Independent Study in Chemistry,1,Identified by specific title each time course is offered,,,,
CHEM 4115,Chemistry Practicum,1,"Practical training in teaching an undergraduate chemistry lab, assisting a teaching assistant. Requires pre-acceptance interview, minimum of 6 hours of work per week and approval of instructor.",,,,
CHEM 4195,Cooperative Education Work Term,1,Educational paid work assignment by a student in the field of career interest and course of study. A technical report is required at the end of the semester. (Specific requirements are noted in the Cooperative Education catalog description.),,,,
CHEM 3335,Fundamentals of Inorganic Chemistry,3,"Basic knowledge of inorganic compounds such as chemical bonding, structures and reactivity of each group element in inorganic chemistry. The chemistry of elements and their compounds in each class and the types of reactions will be highlighted. These also include boron chemistry, main group, transition metals and crystal chemistry.",,,,
