Code,Title,Hours,Description
SMGT 212,Coaching Skills: Basketball,1 hour,"This course is designed to give students practical skills that would allow them to be successful in 
creating a coaching philosophy, creating a coaching plan, coaching offense and defense, and 
evaluating player performance for basketball."
SMGT 310,Sports Marketing and Public Relations,3 hours,"A study of the basic marketing practices, procedures and operations of professional, college and 
recreational sport organizations.  Students examine the ways in which sport organizations 
implement promotions, apply marketing research, and gain sponsorships and fund raising."
SMGT 311,Coaching Skills: Spiritual Development,2 hours,"This course asks students to consider the ways that spiritual development intersects with physical 
development in athletics from the perspective of a sports chaplain. Students will study from the 
perspective of the practitioner-athlete, the pastor, and the helping professions. This course is 
meant to build the theoretical framework for the role of the sports chaplain."
SMGT 320,Legal Issues in Sports Management,3 hours,"A study of the legal system as applied to professional and amateur sport organizations.  Students 
will analyze legal issues, the implications of these issues, and how to limit and protect that 
liability of sport organizations."
SMGT 330,Sports in Society,3 hours,"148 
 
A study of sport as it occurs in and is influenced by social groups, government, religion, and 
other organizations.  Students will gain a better understanding of sport as a social phenomenon 
and spectacle throughout the United States and the world."
SMGT 340,Coaching and Game Management,3 hours,"A study of coaching philosophy, objectives, and style.  Topics will include communication and 
motivational skills, teamwork, relationship building, discipline, and self-management skills.  An 
additional focus will be placed upon the administration of sporting events and facilities."
SMGT 395,Sports Management Internship,3 hours,"An on-the-job work experience where knowledge obtained from classroom theory is integrated 
with actual practical work experiences. Internships provide students with knowledge of career 
opportunities and how one might better prepare to be a successful part of the sports management 
industry.  
 
 
Psychology"
PSYC 110,Introductory Psychology,3 hours,"An introduction to the scientific study of human behavior including processes 
of physiology, cognition and affect, consciousness, social relationships, and psychopathology. 
 
Prerequisite for all Psychology courses: PSYC 110 or the equivalent."
PSYC 150,Theories of Psychotherapy,3 hours,"An introduction to the counseling relationship and fundamental theoretical perspectives of 
counseling framed within a comprehensive Biblical view."
PSYC 220,Developmental Psychology,3 hours,"An examination of the interrelated psychological principles of human development, learning, and 
teaching, with application to a variety of educational settings."
PSYC 230,Marriage and the Family,3 hour,"An examination of healthy dating, pre-marital relationships, marriage, and family relationships."
PSYC 235,Child and Adolescent Psychology,3 hours,"149 
 
Examines the world of the child and teen, with emphasis on physiological, social, psychological, 
and cognitive development. In addition, specific problematic behaviors associated with these age 
groups, along with counseling techniques, will be discussed."
PSYC 240,Research in the Behavioral Sciences 1,3 hours,"An introduction to the methodology used in designing and analyzing psychological experiments, 
integrating theoretical and practical hypothesis testing with the use of appropriate parametric and 
nonparametric statistics. (Prerequisite: MATH 240)"
PSYC 241,Research in the Behavioral Sciences 2,3 hours,"An in-depth study of methodologies used to design and analyze psychological experiments and 
integrate theoretical and practical hypothesis testing. The course builds upon a foundation of 
quantitative and qualitative research methodology and is designed in an experiential research lab 
format where students will create and develop a research study, collect data, analyze the results, 
and present their findings. (Prerequisite: PSYC 240)"
PSYC 250/PMIN 250,Basic Counseling Skills,3 hours,"This course explores contemporary trends and issues in counseling and explores these concepts 
through case studies and discussion. (Prerequisite: PSYC 150)"
PSYC 251,Grief and Crisis Counseling,3 hours,"Prepares students for the role of helper as they deal with Crises, personally and 
professionally.  Learn basic models of suicide assessment and prevention, as well as grief and 
loss as both typically accompany crisis situations on some level. (Prerequisite: PSYC 150)"
PSYC 252,Child Therapy,3 hours,"This class examines children's counseling and mental health therapies from a variety of 
theoretical approaches. The techniques examined include play and creative based therapies and 
how they work within the developmental stages of children. (Prerequisite: PSYC 150)"
PSYC 270,Learning and Memory,3 hours,"150 
 
Examines the major phenomena and theories of human and animal learning, memory and 
behavior."
PSYC 272,Cognitive Psychology,3 hours,"Examines cognitive processes and their role in language development, concept formation, 
problem solving, information processing, memory and perception."
PSYC 275,Motivation and Emotion,3 hours,"This course reviews the current theories related to the study of motivation and emotion and the 
contribution these theories make to the field of psychology. In addition, the class will explore 
how motivation and emotion have spiritual implications to the individual and to ministry in 
general."
PSYC 280,Personality Psychology,3 hours,"Examines the various theories of personality structure, dynamics and development."
PSYC 285,Social Psychology,3 hour,"Examines the behavior of the individual as a member of the group and behavior patterns within 
groups including social interaction, group organization and leadership, social influences on 
perception, cognitive processes, attitude formation, and attitude change."
PSYC 290,Physiological Psychology,3 hours,"This course serves as an introduction to the study of the biological component of behavior and 
psychology. Special emphasis will be placed on the function of the nervous system, cognitive 
systems, sensory, and motor systems."
PSYC 292,Sensation and Perception,3 hours,"This course provides an introduction to the understanding of sensory systems and their role in the 
process of perception."
PSYC 295,Human Sexuality,3 hours,"This course is designed to cover a broad range of topics in the area of human sexuality including 
the broad range of attitudes, behaviors, knowledge, practices, and myths pertaining to sexuality. 
Content also covers sexuality over the life cycle, socialization, dating, marriage, family, different 
sexual orientations, law, relationships, contraceptives, and sexual responsibility. A Biblical 
151 
 
perspective will be examined, and students will be encouraged to better understand their own 
sexuality as Christians."
PSYC 310,Psychological Testing,3 hours,"An introduction to psychological testing with a focus on the rationale, development, 
implementation, and diagnostic functions of psychological testing procedures and the statistical 
foundation on which these tests are based. Validity and reliability are accentuated throughout the 
course."
PSYC 350,Abnormal Psychology,3 hours,"An introduction to the definition, cause, and treatment of mental disorders from various 
theoretical perspectives. Classification will be explored according to the Diagnostic and 
Statistical Manual of Mental Disorders."
PSYC 352,Addictions and Substance Abuse,3 hours,"This course introduces the student to the effects drugs have on society and human behavior. Both 
licit and illicit drugs will be discussed from historical, psychological and sociological 
perspectives with a special emphasis on the impact of substance abuse on the family system. 
Treatment issues and counseling methods will be discussed. An application to ministry will be 
explored."
PSYC 353,Addictions & Substance Abuse 1,3 hours,"This course will introduce the student to drugs and the effects on society and human behavior. 
Both licit and illicit drugs will be discussed from historical psychological and sociological 
perspectives with a special emphasis on the impact of substance abuse on the family system. 
Treatment issues and counseling methods will be discussed. An application to ministry will be 
explored. This course is designed to partially meet credentialing requirements for a Chemical 
Dependency Counselor Associate, Phase I (CDCA-I) credential, under the Ohio Chemical 
Dependency Professionals Board (http://ocdp.ohio.gov/): Theories of Addiction (10 hours), 
Counseling Procedures & Strategies with Addicted Populations (14 hours), Group Process & 
Techniques with Addicted Populations (5 hours), Assessment & Diagnosis of Addiction (3 
hours), Treatment Planning (7 hours), and Legal & Ethical Issues Pertaining to Chemical 
Dependency (6 hours)."
PSYC 360,History and Systems of Psychology,3 hours,"152 
 
Examines the nature of psychology from a philosophical and historical perspective. An emphasis 
is placed on trends of psychological thought, key concepts in various branches of psychology 
and their relationship in contemporary systems and the development of psychology as a 
discipline."
PSYC 370,Applied Psychology,3 hours,"Examines the applications of psychology to the practical problems of society. Areas of interest 
can include: clinical and counseling, industrial, human factors engineering, educational and 
school psychology, sports psychology, environmental psychology, as well as forensic and 
medical psychology."
PSYC 395,Psychology Practicum,3-6 hours,"A field experience available in summer and school year formats focusing on functioning within 
an organization and doing work that has been demonstrated to augment academic learning in 
psychology.  The practicum includes both an experiential and academic component."
PSYC 480,Psychology and the Bible Seminar,3 hours,"This course serves as the culmination of the psychology curriculum and applies previous 
learning in the various subfields of psychology to the development of a distinct Christian 
psychology. Topical discussions and analysis of assigned readings will encourage students to 
think critically about psychology from a Biblical perspective. (Senior Level Course) 
 
Professional Education"
EDUC 101,Introduction to Teaching,3 hours,"An overview of the field of education examining basic foundations of educational practice, 
components of quality programs, teacher qualities and preparation, and current trends and issues 
in the educational community. Five guided field observations are conducted in assigned 
classrooms in a local school. These field observations focus on five areas of the classroom 
environment based on the Ohio Educator Standards. These opportunities provide an avenue for 
systematic observation in diverse educational settings. Early childhood education majors only 
will enroll in EDUC 101 during the fall semester. All other education majors will enroll in"
EDUC 220,Human Development & Learning,3 hours,"153 
 
An examination of the interrelated psychological principles of human development, learning, and 
teaching, with application to a variety of educational settings. (Prerequisites: Sophomore status 
or higher; PSYC 110)"
EDUC 225,Communication Development & Disorders,3 hours,"A focus on communication development of the young child with a particular emphasis on 
strategies to enhance this development. Major language acquisition theories will also be 
discussed as well as basic language development inventories. Both informal and formal 
assessment tools will be examined. Application of communication and its development in 
children will be made to emergent literacy. Characteristics of communication disorders will be 
discussed, as well as the disorders’ impact on learning and academics. Five hours of field 
experience are completed in this course. (Prerequisite: EDUC 220)"
EDUC 235,Children’s Literature,3 hours,"A survey of the scope and variety of literature written for children, designed to highlight the use 
of children’s literature in the teaching of reading. The role of children’s literature in the teaching 
of phonemic awareness, reading for content, reading for enjoyment, and in the designing of 
thematic units, for example, is explored. The ability to determine quality, interest level, and 
readability of the literature is developed. Drama, art, creative writing, and creative movement are 
integrated as example strategies to facilitate children’s responses to literature. The use of 
children’s literature to teach interpersonal relationship skills, appreciation of diversity and 
culture, faith development concepts, and concepts across the academic curriculum are 
incorporated. Reading aloud to two different age groups of children is required. This is an 
appropriate study for persons interested in working with children in educational settings, 
counseling environments, or in a variety of ministry fields. (Prerequisite: CEMN 110 or EDUC 
101 or permission of instructor)"
EDUC 240,Instructional Technology,3 hours,"An examination of the use of the computer for educational purposes, such as classroom 
management, classroom presentations, and evaluation of educational software. The standards of 
the International Society for Technology in Education (ISTE) are highlighted in this course."
EDUC 245,Integrating the Arts: Curriculum & Practice for Young Learners,3 hours,"Curricular planning and implementation in the area of music, art, drama and movement, 
including as examination of the role of play are explored in this course. The developmental 
stages of children with respect to the curricular area and Developmentally Appropriate Practice 
154 
 
(DAP) are examined.  Guidelines and ideas for curriculum design in each area are explored.  In 
addition, participants engage in the development and use of sensory activities, puppetry, and 
food as part of the supporting curriculum in the early childhood classroom. As a culminating 
activity, participants prepare a thematic unit integrating the arts, and present it to children in K-3 
classrooms from area schools. Ten hours of field experience are completed in this course. 
(Prerequisite: EDUC 101)"
EDUC 250,Teaching Students with Diverse Needs,3 hours,"A survey course in the identification, assessment, and inclusion of children with diverse needs in 
a regular early childhood classroom or church setting, exploring techniques for working with 
children with diverse needs and their families. a substantial range of assessment practices, 
including standardized testing used by the state is discussed and analyzed. The course requires 
10 (ten) clock hours of field experience, including an interview with a parent of a child with 
diverse needs, a directed observation, and tutoring a child with diverse needs. (Prerequisites:"
EDUC 280,Methods of Teaching,3 hours,"A preliminary course that focuses on the practical side of planning and assessment in the 
classroom. Specific attention will be given to providing a foundational understanding of teaching 
and learning standards, lesson planning, differentiated instruction methods, the creation of safe 
learning environments, selection and designing of different forms of assessment and the 
importance of a reflective teacher. Participants will complete 10 hours of field experience in 
varied educational settings. (Prerequisite: EDUC 101)"
EDUC 305,"Youth Health, Safety & Nutrition",3 hours,"Through this course students will explore elements of health, safety and nutrition issues and 
solutions pertinent to today’s youth. Upon completion of the series the student will qualify for 
certification in CPR, Blood Bourne Pathogens and Communicable Disease training, and Child 
Abuse Recognition Training. Other topics of discussion during the class will be dealing the 
bullying, chronic and terminal illnesses, medical needs of youth, setting up safety management 
systems in the classroom, church or school and transportation safety issues."
EDUC 310,Preschool Education Clinical Experience,4 hours,"This is both a course and field experience. During the assigned class time, participants learn the 
benefits, limitations, and use a variety of observation tools. The field experience features 
participation in an early childhood program (5 hours per week) under the supervision of an 
155 
 
experienced early childhood educator at which time participants practice the observation 
techniques learned in class. Participants share outcomes or findings they gathered from a child 
study with the teachers and families in a structured conference-style setting. Pre-service teachers 
develop skills in the areas of systematic observation and reflection. Emphasis is also on 
developing professionalism, an understanding of children and families from a variety of cultural 
backgrounds, children with special needs, and a positive attitude toward the early childhood 
field. A total of 75 hours of field experience are completed in this course. Participants must be 
admitted to an Education licensure program or permission of instructor obtained."
EDUC 320,Theory & Practice in Educational Settings,3 hours,"Four areas of educational practice are analyzed in-depth in this course in terms of educational 
prominent and emerging theories. These include program philosophies, curriculum design, 
assessment practices (including the value-added dimension) and the interrelated contributions of 
cultural, political, and social interactions. Consideration is given to current trends in early 
childhood educational practice. Participants complete advocacy projects for children and their 
families including a research project. (Prerequisite: EDUC 101)"
EDUC 350,Social Studies for the Child,3 hours,"An examination and development of objectives, unit planning, curricula, and Developmentally 
Appropriate Practices (DAP) and methods for teaching social studies in the early childhood 
educational setting, including classroom experience. Participants gain an understanding of the 
Ohio Academic Content Standards for Social Studies. Participants engage in ten hours of field 
experience in a school setting. Participants must be admitted to an Education licensure program 
or permission of instructor obtained."
EDUC 355,Mathematics for the Child,3 hours,"An examination and development of theory, principles, materials, and methods for teaching 
concepts of mathematics, including classroom experience. Participants engage in 10 (ten) hours 
of field experience. This course focuses on Developmentally Appropriate Practice (DAP) in the 
instruction of mathematics as well as understanding and implementing the Common Core State 
Standards for Math. Participants must be admitted to an Education licensure program or 
permission of instructor obtained."
EDUC 360,Foundations of Reading,3 hours,"An examination of reading theory and process including emergent literacy, phonics, reading for 
content, scope and sequence of reading skills, and practical methods and materials for 
156 
 
instruction. This course focuses on Developmentally Appropriate Practice (DAP) in the 
instruction of reading as well as understanding and implementing the Common Core State 
Standards for English Language Arts. Five hours of field experience in a school setting is 
included. Participants must be admitted to an Education licensure program or permission of 
instructor obtained."
EDUC 361,Teaching Adolescent & Young Adult Composition,3 hours,"Teaching Adolescent Writing and Composition is a methods course focusing on writing 
instruction for Adolescent and Young Adults. Class sessions will involve writing various types 
of composition required in a high school setting, planning lessons to implement writing 
instruction, discussing various topics germane to writing instruction, and researching various 
approaches to writing instruction. Twenty hours of field experience in an AYA setting will be 
required. Participants must be admitted to an Education licensure program or permission of 
instructor obtained."
EDUC 362,Teaching Adolescent & Young Adult Literature,3 hours,"An examination of reading theory and process including an understanding of issues with 
adolescent literacy, teaching content reading and learning, and practical methods and materials 
for instruction.  Five hours of field experience in an adolescent setting is included.  Participants 
must be admitted to an Education licensure program or permission of instructor obtained."
EDUC 365,Science for the Child,3 hours,"Through this course, future teachers will gain an understanding of ways in which a science-rich 
learning environment will support learning across the curriculum. Science is a vehicle for 
learning through discovery and inquiry. Basic science concepts including observing, collecting 
and recording data, organizing data and reflecting on observations are important skills for the 
young child. Teachers need to learn how to plan and assess learning systematically and adapt the 
curriculum to meet the needs of the learners. This course focuses on Developmentally 
Appropriate Practices (DAP) in teaching science to young learners as well as the Ohio Academic 
Content Standards for Science. Participants engage in five hours of field experience. Participants 
must be admitted to an Education licensure program or permission of instructor obtained."
EDUC 370,Phonics & Linguistics,3 hours,"This course is designed to provide the pre-service teacher an examination of the principles of 
phonemic awareness, phonics, and grammar as they relate to reading, writing, and spelling. The 
pre-service teacher will also be provided opportunity to develop skills in assessment as well as 
157 
 
applying the knowledge gained in the course. Additionally, the cultivation of the pre-service 
teacher’s appreciation for the value of the knowledge and skills of phonics and linguistics in the 
teaching of oral and written communication will occur. The course requires ten hours of directed 
field experience in a school setting. Participants must be admitted to an Education licensure 
program or permission of instructor obtained."
EDUC 375,Reading Evaluation & Diagnosis,3 hours,"Reading remains the foundation of student learning. This course examines the value-added 
dimension, reading diagnostic tools, and reading evaluation tools educators need to assess and 
improve student learning, modify curriculum and instruction, and plan intervention strategies to 
meet the needs of all learners. The course requires ten hours of directed field experience in a 
school setting. An additional five hours of field experience are included, for a total of fifteen 
hours completed in the course. Assessments are used in the case study of a student within the 
corresponding licensure area.  Participants must be admitted to an Education licensure program 
or permission of instructor obtained."
EDUC 380,"Critical Issues in Education: Connecting Home, School, & Community",3 hours,"This course focuses on the trends and critical issues related to teaching, such as current social 
issues and education reform.  Students will learn how to work with students and families from 
diverse backgrounds, including varying economic, cultural, linguistic, and academic abilities.  In 
this course, the NAEYC Code of Ethical Conduct and the Bible are utilized as tools for 
effectively integrating these concepts within home, school, and community settings.  Additional 
concepts include advocating for children, defining community relations, and understanding the 
structure of family.  Five hours of field experience are completed in this course. Participants 
must be admitted to an Education licensure program or permission of instructor obtained."
EDUC 390,Early Childhood Classroom Management with Clinical Experience,4 hours,"The course includes an in-depth study of recent research and theory relevant to planning, 
organizing, and managing student learning and behavior in the early childhood classroom. The 
semester of clinical experience (five hours per week in an early childhood classroom setting 
under the supervision of a certificated/licensed early childhood education teacher) provides the 
opportunity for the application of the skills, knowledge and dispositions gained during the 
course. Substantial discussion centers around the range of assessment practices, including 
standardized testing used by the state. Developmentally appropriate management strategies are 
discussed and applied in the clinical experience. Focus on professionalism and communication 
skills used with children, parents/guardians, and professional team members are emphasized. The 
158 
 
participant’s personal professional philosophy and portfolio is revised to incorporate principles 
from this course. A total of 75 hours of field experience are completed in this course. Participants 
must be admitted to an Education licensure program or permission of instructor obtained."
EDUC 391,Special Education Classroom Management with Clinical Experience,4 hours,"The course includes an in-depth study of recent research and theory relevant to planning, 
organizing, and managing student learning and behavior in the special education classroom. The 
semester of clinical experience (five hours per week in a special education classroom setting 
under the supervision of a certificated/licensed special education teacher) provides the 
opportunity for the application of the skills, knowledge and dispositions gained during the 
course. Substantial discussion centers around the range of assessment practices, including 
standardized testing used by the state. Developmentally appropriate management strategies are 
discussed and applied in the clinical experience. Focus on professionalism and communication 
skills used with children, parents/guardians, and professional team members are emphasized. The 
participant’s personal professional philosophy and portfolio is revised to incorporate principles 
from this course. A total of 75 hours of field experience are completed in this course. Participants 
must be admitted to an Education licensure program or permission of instructor obtained."
EDUC 392,Music Education Classroom Management with Clinical Experience,2 hours,"The course includes an in-depth study of recent research and theory relevant to planning, 
organizing, and managing student learning and behavior in the music education classroom. The 
semester of clinical experience (three hours per week in a music education classroom setting 
under the supervision of a certificated/licensed music education teacher) provides the 
opportunity for the application of the skills, knowledge and dispositions gained during the 
course. Substantial discussion centers around the range of assessment practices, including 
standardized testing used by the state. Developmentally appropriate management strategies are 
discussed and applied in the clinical experience. Focus on professionalism and communication 
skills used with children, parents/guardians, and professional team members are emphasized. The 
participant’s personal professional philosophy and portfolio is revised to incorporate principles 
from this course. Participants must be admitted to an Education licensure program or permission 
of instructor obtained."
EDUC 393,Middle School & AYA Classroom Management with Clinical Experience,4 hours,"The course includes an in-depth study of recent research and theory relevant to planning, 
organizing, and managing student learning and behavior in the middle and AYA education 
classroom. The semester of clinical experience (five hours per week in a special education 
159 
 
classroom setting under the supervision of a certificated/licensed middle or AYA education 
teacher) provides the opportunity for the application of the skills, knowledge and dispositions 
gained during the course. Substantial discussion centers around the range of assessment 
practices, including standardized testing used by the state. Developmentally appropriate 
management strategies are discussed and applied in the clinical experience. Focus on 
professionalism and communication skills used with children, parents/guardians, and 
professional team members are emphasized. The participant’s personal professional philosophy 
and portfolio is revised to incorporate principles from this course. A total of 75 hours of field 
experience are completed in this course. Participants must be admitted to an Education licensure 
program or permission of instructor obtained."
EDUC 399,Teaching in the Content Areas,3 hours,"Candidates will complete one semester of clinical experience under the direction of a 
cooperating reading teacher/reading specialist in 7-12 public school setting.  Under the guidance 
of the cooperating teacher, they will engage in the planning and observation of instructional 
activities designed to improve reading. Participants must be admitted to an Education licensure 
program or permission of instructor obtained."
EDUC 400,Clinical Field Experience/ Student Teaching,12 hours,"Teacher candidates will complete one semester (15 weeks) of school field experience under the 
direction of a cooperating teacher in a partnership school and a university supervisor. The 
teacher candidate will gradually assume the management and instructional responsibilities of a 
classroom with support and encouragement of the classroom teacher.  Common Core State 
Standards, Ohio Academic Content Standards, lesson planning, classroom management, 
professionalism, and reflective skills are further developed. The procedure parallels the 
expectations and requirements of the entry year teacher for the State of Ohio. All requirements 
for licensure are addressed.  For admittance to the Clinical Experience/Student teaching program 
see the Education Department Handbook. 
 
Early Childhood Generalist Endorsement (Total: 9 hours must be taken together)"
EDUC 450,Social Studies in the Middle Grades,2 hours,"The focus of this course is curriculum planning and implementation in the area of Social Studies 
for middle school students, including development of activities focused on student-based inquiry. 
Guidelines and ideas for curriculum support and development based primarily on fourth and fifth 
grade content standards are explored with a heavy emphasis on Ohio history. In addition, 
160 
 
participants engage in the usage of primary and secondary artifacts and field trip implementation 
as part of supporting the curriculum. As a culminating activity, participants prepare a final 
project integrating historical themes pertaining to specific regions of Ohio that is ready for 
classroom implementation."
EDUC 455,Mathematics in the Middle Grades,2 hours,"This course introduces students to the development of the basic ideas of numbers, number 
relationships, algebra, geometry, measurement, statistics, and probability in a problem-solving, 
activity-oriented approach to the study of mathematics appropriate for middle childhood (4 – 6) 
teachers. The structure of the course will stress: the interrelationships within mathematics and the 
connections that exist between mathematics and other disciplines; the communication of 
mathematics accurately, both orally and in writing; the elements of mathematical modeling; the 
evaluation, acquisition, and implementation of current technology and resources; the use of 
estimation and the reasonableness of answers; the integration of appropriate technologies into the 
curriculum; the use of patterns and relationships to analyze mathematical situations; the use of 
current literature on the learning and teaching of mathematics; and the opportunity to reflect on 
students’ own mathematical behavior."
EDUC 460,Language Arts in the Middle Grades,2 hours,"This course offers a survey of the fourth and fifth grade English/Language Arts content, 
methods, and materials.  The course focuses on understanding and implementing the Ohio 
Academic Content Standards for fourth through sixth grade with special attention given to fourth 
and fifth grade standards, benchmarks and grade level indicators in Language Arts. This course 
is an optional course for the Generalist Endorsement and can be taken at the discretion of the 
student."
EDUC 465,Science in the Middle Grades,2 hours,"Through this course, teachers will gain an understanding of ways in which a science-rich 
learning environment will support learning across the curriculum. Content for this course focuses 
on the Ohio Academic Content Standards for Science for the fourth and fifth grades, integrating 
technology, developing an understanding of the principles of science, and the connections 
between the physical, life, and Earth and space sciences. The course focuses on understanding 
and implementing the Ohio Academic Content Standards for fourth through sixth grade with 
special attention given to fourth and fifth grade standards, benchmarks and grade level indicators 
in Science.  One field trip to a science museum is included. 
 
161"
EDUC 490,Teaching & Learning in the Middle Grades,3 hours,"This course includes a study of recent research and theory relevant to planning, organizing, and 
managing student learning and behavior in the fourth and fifth grade. Particular attention is given 
to the cognitive, social, emotional, and physical development of this age group as well as 
instructional strategies developmentally appropriate for the age group and structure of schools 
meeting the needs of the middle learner such as teaming and collaboration. Candidates 
participate in a field experience working directly with fourth and fifth grade students. The course 
focuses on understanding and implementing the Common Core State Standards and the Ohio 
Academic Content Standards for fourth through sixth grade with special attention given to fourth 
and fifth grade standards, benchmarks and grade level indicators.   
 
Arts & Sciences 
 
Communication Arts"
COMM 110,Introduction to Communication Arts,3 hours,"An introduction to the field of Communication Arts, the skills involved, and the career directions 
possible.  One emphasis will be journalistic writing."
COMM 160,Communication Arts Design & Development,3 hours,"A survey of theoretical concepts and current trends in computer-aided publishing with emphasis 
on layout, construction of effective publications, the printing process, and scanned images and 
graphics.  Students will be involved in hands-on activities and practical applications. 
(Recommended: COMM 110)"
"COMM 210, 211" ,Student Newspaper ,3," hours each of two semesters) 
A lab course introducing a variety of skills used by those in the communication arts field. The 
course will provide instruction and hands-on experience in writing, editing, and designing 
journalistic material for both print and online formats. Students will produce a weekly newspaper 
in both formats. (Prerequisites: ENGL 110, ENGL 111 or their equivalents. Recommended: 
COMM 110, COMM 160 or their equivalents)"

COMM 261,Video Production,3 hours,"A lab course introducing video production skills. The course provides experience in video 
camera operation and editing skills as well as script development and realization. Weekly 
projects will contribute to development of a larger production.  (Prerequisites: ENGL 110,"
COMM 262/MUTC 262,Digital Technology in Worship,3 hours,"A lab course providing an overview of theoretical principles and current trends in technologies 
used in production and in performance and worship environments.  The course also considers 
developing and administering a volunteer team.  Students will be involved in hands-on activities 
and event applications.  (Prerequisites: ENGL 110, ENGL 111 or their equivalents. 
Recommended: COMM 110, COMM 160 or their equivalents)"
COMM 264,Website Design & Management,3 hours,"A lab course providing an overview of theoretical principles and current trends in designing and 
maintaining an organizational website.  Students will be involved in hands-on activities and 
applications.  (Prerequisites: ENGL 110, ENGL 111 or their equivalents.  Recommended:"
COMM 290,Cross-Cultural Communication,3 hours,"A study of communication as it is informed and affected by individual and cultural contexts 
including considerations such as gender, class, culture, ethnicity, religion, norms, artifacts, 
language, etc. Special attention will be given to the importance of cultural competence for 
effective communication in cross-cultural contexts. (Prerequisites: ENGL 110, ENGL 111,"
COMM 360/MKTG 360,Internet and Social Media Marketing,3 hours,"A study of the basic principles of marketing applied to the growing fields of internet and social 
media marketing.  Topics covered in this course will focus on the interpretation of data on 
internet usage, online advertising, email marketing, social network marketing, search engine 
marketing, and web traffic analysis.  (Prerequisites for COMM: ENGL110, ENGL 111, COMM 
160; Prerequisites for MKTG: BUSN 230, BUSN 310)"
COMM 370,Public & Internal Communication,3 hours,"A survey course designed to equip students for work in three aspects of public relations: 
institutional identity, media/public contact, and internal organizational communication. 
(Prerequisites: ENGL 110, ENGL 111 or their equivalents.  Recommended: COMM 110,"
COMM 395,Communication Arts Internship,3 hours,"An on-field experience in which the student will have opportunities to develop specific 
communication skills (i.e., writing, editing, production, drama ministry, public relations, etc.). 
163 
 
The internship will typically occur after completion of approximately half of the requirements in 
the Communication Arts program. In special circumstances, additional hours may be added to 
the internship. (Prerequisites: ENGL 110, ENGL 111, COMM 110, COMM 160, or their 
equivalents and advisor approval) 
 
 
Deaf Studies"
DEAF 100,Ministry with Deaf People,1 hour,"An evaluation of personal fitness in attitude and signing skills and the mechanics of establishing 
a congregational ministry with deaf people."
DEAF 101,Beginning American Sign Language 1,3 hours,"An introductory course in American Sign Language developing knowledge in ASL vocabulary, 
cultural aspects, grammatical features, and beginning conversational comprehensive and 
expressive skills."
DEAF 102,Beginning American Sign Language 2,3 hours,"A continuation of DEAF 101 with additional work in each area. (Prerequisite: DEAF 101) 
 
 
English 
 
College English 1 
Score of 18 or above on the English section of the ACT or 
Score of 25 or above on the Writing & Language section of the SAT or 
Successful completion of Basic English  
 
Basic English Concurrent with College English 1 
Score of 14-16 on the English section of the ACT or 
Score of 19 or above on the Writing & Language section of the SAT 
 
Basic English 
Score of less than 18 on the English section of the ACT or 
Score of less than 25 on the Writing & Language section of the SAT 
 
164 
 
For more information, contact the Director of Student Services."
ENGL 011,Basic English,2 non-credit hours,"A course required of those who test below the acceptable level for ENGL 110. Class sessions 
involve discussion of grammar principles and completion of printed and computerized exercises."
ENGL 110,College English 1,3 hours,"A general composition course enabling students to practice communicating in appropriate and 
effective forms for a variety of audiences and purposes. Emphasis is placed on writing from 
different patterns of development with supplemental material covering grammar and research. 
(Prerequisite: Satisfactory performance on a placement test or successful completion of ENGL 
011)"
ENGL 111,College English 2,3 hours,"A companion course to ENGL 110 covering additional patterns of development and writing 
situations. A major research project forms a part of the requirements. Also, attention is given to 
textual analysis.  (Prerequisite: ENGL 110 or its equivalent)   
 
 
Prerequisite for all English courses: ENGL 110, ENGL 111 or their equivalents."
ENGL 220,Survey of Multicultural Literature,3 hours,"An introduction to literary analysis using a survey of contemporary literature from different 
cultural settings. Attention is given both to literary forms and to social, philosophical, and 
religious meaning in the texts. (Prerequisites: ENGL 110, ENGL 111 or their equivalents)"
ENGL 221,Theological Ethics in the Novel,3 hours,"A course that examines the intersection of concepts of God, religious truth, religious community, 
and personal and social morality as depicted in the novel genre. This course encourages 
participants to enter into a dialog with literature that explores Christian thought, the human 
experience, and moral practice."
ENGL 222,Introduction to Short Fiction,3 hours,"An introduction to the literary short story genre. Students will read, analyze, discuss, and write 
about short stories.  
 
165"
ENGL 224,The Literature of C. S. Lewis,3 hours,"An introduction to the life and writing of C. S. Lewis.  A brief survey of his life is used to 
provide a context for reading and examining four works, selected to represent the variety of types 
of writing for which he is known.  The class sessions will involve discussion and application of 
his writing.  In addition, we will be watching two films, one focused on his life and one that is an 
adaptation of one of his works."
ENGL 230,Shakespeare,3 hours,"A study of representative histories, tragedies, and comedies by William Shakespeare.  This 
course provides opportunities for students to consider these plays in the context of a range of 
contemporary scholarship."
ENGL 231,Theological Themes in Film,3 hours,"An introduction to film study through selected works from various periods, concentrating on the 
past twenty years. Focus is on understanding and applying such themes as the existence and 
nature of God, Jesus, prayer, salvation, heaven and hell, and angels."
ENGL 240,Introduction to Poetry,3 hours,"A survey course acquainting students with a variety of poetic forms. Special attention is given to 
language, sound, rhythm, imagery, interpretation, and writing about literature."
ENGL 250,Creative Writing: Non-Fiction,3 hours,"A survey course examining various types of inspirational and expository writing. Students will 
produce these types, including personal experience stories, personality profiles, devotional 
writing, editorial writing, and historical/Biblical narratives."
