code,name,credit,description
COR 300,"for majors in the Department of Theology. 

CMI 375/475 Supervised Ministry",1,"Fall, Spring Offers a bridge from the theory of the classroom to the practice of doing ministry. Students are expected to find a 
placement in a local ministry where they serve regularly throughout the semester. Students will also gather biweekly 
to debrief their experience and share concerns and practical challenges of ministry as they work to relate their 
classroom content to their service experience. Supervised Ministry is one credit for each semester of participation. 
Each major in the theology department has a particular requirement for semesters of participation. Repeatable."
CMI 401,Biblical Theology of Mission,3,"Odd Falls A seminar course. Incorporates the study of biblical descriptions of mission and the implications for understanding 
and practice of evangelism and Christian missions and a brief overview of scholarly debate regarding Christian 
missions. Focus on the thematic and textual study of key expressions of the mission of God in the Old and New 
Testaments. Studies Scripture related to God as a missionary God, the Bible as the product of the mission of God, the 
church as a people for the mission of God, and the world as the arena for the mission of God."
CMI 410,Foundations and Practices in Ministry,3,"Odd Springs Integrates theological reflection with the practical matters of leading and serving in ministry using Jesus and Classic 
Tradition as the models for ministry. Explores practical ministry issues such as the call to ministry, ordination, the 
pastoral office, worship leading, preaching, teaching, administration, pastoral care, and compassionate ministries. 
Focuses on the ministerial practices of baptism, Eucharist, wedding and funeral officiant, etc."
CMI 422,Counseling in Ministry,3,"Limited Explores basic skills needed interact with various human needs encountered in ministry. Includes basic counseling 
theories and applied techniques/methods essential in the general Christian counseling. Focuses on needs of the "
COM 100, Introduction to Communication,3,"Fall Study and application of basic concepts in communication. Main focus is on learning how to communicate more 
effectively interpersonally and in small groups."
COM 110,Communication Technology,3,"Fall, Spring Introduces basic design principles and content management skills using industry-standard design tools including 
WordPress, Adobe InDesign, and Adobe Photoshop. Introduces basic audio and video-editing techniques using Adobe 
Premiere Pro and Adobe Audition. Application of design and project management skills to a semester-long project. 
Students archive coursework in a portfolio that they will continue to maintain and as a tool for academic reflection 
and professionalism. The course fee covers a one-year subscription to the Adobe Creative Suite."
COM 212,Rhetoric,3,"Fall Theory, research, organization, preparation, and practice of speaking and writing. Explores ethical implications of 
narrative, informative, and persuasive techniques in the context of historical and current principles of rhetoric. 
Required for all majors in the Communication and Media Department.  
Prerequisite:"
COM 100,"Introduction to Communication. 

COM 214 Communication Theory",2,"Fall Examines selected theories of communication and message design, to include models, critical analysis, and 
development of a Christian worldview of communication."
COM 232,Readings in Rhetoric,1,"Limited Introduces persuasive events from a critical perspective, providing an analytical framework for examining the impact 
of the persuasive event and the potential power of communication for effective and thoughtful communication."
COM 301,"Communication, Spirituality, and Service",3,"Even Falls Explores the intersection between communication and Christianity in relation to redemptive service to others in 
today’s world. Examines connections among communication concepts and biblically-informed spiritual principles and 
practices for affecting personal, local, and global change. Surveys issues of faith and justice in the context of fostering 
the biblical concept of ""Shalom"" in the world. A service project is required as part of this course."
COM 312,Design Tools: InDesign,1,"Interims Focuses on the development of print layout and compositing skills, manipulating type and images, using Adobe 
InDesign, the industry leading software for page layout construction, and desktop publishing. Must have access to 
Adobe InDesign Software."
COM 313,Design Tools: PhotoShop,1,"Interims Includes an overview of Photoshop interface, features, and editing capabilities of the software Adobe Photoshop. 
Access to Adobe Photoshop is required."
COM 317,Digital Influence,1,"Fall Introduces practical social media skills, digital spaces, best practices, and the use of a variety of social media 
technologies for developing social media influence. Students will engage in a long-term project to identify a platform, 
connect with experts, create and propagate content, establish their own credibility, and build access to a large 
audience to understand and experience the journey of social media influencers. May be repeated. 
 
 
 

 
 
 
COURSE DESCRIPTIONS 
  
Spring Arbor University 2022-2023 Undergraduate Academic Catalog 
241"
COM 324,Web Content and Management,3,"Spring Explores web-based innovations in media production and distribution. Students examine content quality and 
management issues with opportunities to create and evaluate web media. Addresses the social and ethical 
implications of search and web-based collaboration and marketing."
COM 330,Genre,1-3,"Limited Style, form, and content of varying communication media. Focuses on a single, limited aspect of the topic being 
considered."
COM 354,Applied Social Media,3,"Spring Online Explores all aspects of social media communication. Students develop a strategic mindset and explore creative and 
scientific approaches for creating, curating, and managing content. Topics explored: analysis, audience, branding, 
ethics, measurement, planning, writing, qualifications and more. Assigned activities lead students to achieve 
Hootsuite Social Media Certification ($300 value) at the end of the course."
COM 368,Intercultural Communication,3,"Spring Theory, skills, and attitudes foundational to effective interpersonal communication with persons of other cultures and 
co-cultures. Focus is on critical analysis of various aspects of intercultural communication, as well as on building 
empathy and coping skills.  
Prerequisite: sophomore standing."
COM 399,Communication Portfolio,1,"Limited Portfolio compilation of projects to demonstrate analysis and application of communication and visual principles.  
Prerequisites:"
COM 214,"Communication Theory, WRT 216 Writing for the Media, and senior standing. 
 
COM 404 Persuasion",3,"Spring Focuses on the theory and practice of persuasive messages. Specific emphasis on learning to influence others 
ethically, effectively, and responsibly through public speaking and digital contexts.  
Prerequisite: SPE 100 Oral Communication or SPE 212 Fundamentals of Speech or COM 212 Rhetoric. 
 "
COM 415, Design Thinking,3,"Fall Students will envision, explain, and evaluate innovative and simple solutions to a wide range of human problems. 
Students will explore user-centered research, ideation, prototyping, and testing. Students will work as a member of a 
team with shared goals through specific problems within the framework of realistic constraints. 
Prerequisite: junior standing."
COM 416,Principles and Practices of Freelancing,3,"Odd Springs Explores brand development and starting a successful freelance career using writing, design, artistic, or technical skills."
COM 480,Senior Seminar,1,"Fall Capstone Course. Focuses on career planning and personal growth. Students will prepare and present a professional 
portfolio, prepare for professional interviews, and explore the biblically-informed nature of vocation including 
personal gifting. The course includes a weekend retreat at Camp Michindoh in early October.  
Prerequisite: senior standing. 
 
COR (Community of Learners Core)"
COR 100,Life in Community,2,"Fall, Spring Welcomes students to university life; investigates what it means to be members in the SAU community, distinguished 
by a commitment to Christ as the perspective for learning; and explores the study and application of the liberal arts as 
the fullest way of knowing and critical participation in the contemporary world. Waived with 26 or more post-high 
school transfer college credit."
COR 110,Christ and the University Experience,3,"Online Introduces students to the life and philosophy of Spring Arbor University, The Concept, the process of becoming an 
COURSE DESCRIPTIONS 
 
 
Spring Arbor University 2022-2023 Undergraduate Academic Catalog 
242 
 
 
educated person with the objectives. Assists student in discovering themselves as persons through development of 
the academic and social skills needed to be successful in their various environments. Course activities emphasize 
general intellectual skills (writing and speaking) and social and relational skills (interpersonal communication). Waived 
with 26 or more post-high school transfer college credit."
COR 200,"Christ, Culture, and Diversity",2,"Fall, Spring Explores the virtues of compassion, hope, and justice within the context of local communities. Students engage in 
questions of local import – be it urban, suburban, or rural – and investigate what it means to love in place and with 
responsibility. Includes an experiential weekend. Waived with 58 or more post-high school transfer college credit. 
Prerequisite: sophomore standing."
COR 310,Christian Faith and Scripture,3,"Online Reflects the commitment of Spring Arbor University as a Christian liberal arts university to nurture an appreciation for 
the rich resources of Scripture for creative personal faith and life in the modern world. Designed to foster knowledge 
and understanding of the literature and history of the Bible and the integration of faith, living, and learning."
COR 320,Christian Life and Thought,3,"Online Explores the Christian tradition, its practices, and its doctrines in terms of community living, spiritual formation, and 
the SAU Statement of Faith. Students will also consider their vocation, worldview, and ethical responsibilities from the 
perspective of the SAU Concept. Waived with 58 or more post-high school transfer college credit."
COR 374,Preparing for Cross Cultural Study,1,"Fall, Spring Prepares students to gain an understanding of basic cross-cultural theory, adaptation skills, knowledge of the host 
culture, and basic conversational skills in the language of the host culture. Sections of this course are destination 
specific. Waived with 58 or more post-high school transfer college credit."
COR 375,Cross Cultural Studies,3,"Interim, Summer A distinctive SAU course. Challenges students to practice the virtues of empathy, humility, resilience, justice, and 
compassion through an immersive cross-cultural experience. Invites students to enrich their traditional liberal arts 
courses while gaining first-hand knowledge of a different culture through family, economics, educational systems, 
government, and religion. Students develop cross-cultural analytical skills needed to describe the intimately 
connected world and confront the spiritual truth that ""neighbor"" includes peoples who may not live geographically 
near them. Waived with 58 or more post-high school transfer college credit. 
Prerequisite:"
COR 474,Preparing for Cross Cultural Studies-Advanced,1,"Application Required Prepares students to gain an understanding of basic cross-cultural theory, adaptation skills, and basic conversational 
skills in the language of and knowledge of the host culture. Sections of this course are destination specific.  
Prerequisite: permission of the Cross Cultural Studies office. 
 
 
 
 
COURSE DESCRIPTIONS 
  
Spring Arbor University 2022-2023 Undergraduate Academic Catalog 
243"
COR 475,Cross Cultural Studies-Advanced,3,"Application Required Offers a variety of study options in several foreign countries. Students fulfill all of the same course assessments, 
experiences, and activities as 375 with an added research project related to the course objectives or an issue that can 
be explored and researched at a deeper level than would typically be required in"
CPS 105,Introduction to Linux,1,Fall Linux coding methods and applications.
CPS 150,Introduction to Computers,3,"Limited Introduces computer hardware and software including major components such as CPU, memory, input, output, 
secondary storage, communications, selection of computer equipment, and the social implications of computer 
technology.  Includes lab application of productivity tools, such as word-processing, spreadsheets, presentation, 
database software, as well as the Internet, email, and web page creation. Does not count toward major or minor."
CPS 201,Coding I,4,"Fall Examines approaches to computing solutions for problems in multiple subject areas. Emphasis on efficient algorithm 
design and program structure. Introduces data structures, software engineering, and object-oriented programming in 
Python. Includes lab."
CPS 202,Coding II,4,"Spring Emphasizes object-oriented programming in Java. Additional topics include source code versioning, unit testing, and 
code refactoring. Includes lab."
CPS 203,Web Design and Development,3,"Spring Explores how to deliver interactive webpages through a web browser, develop single page applications, represent the 
data structurally with HTML, design the presentation with CSS, and use open-source design frameworks. Introduces 
basic concepts of UX, networking, Internet Protocols, DNS, URL, and web services. Explores modern web technologies 
including HTML5, CSS3, DOM manipulation, responsive and adaptive design, JavaScript front-end frameworks (e.g., 
VUE and React), design patterns, search engine optimization, typography, etc.  
Prerequisite:"
CPS 313,Computer Systems Security,3,"Odd Springs Introduces fundamental concepts of computer systems security access including the threat environment, corporate 
security policy, cryptography, network security access control, firewall architecture, host hardening, application 
security, data security, and business continuity. Examines security concepts through case studies. It is advisable for 
students to complete"
CPS 429,"Systems Analysis and Design I. 

CPS 361 Foundations of Linux for Cybersecurity",3,"Online Linux, a web-based server for file and storage management uses open source coding of the kernel, command-line 
utilities, shell environments, system configurations, processes, control of networks, devices, and access control 
features for many online transactions to maintain protection from cybersecurity attacks."
CPS 362,Ethical Hacking Tools and Techniques,3,"Online Introduces hacking techniques and tools including sniffers, DoS, Hijackings, IDS, Firewalls, honeypots validate the 
varied attacks on networks. Cracking encryption, mobile devices, cloud computing, IoT, cryptology, and PKI 
Infrastructure requires cryptanalysis and cryptographic cybersecurity attack countermeasures. 
Prerequisite:"
CPS 361,"Foundations of Linux for Cybersecurity 

CPS 363 Security and Management Controls",3,"Online Focus on managing settings and configurations and the application of security and management controls to differing 
operating systems. Addresses effective communication, listening, analysis, and interaction skills with stakeholders."
CPS 364,"Cyber Threats, Analysis, and Response",3,"Online Examines penetration multi-processes, social and physical security, reconnaissance scanning and enumeration 
countermeasures with enhanced vulnerability assessments - as related to system hacking measures. Covert hacking 
methods while maintaining access with escalation will expose the means of covering their tracks. 
Prerequisite:"
CPS 403,Information Assurance and Security,3,"Fall Covers cyber operations and best practices for securing technology infrastructures, protecting digital assets, and 
minimizing related risks. Includes basic security concepts, security policy, access control, authentication and key 
control, cryptography, offensive cyber operations, cyber-related legal precedents and regulations, wired and wireless 
network security, and intrusion detection and prevention systems. 
Prerequisite:"
MAT 232,"Proof and Discrete Structures and junior status. 

CPS 429 Systems Analysis and Design I",3,"Fall Introduces systems development methodologies. Emphasis on the systems development life cycle: planning, analysis, 
design, implementation, testing, operation, and support. Application of systems analysis concepts using case studies.  
Prerequisite:"
CRJ 217,Criminal Justice Exploratory,1,"Fall Exposes students to careers in criminal justice and minimum requirements (fitness, exam scores, etc.) for various 
careers in criminal justice. Should be taken concurrently with"
CRJ 201,"Crime, Corrections, and Criminal Justice. 

CRJ 253 Forensic Psychology (3) 
See PSY 253. 

CRJ 301 Criminological Theory",3,"Even Falls An overview of biological, sociological, psychological, and cultural theories of crime causation. Includes a brief history 
of criminological theory with special emphasis on social process, structure, and conflict theories. Cross listed"
CRJ 342,Criminal Law and Court Procedures,3,"Odd Springs Introduces criminal law and procedures, the roles of prosecution and defense attorneys, court procedures and 
decision-making processes, rules of evidence, prosecutorial and judicial discretion, and sentencing guidelines."
CRJ 344,Juvenile Delinquency,3,"Even Springs Introduces causes, incidence, and the history of juvenile delinquency in the United States. Topics include gangs, 
substance abuse, and runaways. Explores criminal justice policies and programs focused on juveniles."
CRJ 447,Criminal Justice Policy,3,"Odd Falls Focuses on criminal justice policies by emphasizing evidence-based policy analysis. Students will apply knowledge 
gained from criminological theory and research design to critically analyze and evaluate criminal justice policies.  
Prerequisite:"
CRJ 301,"Criminological Theory 

CRJ 449 Restorative Justice",3,"Even Springs Explores basic principles of restorative justice and specific programs focused on redemptive practices in criminal 
justice including restitution programs, victim-offender reconciliation programs, and alternatives to incarceration. 
Students will actively explore principles of the Christian faith and how they inform criminal justice policies.  
Prerequisite: EDU 140 Exploring Critical Skills for the Professional Educator." 



ECE 266, Early Child Growth and Development,3,"Fall Focuses on the prenatal stages of human development through age eight. Students will study normal and exceptional 
development of the physical, cognitive, emotional, and social domains of young children in the contexts of home and 
group settings. Field assignments: two hours a week. Individually arranged with instructor. ""C"" or better required. 
Prerequisite: ECE 266 Early Child Growth and Development, ""B-"" or better in EDU 140 Exploring Critical Skills for the 
Professional Educator and EDU 140L Professional Skills Lab." 

ECE 340, Emergent and Beginning Literacy ,3,"Spring Explores theories and research in emergent literacy, beginning reading, phonics instruction, and spelling. Compares 
historical perspectives on language acquisition, beginning reading and writing, the interrelationship of reading, 
writing, listening, and various stages of reading, writing, and spelling development using assorted children’s literature, 
poetry, drama, and storytelling. Field experiences include observing, interviewing, assessing language needs, and 
providing targeted strategies for book creation with individual students. ""C"" or better required. Cross listed EDU 230 Educational Psychology or ECE 266 Early Child Growth and 
Development and EDU 267 Early Adolescent Development."
ECE 360, Assessing Software ,1,"Spring Online Students identify and analyze the usefulness of various technologies and how they affect children. Students will investigate and interact with technologies to learn how to use children’s software, promote children’s inquiry, and connect and integrate a variety of software and technologies into children’s learning. ""C"" or better required. Prerequisite: ECE 368 Young Children with Special Needs."

ECE 416, Early Childhood Policy and Standards,2,"Spring Focuses on policies and regulations specific to early childhood care and educational settings. Covers effective 
guidance of young children, from birth through age 8, as individuals and within group settings; government 
regulations for early childhood programs and personnel; and ethical standards for certification of ECE professionals. 
To be taken the semester preceding the professional student teaching semester. ""C"" or better required. 
Prerequisites: SOE admission, ECE 265 Social Foundations of Early Childhood Education, ECE 365 Curriculum and 
Methods of Early Childhood Education, senior standing. " 

ECE 430, Seminar in Teaching Early Childhood,1,Online Concurrent with student teaching (
ECE 450,Directed Teaching - Early Childhood,5,"Fall, Spring Mentored early childhood teaching experience to complement a successful elementary placement. Provides 
observation and management of the classroom and learning activities of young children. The student assumes 
increasing responsibility for directing the classroom. Graded ""S""/""U.""  
Prerequisites: SOE admission, satisfactory completion of required EDU courses, approval to student teach. 

ECN (Economics)"
ECN 101,Introduction to Economics,3,"Odd Springs; Fall and Spring Online Surveys basic principles of economics and the leading schools of thought in the Western world—classical, Austrian, 
and Keynesian contemporary—with implications for modern life and political policy."
ECN 221,Introduction to Microeconomics,3,"Fall Introduces microeconomics and the influences that determine prices, functions of prices in a free market economy, 
distributions of income, and various market structures."
ECN 222,Introduction to Macroeconomics,3,"Spring Introduces macroeconomics and the American economy. Includes organizational and functional aspects of American 
capitalism; the money and banking system; factors that determine aggregate employment, production, and income; 
and fiscal and monetary policies. 
Prerequisite:"
ECN 306,Macroeconomic Applications for Managers,3,"Sites, Online Students analysis to analytically synthesize how various macroeconomic course topics effect the student’s place of 
employment or other organization. Topics include growth, inflation, interest rates, monetary and fiscal policies, and 
international economic issues. A case study approach will be used to help students with application."
ECN 322,Globalization: International Economics in the Information Age,3,"Odd Falls Surveys the principles, regimes, and dynamics of the international economy looking at productive factors, trade, 
financial payments, regulatory mechanisms, and international challenges in the information age. Cross listed"
EDU 201,Teaching Elementary Health and Physical Education,2,"  
See HPR 201. "

EDU 202, Issues and Trends in American Education,2,"Fall, Spring Examines historical and contemporary educational ideas, including how unique legal, religious, cultural, and diversity 
issues have shaped education in the United States. Philosophical foundations of schools as instruments of national 
purpose, values, and social change are studied, and students begin to develop their own philosophy of education. 
Important educators and topics such as school governance, finance, curriculum standards and accountability, and 
professional learning communities are also addressed. ""B-"" or better is required to advance in the SOE. 
Prerequisites: ""B-"" or better in"
MAT 201,Calculus I,0, "EDU 202 Issues and Trends in American Education, EDU 230 Educational Psychology." 



EDU 343, Teaching Science at the Secondary Level,2,"Even Falls Topics unique to the teaching of science at the secondary level. Emphasis on recent curriculum developments in 
science and on laboratory supervision. Off-campus site visit required. ""B-"" or better required. 
Prerequisites: SOE admission, and ""C"" or better in"
SST 200,Human Society: Learning in the Social Studies.,NON,NON  

EDU 353, Teaching Science and Math STEM in K-8 Schools,4,"Odd Springs A practical learning laboratory. Examines a variety of techniques, activities, and methods for teaching science, 
technology, engineering, and mathematics in elementary and middle schools. Emphasizes understanding and using 
Michigan Science Standards and Common Core State Standards in developing objective-based lesson plans. Includes 
site-based application of pedagogical content knowledge and effective practices in supervised settings under certified 
teachers and the instructor. Off-campus site visits required. ""B-"" or better required. 
Prerequisites: SOE admission, ""B-"" or better in" 

EDU 360, Integrating Technology in Education,2,"Fall, Spring Focuses on theory and practice of integrating technology into PK-12 teaching; development of a technology portfolio; 
hands-on use of hardware, software, and web tools; effective online teaching/learning with support skills; cognitive 
and motivational basis for effective technology use; benchmarks for PK-12 teaching and learning; and assessment of 
and reflection on technology-based teaching and learning in class and field experience. ""C"" or better required. 
Prerequisites: ""B-"" or better in"
EDU 376,Children’s Literature,3,"Spring Prepares prospective elementary teachers with knowledge and enthusiasm for the literature of children and young 
adults. The various genres will be introduced and evaluative considerations for selection of appropriate materials and 
enrichment activities will reinforce the versatility of children’s literature throughout the school curriculum. Does not 
count toward English or language arts major or minor. ""C"" or better required for teacher education programs. 
Prerequisite: ""B-"" or better in EDU 321,Teaching Reading and Language Arts in Primary Grades or EDU 322 Teaching Reading and Language Arts in Intermediate Grades. "

EDU 425, Reading Development in Middle and Secondary Content Areas,3,"Fall Focuses on literacy development strategies emphasizing effective learning in content contexts. Secondary school 
instruction encompasses reading comprehension, critical reading, integrated writing, and study strategies. Students 
examine the role of assessment tools to enhance reading to learn, as well as writing to learn, and methods to promote 
more extensive reading. Interaction with adolescent readers required. ""C"" or better required. 
Prerequisites: SOE admission, and ""C"" or better in methods courses."
EDU 429,"Effective Classroom Management, Assessment and Instruction",3,"Fall, Spring Designed as a capstone course for preparation as a professional educator. Students revisit what they have learned and 
investigate current research and best practice regarding the essential elements of classroom management, classroom 
assessment, and teaching style/strategies. ""B"" or better required. 
Prerequisites: SOE admission, and ""C"" or better in methods courses."
EDU 433,Applied Core Teaching Practices Across the Curriculum (PK-6),4," 
A practical learning laboratory. Candidates apply learned math, science, and social studies content using a variety of 
techniques, activities, and methods that directly align to core teaching practices. Emphasizes understanding and using 
Michigan elementary curriculum benchmarks in developing and presenting objective-based lesson plans and 
standards-based units. Requires a minimum 20 hours of teaching and learning in a site-based clinical experience 
supervised by a certified teacher. Core teaching practices are observed and documented with evidence. 
Corequisites: ed"


EDU 450E ,Directed Teaching: Elementary,NON, "(Fall, Spring) 
Mentored elementary school teaching. Provides observation and management of the classroom and the learning 
activities of pupils. The student assumes increasing responsibility for directing the classroom. Students seeking early 
childhood endorsement also take ECE 450 Directed Teaching: Early Childhood. Students seeking SED LD endorsement 
also take SED 450 Mentored Experience in Teaching Special Education L.D. The number of credit hours to be taken will 
be determined individually based on specific number of weeks required for placement(s), as articulated in the student 
teacher policy. Graded ""S""/""U."" 
Prerequisites: SOE admission, satisfactory completion of all required education courses and the required 120 hours of 
pre-student teaching field experience and approved to student teach. "

EDU 450M, Directed Teaching: Middle School,NON, "(Fall, Spring) 
Mentored middle school teaching experience to complement a successful elementary placement. Provides 
observation and management of the classroom and learning activities of pupils. The student assumes increasing 
responsibility for directing the classroom. Credit hours are determined individually based on the number of weeks 
required for placement(s), as articulated in the student teacher policy. Graded ""S""/""U.""  
Prerequisites: SOE admission, completion of all required education courses, 120 hours of pre-student teaching field 
experience, and approved to student teach. "

EDU 450S, Directed Teaching: Secondary,NON, "(Fall, Spring) 
Mentored secondary school teaching. Provides observation and management of the classroom and the learning 
activities of pupils. The student assumes increasing responsibility for directing the classroom. Students seeking SED 
endorsement also take SED 450 Mentored Experience in Teaching Special Education L.D. Number of credit hours will 
be determined individually based on specific number of weeks required for placement(s), as articulated in the student 
teacher policy. Graded ""S""/""U."" 
Prerequisites: SOE admission, satisfactory completion of all required education courses and the required 120 hours of 
pre-student teaching field experience and approved to student teach." 

EDU 452, Directed Teaching II,NON," (Fall, Spring) 
An additional experience in mentored teaching for those who need further experience in development of classroom 
techniques. Number of credit hours will be determined individually based on specific number of weeks required for 
placement(s), as articulated in the student teacher policy. 
 Prerequisite: EDU 450E/S Directed Teaching Elementary/Secondary and approved to student teach. 
EGR (Engineering) "

EGR 100, Introduction to Engineering I,3,"Fall An introduction to engineering as a career, including problem solving, engineering disciplines, design, teamwork, and 
communication. An introduction to engineering graphics is included with an emphasis on solids modeling. 
Corequisite:"
EGR 110,Basics of Engineering Design,1,"Interim An introduction to the engineering design process. 
Prerequisite:
EGR 100 Introduction to Engineering I. 
"
EGR 112,Introduction to Engineering II,1,"Spring Introduces the engineering design process, including teamwork development, ethics, professionalism, and reporting. 
Prerequisite:
MAT 202 Calculus II. 
Corequisite: EGR 203L. 
"
 
EGR 206, Statics,3,"Fall Fundamental mechanics concepts, equilibrium of force systems, structural applications, cables, friction, virtual work.  
Prerequisite:
EGR 206 Statics. " 
 
EGR 221, Advanced Circuits,3,"Spring Complex frequency analysis of linear networks, transient RLC network response, mutual coupling and ideal 
transformers, frequency response, Laplace transforms as applied to two-port networks, time and frequency domain 
transformations.  
Prerequisite:
EGR 203 Electric Circuits w/Lab. 
Corequisite: MAT 311 Differential Equations. 
"
EGR 222, Digital Electronics,3,"Spring Application of Boolean algebra to the design of logic circuits; Karnaugh maps; registers, counters, and data conversion; 
microlabs for combinational and sequential logic circuits are included. 
Prerequisite:
EGR 222,Digital Electronics."
EGR 310, Electronics w/Lab,3,"Fall An introduction to diodes, transistors and op amps and their use in electronic circuits; semiconductor theory; amplifier 
design; power amplifiers; and stability. Lab experiments involving design with transistors and op amps. 
Prerequisite:
EGR 221 Advanced Circuits. 
Corequisite: EGR 310L. 
 "
EGR 321, Digital Signal Processing w/Lab,4,"Spring Principles of signal processing using sample data including z-transforms, FIR filters, IIR filters, FFT, and 
implementations. Design applications include processing of digital signals and bio-potentials. Three lecture credit 
hours and two to three laboratories during the semester. 
Prerequisite:
EGR 216 Dynamics. 
 "
EGR 401, Senior Design I,4,"Fall Application of design principles to a capstone engineering project. Team-based projects include developing design 
specifications, conceptual designs and final designs, as well as significant oral and written communication 
components. Project examples include intercollegiate competition, industry sponsored, applied research and service 
projects. Students pursuing more than one concentration in engineering or engineering technology must complete a 
two-semester sequence in senior design for each concentration. Includes weekly seminar on professional topics. 
Prerequisites: senior standing,
EGR 301 Intro to Microcontrollers w/Lab, EGR 321 Digital Signal Processing w/Lab. 
 "
EGR 402, Senior Design II,4,"Spring Completion of final design, fabrication, testing and reporting of the engineering design projects initiated in
EGR 401 Senior Design I.  
Prerequisites: EGR 401 Senior Design I and permission of the instructor. 
"
 
EGR 411, Introduction to Microprocessors and Microcomputers w/Lab,3,"Even Springs Application of digital and logic concepts to the study of microcontroller and microprocessor function and use, 
assembly language programming, and software design for typical applications. 
Prerequisite:
PHY 211 Modern University Physics I, BIO 264 Anatomy and Physiology I. 
 "

ENG 103, Basic Writing,3,"Fall Basic skills in writing with emphasis on the writing of clear sentences, paragraphs, and short essays. Does not count 
toward a major or minor in English or language arts. Required for main campus students with SAT Writing Test sub-
score below 27. For Global and online programs, students may waive with a passing writing sample score as 
determine by SAU evaluators. May also transfer in CLEP credit to meet this requirement. ""C"" or better is required.\
ENG 103 Basic Writing with a ""C"" or better. 
Off-campus programs require a passing grade on a writing sample. 
 "
ENG 112, World Literature,3,"Fall, Spring, Even Interims, Online Selections from the great literary masterpieces of world literature (classical to Renaissance periods), stressing analysis 
of genre. Cannot be used as a substitution in English or language arts majors or minors.  
Prerequisite:
ENG 112,"World Literature and sophomore standing. 
 ""
ENG 304, Writing and Research,3,"Fall, Spring, Sites, Online Focuses on writing as process and writing skills that support research in the disciplines. Several shorter papers will 
contribute to a larger writing project to help students create a portfolio of their best work. C or better is required.  
Prerequisite: C or better in
ENG 208,"Creative Writing. ""

ENG 311, Poetry Writing,3,"Odd Falls An in-depth study and application of the craft of contemporary poetry. Students will study the unique forms, 
techniques and styles of contemporary poets, engage in original research of an individual poet or school, and develop 
their own poetry.  "
ENG 322,19th Century American Literature,3,"Even Springs Covers the authors immediately following the formation of the U.S. as a nation, especially their voices and visions 
shaping the new nation. Reviews the work of the American Romantics prior to the Civil War; after the war, the course 
focuses on the major writers who represent new voices of the American Realism in America’s emerging landscape."
ENG 329,Early British and Continental Literature,3,Even Springs A survey of Early British and Continental literature.
ENG 330,Genre,3,"Limited The style, form and content of varying types of literature: drama, film, mythology, fantasy, epic poetry, novel, and 
short story. Examples: English novel, existential literature, and major American novelists."
ENG 333,The Bible as Literature,3,"Spring Examines the Bible as one of the foundational texts for Western literature and why its content and form have so 
deeply influenced literary artists. Explores biblical narrative, poetry and features of key biblical genres. Exposes 
students to the aesthetic unity of the Bible."
ENG 350,Early 20th Century American Literature,3,"Odd Falls A study of the major and secondary authors of American literature from 1865 to 1945, including Ernest Hemingway 
and William Faulkner, with emphasis on the American experience."
ENG 352,American Literature: World War II - Present,3,"Odd Springs American literature since WWII with an emphasis on the changing culture and evolving canon regarding the 
emergence of ethnic writers."
ENG 360,19th Century British Literature,3,"Odd Falls A study of prose, poetry and selected novels of nineteenth-century Britain beginning with the roots of romanticism 
and continuing through the late Victorian period."
ENG 361,English Language,3,Fall History of the English language from the Anglo-Saxon period to the present. Philosophy of language in general.
ENG 362,20th Century British Literature,3,"Even Springs Includes both a variety of literary forms – poetry, novels, plays, short-stories – as well as voices from the many corners 
of Britain: Irish, English, Scottish, Welsh, and Northern Irish."
ENG 420,Major Authors,3,"Limited In-depth examination of one or more literary figures, such as Chesterton, Dostoevsky, C.S. Lewis, and Wendell Berry.  
 
ENT (Entrepreneurship)"
ENT 201,Small Business Management: An Entrepreneurial Approach,3,"Even Falls Highlights how entrepreneurs approach small business opportunities and challenges. Students will be challenged to 
think critically and consider how to apply various business discipline concepts in a real-world context while embracing 
the necessary character attributes of innovation in business practice."
ENT 311,Entrepreneurship and Planning for Success,3,"Odd Springs Introduces the process of turning an idea into a successful startup enterprise. Focuses on the Business Plan as a 
necessary component to beginning a small business and a process by which ideas can become businesses. Addresses 
facets of the business plan from determining actual content, reviewing examples of plans, to creating a 
comprehensive plan.  
COURSE DESCRIPTIONS 


Spring Arbor University 2022-2023 Undergraduate Academic Catalog 
258"
ENT 401,Social Entrepreneurship,3,"Odd Falls Opportunity to develop entrepreneurial approaches to addressing global challenges. Students engage in the 
application of innovation and risk-taking to solve various social challenges from an entrepreneurial perspective. 
Covers business entrepreneurship skills such as planning, opportunity analysis, initiative, financial management, 
resourcefulness, and creativity as keys to the changing of the systems and patterns of society to provide creative 
solutions within a Christian context. 

FAS (Fine Arts)"
FAS 152,Fine Arts for Nurses,3,"Spring Explores the relationships between the fine arts (visual arts and music) and the religious, political, and social values of 
a culture. Through systematic, comparative study of two the Renaissance and Contemporary, students develop an 
increased perceptual and aesthetic awareness. Emphasizes assessment and integration of information from a variety 
of sources and perspectives. Meets the general education fine arts requirement (music and art) for nursing students. 

FIN (Finance)"
