code,name,credits,description
MEG 3500,Orthopedic Biomechanics ,Three,"The human musculoskeletal system will be investigated and then evaluated as a mechanical system. 
Experimental data and research documents will be used to solve different biomechanical problems.  An 
introduction to orthopedic implant science will also be included. Prerequisite: MEG 2900. Three hours. 
 "
MEG 3600,Robotics ,Three,"This course provides an overview of robot mechanisms, dynamics, and intelligent controls. Topics 
include planar and spatial kinematics, and motion planning; mechanism design for manipulators and 
mobile robots, multi-rigid-body dynamics, 3D graphic simulation; control design, actuators, and sensors. 
Training and certification on a KUKA 6-axis educational robot will be included in this course. 
Prerequisites: MEG 2800, MEG 3100, and MEG 3200. Three hours. 

"
BIO 1010,Bioscience Survey  ,Three,"A broad overview of living organisms, their structure, function, and relationships to their non-living 
environment, to each other, and to humans. Special attention is given to cellular biology as it applies to 
both lower and higher forms of life. Students must enroll concurrently in BIO 1020 Bioscience Survey 
Laboratory. (Credit will not be given for both BIO 1010 and BIO 1610). Three hours. "
BIO 1020,Bioscience Survey Laboratory  ,0,"The laboratory is designed to support BIO 1010 and must be taken concurrently with the course. This 
course has a fee for consumables used in its labs. "
BIO 1200,Medical Terminology  ,Three,"Students will focus on building core medical vocabulary by analyzing their prefix, suffix, root, connecting 
and combining forms. Through such analysis, students gain an understanding of the human body’s 
structure, function and diseases. Three hours.  "
BIO 1610,General Biology I ,Four,"Principles of structure, function, and cellular organisms. Includes an introduction to the scientific 
method, characteristics of cytoplasm, and basic cytology, energy acquisition and release and heredity. 
Also includes basic plant structure and function. Students must enroll concurrently in BIO 1620. Four 
hours. "
BIO 1620,General Biology I Laboratory ,0,"The laboratory is designed to support BIO 1610 and must be taken concurrently with the course. This 
course has a fee for consumables used in its labs. "
BIO 1710,General Biology II ,Four,"A continuation of BIO 1610. Includes structure, function and interrelationships of the organ systems of 
animals with particular attention to the human body. Also includes introductory taxonomy, surveying 
the major groups of plants and animals. Prerequisite: BIO 1610/1620 or permission of the instructor. 
Students must enroll concurrently in BIO 1720. Four hours. "
BIO 1720,General Biology II Laboratory ,0,"The laboratory is designed to support BIO 1710 and must be taken concurrently with the course. This 
course has a fee for consumables used in its labs. "
BIO 2010,Anatomy and Physiology I ,Four,"This course is designed for students pursuing a career in an allied health field (nursing, health and 
wellness, etc.) The class includes the study of basic gross and microscopic anatomy and the function of 
the body on cellular, tissue, and organ system levels. The class will include organization of the body, 
cytology, basic histology, and the study of several organ systems – integumentary, skeletal, muscular, 
nervous, and endocrine. Remaining body systems including – circulatory, respiratory, digestive, urinary, 
and reproductive to be covered in course BIO 2040. Students must enroll concurrently in BIO 2020. Four 
hours. 
 
 


 "
BIO 2020,Anatomy and Physiology I Lab ,0,"The laboratory is designed to support BIO 2010 and must be taken concurrently with the course. This 
course has a fee for consumables used in its labs.  "
BIO 2040,Anatomy and Physiology II ,0,"This course is designed for students pursuing a career in an allied health field (nursing, health and 
wellness, etc.) This course includes a basic study of the gross and microscopic structure of several major 
organ systems – endocrine, circulatory, respiratory, digestive, urinary, and reproductive. The other body 
systems including – integumentary, skeletal, muscular, nervous, and endocrine to be covered in course "
BIO 2050,Anatomy and Physiology II Lab ,0,"The laboratory is designed to support BIO 2040 and must be taken concurrently with the course. This 
course has a fee for consumables used in its labs. "
BIO 2100,Health Sciences Seminar ,One,"An overview of the health professions, as presented by current practicing medical professionals. 
Includes occupations ranging from nurse to medical doctor to veterinarian to chiropractor, with many 
others included. Prerequisites: BIO 1610/1620 and BIO 1710/1720, or consent of the instructor. One 
hour. "
BIO 2110,General Ecology  ,Four,"A study of the interaction of organisms with their physical environment and with each other. Particular 
focus will be on application of ecological concepts and field work in various local ecosystems. Students 
must enroll concurrently in BIO 2120. Four hours. (Cross-listed; register as ENV 2110.) "
BIO 2120,General Ecology Lab ,0,"This laboratory is designed to support BIO 2110 and must be taken concurrently with the course. (Cross-
listed; register as ENV 2120.) This course has a fee for consumables used in its labs. "
BIO 2210,Principles of Nutrition ,Three,"Functions and interrelationships of food nutrients throughout the life cycle of man. Includes digestion, 
absorption and metabolism of nutrients, as well as dietary evaluation and modification for physiological 
needs. Other areas of study include: role of social, psychological and cultural factors in food selection. 
Prerequisite: BIO 1610/1620 or consent of the biology program director. Three hours. "
BIO 2240,Intro to Public Health ,Three,"This is an introductory course in public health designed for students pursuing careers in healthcare. 
Various aspects of public health are explored, including: infection disease; psychosocial behavior; 
environmental issues; and governmental policy-making. Epidemiological approaches to understanding 
public health data feature prominently throughout the course. Pre-requisite: MAT 3200. Three hours. "
BIO 2310,Biochemistry ,Three,"A study of the basic composition, function and metabolism of carbohydrates, lipids and proteins. 
Emphasis is placed on the catalytic function and regulation of enzymes, and on the process of cellular 
respiration. Some consideration given to the role of nucleic acids in cellular metabolism. The course 
includes hands-on laboratory experiments involving current procedures in biochemistry. This course has 
a fee for consumables used in its labs. Prerequisite: CHM 1710/1720 and BIO 1610/1620, or consent of 
instructor. Three hours. 


 "
BIO 2410,Plant Biology ,Four,"Integrated study of plants as organisms. Deals with plant structure, physiology, development, genetics, 
ecology, and classification of major plant groups. Prerequisite: BIO 1610/1620 or consent of the 
instructor. Students must enroll concurrently in BIO 2420. Four hours. "
BIO 2420,Plant Biology Laboratory ,0,"The laboratory is designed to support BIO 2410 and must be taken concurrently with the course. This 
course has a fee for consumables used in its labs. "
BIO 2510,Animal Biology ,Four,"Integrated study of animals as organisms. Deals with animal structure, physiology, development, 
genetics, ecology, and classification of major animal groups. Prerequisite: BIO 1610/1620 or consent of 
the instructor. Students must enroll concurrently in BIO 2520. Four hours. "
BIO 2520,Animal Biology Laboratory ,0,"The laboratory is designed to support BIO 2510 and must be taken concurrently with the course. This 
course has a fee for consumables used in its labs.  "
BIO 2700,Introduction to Microbiology ,Four,"An organ systems approach to the study of disease-related microorganisms intended for the nursing 
major. The foundations of microbiology are presented through the lens of disease processes as 
bacterial, viral and parasitic infections relevant to health professionals are explored. Other course topics 
include: host-parasite interaction; virulence factors; hospital and community acquired infections; 
mechanisms of gene transfer; disinfection; antimicrobial drugs; and, immunology. Prerequisite: BIO 
1010/1020; or BIO 1610/1620; or BIO 2010/2020; or consent of the instructor. Students must enroll 
concurrently in BIO 2710. Four hours. 
 "
BIO 2710,Introduction to Microbiology Laboratory ,0,"The laboratory is designed to support BIO 2700 and must be taken concurrently with the course. This 
course has a fee for consumables used in its labs.  "
and 2870,"Healthcare Observation 1, 2, 3 ",40,"Each of these courses requires 40 hours of shadowing a healthcare professional in the area of the 
student’s desired future occupation, during which time the student will become more familiar with the 
specifics of the career. Shadowing may require that the student be vetted through the volunteer process 
of a healthcare facility (may include an application, drug screening and/or health testing, which are the 
student’s responsibility to complete). A different healthcare professional must be shadowed for each 


 
course; the intent is that the student completes all 3 courses to fulfill the required 3 credits of practical 
experience (the shadowed medical practitioners may be in the same profession). Prerequisite: BIO 
1610/1620 and BIO 1710/1720, or consent of the instructor. The courses may be taken concurrently. 
One hour per course. 
 "
BIO 3110,Cell and Molecular Biology ,Three,"A study of the basic principles that guide cellular composition, organization and function. Particular 
attention will be paid to understanding the molecular mechanism that underlies cell function. Topics 
studied in the course include, processes of energy extraction, membrane transport, cell surface 
communication, cell cycle and regulation, cell division, along with the study of specialized cells like 
gametes, lymphocytes, neurons, muscle cells, and cancer cells. The course includes hands-on laboratory 
experiments involving current procedures in cell and molecular biology. This course has a fee for 
consumables used in its labs. Prerequisite: BIO 2310 or consent of the instructor. Three hours.  "
BIO 3210,Advanced Anatomy and Physiology I ,Four,"This course is designed for students preparing for graduate studies in biology/medically related 
programs (medicine, physical therapy, pharmacy, veterinary medicine, etc.). The class includes an in-
depth look at organization of the human body, cytology, histology, and the study of several of the major 
organ systems – integumentary, skeletal, muscular, nervous, and endocrine. A detailed study of the 
remaining body systems including – circulatory, respiratory, digestive, urinary, and reproductive to be 
covered in course BIO 3310/3320. Students must enroll concurrently in BIO 3220. Prerequisites: BIO 
1710/1720 or consent of the instructor. Four hours. "
BIO 3220,Advanced Anatomy and Physiology I Lab ,0,"The laboratory is designed to support BIO 3210 and must be taken concurrently with the course.  This 
course has a fee for consumables used in its labs.  "
BIO 3310,Advanced Anatomy and Physiology II ,Four,"This course is designed for students preparing for graduate studies in biology/medically related 
programs (medicine, physical therapy, pharmacy, veterinary medicine, etc.). This course includes an in 
depth study of the gross and microscopic structure of several major organ systems – endocrine, 
circulatory, respiratory, digestive, urinary, and reproductive. A detailed study of the other body systems 
including –integumentary, skeletal, muscular, nervous, and endocrine to be covered in course BIO 
3210/3220. Students must enroll concurrently in BIO 3320. Prerequisites: BIO 1710/1720 or consent of 
the instructor. Four hours. 
 
 
 


 "
BIO 3320,Advanced Anatomy and Physiology II Lab ,0,"The laboratory is designed to support BIO 3310 and must be taken concurrently with the course. This 
course has a fee for consumables used in its labs. "
BIO 3710,Pathophysiology ,Three,"This course covers the biological basis for disease within the human body. Pathological conditions are 
presented by organ system, including disorders caused by injury, infection, deficiency, and genetics. A 
review of basic anatomy and physiology is included with each body system in order to contrast normal 
and diseased states of tissues and organs. The origin of each disease is analyzed down to a cellular or 
tissue level to provide root understanding of the cause of human disease. Prerequisite: BIO 1710/1720 
or BIO 2040/2050. Three hours. "
BIO 4010,Biology Senior Seminar ,0,"This course is designed as a capstone course for science majors and is meant to teach valuable skills and 
give experience with tools needed for science careers or post-graduate education. Coursework is 
designed to challenge the student to integrate their current biological knowledge with a Biblical 
worldview, as well as to consider their future role as a Christ-follower in the workforce. Prerequisites: "
BIO 2310,"and senior class standing, or consent of the instructor. Three hours. ",Four,"BIO 4110 Microbiology 
An introductory study of microorganisms dealing with the morphology, physiology and cultivation and 
identification of microbes and their role in the environment. Other areas studied include: immunology, 
genetics, metabolism, food, preservation, and diseases. Prerequisite: BIO 1610/1620 and BIO 
1710/1720, or consent of the instructor. Students must enroll concurrently in BIO 4120. Four hours. "
BIO 4120,Microbiology Laboratory ,0,"The laboratory is designed to support BIO 4110 and must be taken concurrently with the course.  This 
course has a fee for consumables used in its labs. "
BIO 4210,Genetics ,Three,"A study of both in-depth classical genetics and underlying molecular mechanisms; also genetic 
mechanisms and processes, recombination, genetic interaction, and gene regulation. The process of 
expression of genetic information through protein synthesis is also considered in depth. The 
course includes hands-on laboratory experiments involving current procedures in molecular genetics.  
This course has a fee for consumables used in its labs. Prerequisite: BIO 2310 or consent of the 
instructor. Three hours. 
 
 


 "
BIO 1710,and BIO 2310 or consent of the biology program director. One to three ,six,"hours. Maximum of six hours permitted. 
 
CHEMISTRY "
CHM 1010,Introduction to Chemistry ,Four,"This course is designed to give the student a broad introduction to general, organic, and biological 
chemistry. The lecture emphasizes general chemical concepts while the laboratory concentrates on 
techniques and data handling. Students must enroll concurrently in CHM 1020. Four hours.  "
CHM 1020,Introduction to Chemistry Lab  ,0,"Designed to support CHM 1010 and must be taken concurrently with the course. This course has a fee 
for consumables used in its labs. "
CHM 1610,General Chemistry I  ,Four,"This course is designed to investigate all topics normally found within the American Chemistry Society 
recommended guidelines (i.e., atomic structure, physical measurements, chemical reactions and 
balancing equations, percent composition, solubility and precipitation, redox chemistry, gas laws, 
thermochemistry, quantum chemistry, VSEPR theory, molecular orbital theory, unit cells and unit cell 
calculation, and intermolecular forces) for a first-semester freshmen chemistry course. Students must 
enroll concurrently in CHM 1620. Four hours. "
CHM 1620,General Chemistry I Lab  ,0,"General Chemistry I Lab investigates many of the concepts discussed in CHM 1610 and re-enforces the 
student’s applied learning. Students must enroll concurrently in CHM 1610. This course has a fee for 
consumables used in its labs. "
CHM 1710,General Chemistry II ,Four,"This is the second part of a two-semester sequence in general chemistry. This course studies and 
problem solves topics in solution chemistry, chemical kinetics, chemical equilibria, thermodynamics, 
acid-base equilibria, electrochemistry, and an introduction to organic chemistry. Prerequisite: CHM 
1610/1620. Students must enroll concurrently in CHM 1720. Four hours. "
CHM 1720,General Chemistry II Lab  ,0,"General Chemistry II Lab focuses on the van’t Hoff factor and its effect on boiling point elevation, 
chemical kinetics of a combustion reaction, chemical equilibria and reaction rates, synthesis of biodiesel, 
electrochemical cells, oxidation-reduction, and testing functional groups of organic compounds. 
Students must enroll concurrently in CHM 1710. This course has a fee for consumables used in its labs. "
CHM 2300,Forensic Chemistry ,Three,"This is a descriptive course covering the wide spectrum of current forensic chemistry and its application 
in criminal investigations. Drugs, drugs as physical evidence, seized drugs and their analysis, and 
selected drug classes are investigated. Drugs in the body, and the chemistry of combustion and arson, 
explosives, and firearms are also covered. Quantitative reasoning is utilized in the form of scientific units 
(e.g., dosage) and in oxygen balance calculations (i.e., explosives). Discussion boards and documented 
case studies re-enforce the material covered. Three hours. 


 "
CHM 2610,Organic Chemistry I  ,Four,"This is a first part of a two-semester sequence in organic chemistry. Fundamentals of organic chemistry 
will be studied which include atomic structure, functional groups, acid-base chemistry, chemical 
nomenclature, alkane conformations (Newman configurations, chair conformations), SN2/SN1/E2/E1 
reactions and their mechanisms, alkene reactions and mechanisms, radical reactions and their 
mechanism and general physical and chemical properties of all organic compounds presented herein. 
Additionally, FT-IR, 1H NMR and 13C NMR spectroscopy will be investigated along with mass 
spectrometry. Prerequisite: CHM 1710/1720. Students must enroll concurrently in CHM 2620. Four 
hours. "
CHM 2620,Organic Chemistry I Lab  ,0,"The lab component will cover essential organic chemistry skills that include (but are not limited to) 
melting point determination, acid-base extraction, aqueous extraction, thin-layer chromatography, FT-
IR, 1H NMR and 13C NMR spectroscopic analysis and synthesis, isolation, purification, and 
characterization of a complex organic heterocycle. Must be taken concurrently with CHM 2610. This 
course has a fee for consumables used in its labs. "
CHM 2710,Organic Chemistry II  ,Four,"This is the second part of a two-part sequence in organic chemistry. Reactions and mechanisms are 
covered for alcohols, ketones, aldehydes, carboxylic acids, carboxylic acid derivatives, aromatic EAS and 
NAS reactions, alpha-carbonyl chemistry, and amine chemistry. 1H and 13C NMR and IR spectroscopy and 
MS are heavily utilized. Special topics will include amino acid and nucleic acid chemistry.  Students must 
enroll concurrently in CHM 2720. Four hours. "
CHM 2720,Organic Chemistry II Lab  ,0,"This lab course will heavily utilize modern synthetic organic chemistry research techniques and practices 
such as rotary evaporation, Schlenk glassware, vacuum manifold work, TLC and silica purification 
techniques, and recrystallization. Purified organic compounds will be analyzed by 1H and 13C NMR and IR 
spectroscopy using instrument within our department as well as out-sourcing to an external research 
laboratory. Must be taken concurrently with CHM 2710. This course has a fee for consumables used in 
its labs. "
CHM 3610,Environmental Analytical Chemistry ,0,"This course has two parts: analytical chemistry and environmental chemistry. In the analytical portion of 
this course the student will be expected to master chemical measurements, experimental error, 
chemical equilibria, titrations, electrochemistry, and redox titrations. Additionally, the student will be 
introduced to environmental problems, sustainability, and green chemistry. Topics of interests will 
include air-pollution, global warming, fossil fuels, CO2 emissions, biofuels and renewable energy, water 
chemistry and eater pollution, use and misuse of nuclear energy, heavy metals, and pesticides and the 
problems they cause. Within the context of environmental challenges, analytical chemical techniques 
and practices are introduced. The class will investigate the environmental disasters experienced by 
Chernobyl, the Gulf of Mexico, and Three Mile Island. Statistical data analysis as well as analytical 
techniques and experiments in acid-base titration, buffer solutions, determining an equilibrium 
constant, potentiometry, electrochemistry, and liquid chromatography are investigated. Pre-requisites:  "
CHM 3400,Selected Topics in Chemistry ,Two,"A course designed to give the student an in-depth study of some specific aspects of chemistry not 
normally covered in other required courses. Course topics will fluctuate with student needs and 
interests. Prerequisite: dependent on topic; see instructor. Two hours. 
 "
CHM 4530,Independent Study in Chemistry: Advanced Organic Chemistry ,Three,"This course is designed to offer chemistry and other science majors an option to explore an upper-level 
advanced organic chemistry experience. This independent study requires the student to investigate and 
master several advanced organic chemistry topics not covered in the typical two-semester sequence of 
organic chemistry. The student is also to deliver a defense of his/her knowledge at a scheduled meeting 
with the professor near the end of the course. The student is expected to pass their defense’s content 
knowledge and problem-solving at 70% or higher. Pre-requisite: CHM 2710/2720. Three hours. 
 "
CHM 4610,Physical Chemistry ,Four,"In this course in physical chemistry, the student will be introduced to a variety of concepts and critical 
thinking/quantitative problem solving in acceleration, force, pressure, work and energy, the Boltzmann 
distribution, electromagnetic waves, photons, the perfect equation of state, the Maxwell distribution of 
speeds, the virial and van der Waals equation of state. Following this introduction, the student will 
problem solve a variety of physical chemistry topics that include the molecular interpretation of work, 
heat, and temperature, heat influx during expansions, internal energy, enthalpy, entropy and the first 
and second laws of thermodynamics, various entropic calculations, chemical equilibria, 
electrochemistry, and chemical kinetics. Pre-requisite: CHM 2710/2720. Students must enroll 
concurrently in CHM 4620. Four hours. 
 "
CHM 4620,Physical Chemistry Lab ,0,"Designed to support CHM 4610 and must be taken concurrently with the course. This course has a fee 
for consumables used in its labs. "
CHM 4700,Advanced Inorganic Chemistry ,Three,"The goal of this course is to expose the student to advanced topics and problems in inorganic chemistry. 
This course begins with a review and more in-depth look into inorganic basics of bonding (VSEPR theory, 
Lewis structures, etc.). Symmetry and group theory are also investigated as well as utilizing this work to 
predict IR and Raman bands for spectroscopic analysis. Molecular orbital theory, degenerate orbitals, 
homonuclear and heteronuclear diatomic molecular orbital diagrams will be studied, reproduced, and 
mastered to more fully understand the dual properties of electrons in bonding. Finally, organometallic 
chemistry, the 18-electron rule, and organometallic mechanisms will be explored to predict and 
understand reactions with transition metal complexes. Pre-requisite: CHM 2710/2720. Three hours. 
 "
ENV 2110,General Ecology ,Four,"A study of the interaction of organisms with their physical environment and with each other. Particular 
focus will be on application of ecological concepts and field work in various local ecosystems. Students 
must enroll concurrently in ENV 2120. Four hours. "
ENV 2120,General Ecology Lab ,0,"This laboratory is designed to support ENV 2110 and must be taken concurrently with the course. This 
course has a fee for consumables used in its labs. 
   "
ENV 2410,Plant Biology ,Four,"Integrated study of plants as organisms. Deals with plant structure, physiology, development, genetics, 
ecology, and classification of major plant groups. Prerequisite: BIO 1610/1620 or consent of the 
instructor. Students must enroll concurrently in ENV 2420. Four hours. (Cross-listed; register as BIO 
2410.) 
 "
ENV 2420,Plant Biology Laboratory ,0,"The laboratory is designed to support ENV 2410 and must be taken concurrently with the course. (Cross-
listed; register as BIO 2420.) This course has a fee for consumables used in its labs. 
 "
ENV 2510,Animal Biology ,Four,"Integrated study of animals as organisms. Deals with animal structure, physiology, development, 
genetics, ecology, and classification of major animal groups. Prerequisite: BIO 1610/1620 or consent of 
the instructor. Students must enroll concurrently in ENV 2520. Four hours. (Cross-listed; register as BIO 
2510.) "
ENV 2520,Animal Biology Laboratory ,0,"The laboratory is designed to support ENV 2510 and must be taken concurrently with the course.  
(Cross-listed; register as BIO 2520.) This course has a fee for consumables used in its labs. "
ENV 3210,Aquatic Ecology ,Four,"An overview of physical, chemical, and biological components and their interactions in streams and 
lakes. Prerequisite: ENV 2110/2120. Students must enroll concurrently in ENV 3220. Four hours. 


 "
ENV 3220,Aquatic Ecology Lab ,0,"This laboratory is designed to support ENV 3210 and must be taken concurrently with the course. This 
course has a fee for consumables used in its labs. 
 "
ENV 3410,Environmental Ethics ,credit,"An exploratory study of secular and Christian views of the natural world and humanity’s place in it. 
Special attention on practical application of a Biblical stewardship ethic. Prerequisite: 55 credit hours of 
coursework. Three hours. 
 "
ENV 4010,Senior Seminar ,Three,"This course is designed as a capstone course for science majors and is meant to teach valuable skills and 
give experience with tools needed for science careers or post-graduate education. Prerequisites: BIO 
1610/1620 and senior class standing, or consent of the instructor. Three hours. (Cross-listed; register as "
ENV 4210,Genetics ,Three,"A study of both in-depth, classical genetics and underlying molecular mechanisms, genetic mechanisms 
and processes, recombination, genetic interaction, and gene regulation. The course includes hands-on 
laboratory experiments involving current procedures in molecular genetics. Prerequisite: BIO 2310 or 
consent of the instructor. Three hours. (Cross-listed; register as BIO 4210.) This course has a fee for 
consumables used in its labs. "
EXS 1000,Introduction to Exercise Science ,Three,"Introduction to Exercise Science is an entry level course that is designed to introduce students to the 
field of exercise science. This course will prepare students with knowledge and information on related 
health topics including: the history of exercise science, fitness assessment, nutrition, biology, exercise 
physiology, biomechanics, physical fitness, career opportunities, and beginning diagnostic tools. Three 
hours.  
 "
EXS 1050,Dynamics of Fitness  ,Three,"This course will investigate major topics in the study of lifestyle management. Topics included are: 
wellness, physical fitness, nutrition, disease, prevention, stress management, and consumerism. Three 
hours.  
 "
EXS 2000,Kinesiology ,Three,"This course is designed to guide students in the exploration of human anatomy, functional anatomy, 
fundamental movements and select movements. This will include an in-depth examination of the 
musculoskeletal framework through structure, function, and application in sport and exercise. Three 
hours.  
 


 "
EXS 2130,Principles of Coaching ,Three,"This course is focused on providing a practical guide to coaching. The fundamentals needed to build a 
successful sport, personal training or team/group experience begin with basic principles such as practice 
planning, team building and program development. This class provides instruction to assist the student 
in possessing the skills to lead and coach individuals in their specific field. Three hours. Offered every 
other year.  
 "
EXS 2150,Practicum in Exercise Science ,Two,"A practical experience rotation in real-world settings. Students observe exercise science professionals in 
their prospective fields, and work on interpersonal skills at rotation settings. Pre-requisite: EXS 1000. 
Two hours. 
 "
EXS 2250,Care and Prevention  ,Three,"Designed to provide information needed to manage the care of athletic injuries—from prevention, 
identification and assessment of injuries to interaction with players, parents and physicians. Geared 
toward those beginning careers in fitness or coaching, equipping them for management and 
implementation of injury and emergency situations. Prerequisites: EXS 2000 or BIO 1710/1720 or BIO 
3210/3220. Three hours. This course has a fee for consumables used in its labs. "
EXS 2300,Nutrition for Life Cycles ,Three,"Nutrient requirements and anthropometric aspects of nutrition for the following life stages: prenatal, 
pregnancy, lactation, infancy, childhood, adolescence, adult, and late adulthood. Exploration of the 
influences on the diet of each life cycle, including physiological, psychological, sociological, and cultural 
factors. Pre-requisite: CHM 1010/1020. Three hours. "
EXS 2500,Group Fitness Instruction ,Three,"This course prepares students with skill and practice for group fitness instruction. The fundamentals 
needed to build a successful fitness class that engages the individual as well as the group. Students will 
begin building basic principles such as class planning, program development, and strategies for 
modifications or progression of clients. This class positions students for certification in group fitness 
instruction. Three hours. Offered every other year. "
EXS 3000,Strength and Conditioning ,Three,"Principles of strength and conditioning draws students into a creative design and implementation of 
exercise for various areas of the body. A large majority of students pursuing careers dealing with 
exercise will encounter prescription weight training and physical conditioning. This course specifically 
addresses form, function, and programming for the upcoming fitness professional. Prerequisite: EXS 
2000. Three hours. "
EXS 3200,Nutrition for Sports Performance ,Three,"Supporting and advancing athletic performance through nutritional strategies and therapies. Exploring 
specific nutritional needs among a variety of sports, as well as proper recovery methods and diet 
planning for optimizing body composition, speed, explosive and endurance-based performances. 
Examination of the risks and benefits of ergogenic supplements found in fitness and details concerning 
the effects of eating disorders. Students will frequently practice planning and strategizing diet and 
recovery methods for various sports and athlete profiles. Prerequisite: BIO 2210. Three hours. 
 


 "
EXS 3280,Nutrition for Health and Disease ,Three,"This course examines the biochemical relationship between food and chronic illness and introduces the 
use of nutrition as an intervention for pathological conditions, encompassing the complex relationship 
between nutrients and human cells. Additional focus includes the human microbiome, as well as 
nutrigenetics – how personal genetics impact nutrient uptake and utilization – and nutrigenomics – how 
food components impact genetic expression. Prerequisites: BIO 2210 and CHM 1010/1020. Three hours. "
EXS 3240,Diet Planning and Counseling ,Three,"This course evaluates current methodologies and professional techniques used to assess an individual’s 
nutritional status, lifestyle, and diet planning abilities. Students explore the utilization of nutritionally 
therapeutic interventions for disease prevention, counseling techniques for client support, building 
counselor-client rapport, and proper diet care documentation. Laboratory experience will provide 
numerous hands-on assessment opportunities and planning experiences. Prerequisite: EXS 3280. Three 
hours. "
EXS 3300,Special Topics in Fitness ,Three,"This course addresses the wide variety of fitness trends rapidly entering the fitness market space. In a 
hands-on learning approach, students will learn to engage, experiment, and practice these fitness topics 
with guidance, empowering students to incorporate different trends and topics into their repertoire as 
fitness professionals. Three hours. Offered every other year. 
 "
EXS 3600,Fitness Assessment  ,Three,"This course prepares students to understand the fundamentals of proper fitness assessment and 
development of prescriptive exercise. The focus of the course is placed on assessment methodology, 
developing skills with modern test equipment, and incorporating collected data into exercise programs. 
Prerequisite: BIO 1710/1720. Three hours. This course has a fee for consumables used in its labs. 
 "
EXS 3750,Exercise Cardiology ,Three,"The design of the course is geared toward an in-depth study of the anatomy of the heart. Students will 
engage in assessment and testing of the heart in a resting and active state. An examination of 
abnormalities found in general, athletic, pediatric, women, and special populations. ECG testing and 
equipment skills proficiency along with data interpretation will be included as well. Prerequisites: BIO 
2010/2020, or BIO 3210/3220. Three hours. This course has a fee for consumables used in its labs. 
 "
EXS 4180,Exercise Physiology ,Three,"This course examines the structural components of the musculoskeletal, nervous, cardiovascular, 
respiratory, and endocrine systems. In addition, there is a comprehensive review of the body’s response 
to exercise, optimal work capacity during exercise training, and limitations due to environmental factors, 
age, sex, and physical health. Prerequisites: BIO 2040/2050 or BIO 3310/3320. Three hours. This course 
has a fee for consumables used in its labs. 
 "
EXS 4240,Biomechanics ,Three,"This course introduces concepts of mechanics in relation to human movement, specifically in exercise, 
sport and physical activity. The primary focus is to gain understanding of mechanical and anatomical 
principles that control the link between human motion and structural mechanics in coordination with 
functional mechanisms. Prerequisites: BIO 2040/2050 or BIO 3310/3320. Three hours.  
 
 


 "
EXS 4840,Research in Exercise Science ,Two,"A course designed to give the student an opportunity to do individual research on a topic of interest in 
Exercise Science. Prerequisites: EXS 1000 and EXS 2150. Two hours. 
 "
EXS 4930,Internship in Exercise Science ,Three,"The internship includes activity in a work environment, allowing the student to experience a hands-on 
opportunity to apply the skills and principles learned in class to a real-world, professional setting. Three 
hours of credit is given and is equivalent to approximately 120 hours in the work-place (or 40 work 
hours per credit hour). Prerequisites: EXS 1000 and EXS 2150. Three hours. 
 
MATHEMATICS "
MAT 1110,Mathematics for Elementary School Teachers  ,credit,"This course investigates a variety of topics necessary for future elementary school teachers. Topics 
covered include numbers, measurement, probability, statistics, geometry, patterns, spatial relationships, 
and logic. This is not a methods class; it is a mathematics content class. Prerequisites: 12 credit hours; 
Basic Algebra and SED 1000. Three hours. "
MAT 1120,College Algebra ,Three,"Topics include algebraic operations, manipulation of functions, polynomial equation solutions, 
inequalities, logarithms, and exponentials. There will be practice with solving systems of equations, 
graphing, and algebra applications. Three hours. 
 "
MAT 1185,Quantitative Reasoning ,Three,"This course is designed to build math literacy, which is necessary for informed citizenship, reasoning 
from evidence, and extracting information from data. Topics include proportional reasoning, math 
modeling, probability, statistics, and math in politics. The course requires complicated reasoning using 
elementary mathematics. Three hours.  "
MAT 1230,Calculus I ,Four,"This course is a traditional introductory calculus course. We will study functions, limits, derivatives, and 
integrals. Applications of the derivative and the fundamental theorem of calculus will be particular 
highlights of this class as well as integrals and derivatives of logarithms and exponential functions. 
Students must enroll concurrently in MAT 1240. Four hours.  "
MAT 1240,Calculus I Lab ,0,"The laboratory is designed to support MAT 1230 and must be taken concurrently with the course. This 
course has a fee for consumables used in its labs. "
MAT 1250,Calculus II ,Three,"This course is a continuation of the topics covered in Calculus 1. We will study integration techniques, as 
well as integrals and derivatives of a variety of functions: logarithms, exponential functions, inverse 
trigonometric functions, and hyperbolic trigonometric functions. We will also study applications of 
integration, improper Riemann integrals, and L’Hopital’s rule for taking limits. Investigating infinite 
sequences and infinite series will be a highlight of this course. Prerequisites: MAT 1230 or permission of 
the mathematics program director. Three hours. 


 "
MAT 2100,Introduction to Proofs ,Three,"This course is an introductory course on proofs and emphasizes logic, set theory and proof techniques. 
Theorems will be taken from topics including set theory, number theory and real analysis. Three hours. "
MAT 2220,Discrete Mathematics ,Three,"This course is an introduction to discrete mathematics, including combinatorics and graph theory. Topics 
covered include graph coloring, trees and searching, network flows, network algorithms and complexity 
analysis, recurrence relations, functions and relations, generating functions, set theory, and probability. 
An emphasis will be on proof by induction. Prerequisite: MAT 2100. Three hours. "
