Course Code,Course Title,Credit Hours,Description
CNS 101,NETWO RK FUNDAMENTALS/NETWORK+,4," 
This course introduces students to fundamental networking concepts and technologies. This course is the 
first of three courses that help prepare students for the Cisco CCNA certification exam. The course 
materials will assis t in developing the skills necessary to plan and implement small networks across a 
range of applications. It will also help prepare students for the CompTIA Network+ certification exam.  
 "
CNS 106,COMPUTER NETWORKING II,4," 
This course covers the architec ture, components, and operations of routers and switches in a small 
network. Students learn how to configure routers and switches for basic functionality. This course is the 
second of three courses that help prepare students for the Cisco CCNA certificatio n exam.  
Prerequisite: CNS 101  
 "
CNS 107,COMPUTER NETWORKING III,4," 
This course covers the architecture, components, and operations of routers and switches in larger and 
more complex networks. Students learn how to configure routers and switches for adva nced functionality. 
This course is the third of three courses help  prepare students for the Cisco Certified Network Associate 
(CCNA) certification exam.  
Prerequisite: CNS 106  
 "
CNS 108,COMPUTER NETWORKING IV,4," 
This course discusses the WAN technologies and network services required by converged applications in a 
complex network. The course enables students to understand the selection criteria of network devices 
and WAN technologies to meet network requirements. This course is the fourth of a  four -course sequence 
that helps students prepare for the Cisco Certified Network Associate (CCNA) Routing and Switching 
certification.  
Prerequisite: CNS 106  "
CNS 121,MICROSOFT NETWORKING CLIENT I,3," 
This course will help students gain the knowledge an d skills required to configure Microsoft Windows 
Vista for optimal performance on the desktop. This course focuses on installing the client software, 
migrating from previous versions of the Microsoft Windows client, and configuring systems settings, 
securi ty features, network connectivity, communications and media applications, and mobile devices.  
 "
CNS 122,MICROSOFT NETWORKING CLIENT II,3," 
This course covers how Microsoft Windows Vista is used in a medium to large enterprise. It focuses on the 
various t echnologies used to deploy and manage the operating system, including Windows Image 
Manager, Windows PE, Group Policy, User Account Control and Encrypted File System.  
Prerequisite: CNS 121  
 "
CNS 123,MICROSOFT NETWORKING SERVER I,3," 
This course covers in stalling Microsoft Windows Server 2008, configuring remote access, Network Access 
Protection (NAP), network authentication, IPv4 and IPv6 addressing and Domain Name System (DNS) 
replication: capturing and deploying Microsoft Window Deployment Services imag es; creating virtual 
machines; and installing server core.  
Prerequisites: CNS 101 and CNS 121  
 
 
 
  "
CNS 124,MICROSOFT NETWORKING SERVER II,3," 
This course covers planning Microsoft Windows Server 2008 roles; maintaining server security; planning 
data sto rage, network load balancing, and server backups; managing software deployment and versions; 
monitoring IPv6, server performance and capacity, and AD replication; scheduling server deployments; 
and designing a rollback contingency plan.  
Prerequisite: CNS 1 23 
 "
CNS 125,MICROSOFT DIRECTORY SERVICES,3," 
This course covers configuring, managing and supporting  user and computer accounts, groups, Domain 
Name System zones and clients' settings; group policy objects; the new Active Directory® Lightweight 
Director y Service and Active Directory Rights Management Service; backup and recovery; and 
communication security.  
Prerequisites: CNS 123  
 "
CNS 128,POWERSHELL SCRIPTING FOR NETWORK ADMINISTRATORS,3," 
Students will develop the knowledge and skills to utilize Microsoft PowerShell to automate common 
administrative tasks on a Microsoft network. This course assumes no prior programming skills.  
Prerequisite: CNS 121 or CNS 123  
 "
CNS 131,LINUX ADMINISTRATION I,3," 
This course introduces Linux to experienced computer users and to those with a basic knowledge of 
computers. Students will install and configure a distribution of Linux. They will learn to use a command 
line shell and a GUI to manage the file system, create user and group accounts, and m anage file 
permissions. This course will cover how to set up a Linux  system on a TCP/IP network, bash shell concepts, 
printing and installing programs Linux.  
 "
CNS 132,LINUX ADMINISTRATION II,3," 
In this course, the student will learn how to implement, c onfigure and troubleshoot Linux, particularly as a 
network server. The student will configure Linux to provide DNS, DHCP, as a firewall and basic routing "
CNS 141,WIRELESS NETWORKING,3," 
This course introduces the basic concepts of wireless networking. Students will work with vario us types of 
equipment needed to set up and maintain local wireless networks of various sizes. Considerable emphasis 
will be placed on how  to secure access to and the information that travels across wireless networks.  
Prerequisite: CNS 101  
 "
CNS 201,NETWORK SECURITY/SECURITY+,3," 
The student will be introduced to computer network vulnerabilities and threats and how to safeguard 
computer networks from those vulnerabilities and threats. This course will expose the student to network 
security planning, networ k security technology, network security organization and the legal and ethical 
issues associated with network security. In this course, students will learn the skills necessary for  Security+ 
certification.  
Prerequisite: CNS 131  
 "
CNS 210,PYTHON SCRIPTING FO R SECURITY ,3," 
This course covers an overview of Python, including how to create and run scripts, use threads, and handle 
exceptions. It will progress on how to networking, including using Python libraries for networking scripting 
and developing basic s cripts with network functionality. HTTP programming and client, security scripting, 
Twisted Python, the Echo server, and forensic scripting are also covered. The course emphasizes 
debugging capability and security testing using Python.  
Prerequisite: CNS 10 1 
 "
CNS 221,SECURING MICROSOFT  NETWORKS,3," 
This course will cover how to protect your Microsoft Windows -based clients, server roles, networks, and 
Internet services. Students learn how to plan and implement comprehensive security with special 
emphasis on new Microsoft Windows  security tools, security objects, security services, user authentication 
and access control, network security, application security, Windows Firewall, Active Directory security, 
group policy, auditing and patch management.  
Prerequisite: CNS 123  
 "
CNS 231,FIREWALL INTRUSION DETECTION,3," 
This course will cover how to install, configure and manage network and host -based firewalls. It will cover 
how to set up and configure popular network -based firewalls and host -based firew alls with various 
operating systems. It will instruct the students how to set up both network - and host -based intrusion 
detection systems to determine if and when a network or system has been breached.  
Prerequisite: CNS 201  
 "
CNS 233,HACKER TECHNIQUES AND INCIDENT HANDLING,3," 
Introduces common computer and network hacking techniques. With a sound understanding of how 
hackers can compromise computers and computer networks , you will learn how to identi fy when an 
incident has happened, how to respond in a comprehensive manner, and what steps to take to protect 
yourself in the future.  "
CNS 234,ETHICAL HACKING,3," 
This course introduces the concept of ethical hacking and how to pe rform penetration tests of computer 
networks. In hands -on labs an emphasis will be placed on how to use tools to discover weaknesses in 
computer networks and how to improve the defenses of those networks against malicious attacks.  
Prerequisite: CNS 201  
 "
CNS 235,PACKET ANALYSIS AND NETWORK FORENSICS,3," 
Students utilize common packet sniffing tools, intrusion detection tools and packet analysis tools to 
determine if malicious activity is occurring on a network. They learn details about how network protoco ls 
can be abused by hackers. They find how network connection logging provides a valuable source of 
evidence.  
Prerequisite: CNS 201  
 "
CNS 245,INTERNSHIP/EXTERNSHIP ,3," 
The student will have meaningful work experience related to computer networking and se curity with an 
appropriate organization. The organization and position must be approved by supervising faculty member.  
Prerequisite: Instructor permission required  
 
 "
CNS 251,CLOUD COMPUTING ,3," 
This course covers the widest spectrum of topics starting from Classic Data Center to IT -as-a-Service. It 
provides a strong foundation for the understanding of virtualization and cloud computing technologies. 
You will learn about the transition from classi c data center to virtualized data center to cloud computing. 
This would encompass virtualization technologies at computer, storage, network, desktop, and application 
level as well as cloud building blocks, which are created on virtualized infrastructure. T he course  
emphasizes deployment models, business continuity solutions, infrastructure, service management and 
security in a cloud environment.  
Prerequisite: CNS 101  
 "
CNS 252,VIRTUALIZATION  I,3," 
This course features intensive hands -on training that fo cuses on installing, configuring, and managing 
VMware vSphere®, which includes VMware ESXi ™ and VMware vCenter Server®. This course prepares you 
to administer a vSphere infrastructure for an organization of any size. It is the foundation for most other 
VMw are technologies in the software -defined data center.  
Prerequisite: CNS 101  
 "
CNS 253,VIRTUALIZATION  II,3," 
This course will teach you advanced skills for configuring and maintaining a highly available and scalable 
virtual infrastructure. Through a mix o f lecture and hands -on labs, you will configure and optimize the 
VMware vSphere® features that build a foundation for a truly scalable infrastructure, and you will discuss 
when and where these features have the greatest effect. This course will deepen your  understanding of 
vSphere and how its advanced features and controls can benefit your organization.  
Prerequisite: CNS 252  
 "
CNS 254,INFORMATION STORAGE AND MANAGEMENT ,3," 
This course provides a comprehensive understanding of the various storage infrastru cture components in 
data center environments. It enables participants to make informed decisions on storage -related 
technologies in an increasingly complex IT environment, which is fast changing with the adoption of "
CPS 177,PROGRAMMING IN C++,3," (Same as CIS 170)  
Students study digital computing systems and how they are used to solve problems. Students use 
procedural and object -oriented programming capabilities to design, develop and test computer programs. 
Topics covered include program development, functions, control structures, text file operations, classes, 
recursion, arrays and pointers.  
 
………………………………………  
 
 
 
 
CRIMINAL JUSTICE (CRJ)  
 "
CRJ 101,CRIMINAL LAW,3," 
This course covers both substantive and procedural law at local, state and federal levels. Special emphasis 
given to the Michigan Penal Code and landmark court decisions.  
 "
CRJ 102,CRIM INAL INVESTIGATION,3," 
This course covers the fundamentals of criminal investigation, theory and practice, from crime scene to 
courtroom, with emphasis on techniques appropriate to specific crimes.  
 "
CRJ 104,CRIMINAL JUSTICE PSYCHOLOGY,3," 
This course  is an overview of criminal behavior from a psych -social perspective. Contemporary research, 
theory and practice concerning the psychology of crime are reviewed.  
 "
CRJ 111,INTRODUCTION TO CRIMINAL JUSTICE,3," 
This course covers the history, evolution an d philosophy of the American criminal justice system. Emphasis 
on the interrelationship of system components: police, attorneys, courts and corrections.  
 "
CRJ 112,CRIME & DELINQUENCY,3," 
Introduction to deviant behavior and current criminological theorie s with emphasis on synthesis and 
police applications to juveniles; diversion and status offenses considered.  
Prerequisites: ENG 085* and ENG 090*  
 "
CRJ 113,INTRODUCTION TO CRIMINALISTICS,3," 
Scientific methods applied to the collection, identification, p reservation and transportation of physical 
evidence and taught in a laboratory setting.  
 "
CRJ 114,POLICE ADMINISTRATION &  OPERATIONS,3," 
Administration and operation of a police department including line/staff activities are explored.  "
CRJ 117,CRIMINOLOGY,3," (Same as SOC 117)  
Provides an understanding of the cultural nature, origin and development of criminal behavior with 
attention given to the psychological and sociological factors involved.  "
CRJ 119,CLIENT GROWTH & DEVELOPMENT,3," 
A cor rections -oriented course involving the study of normal versus criminal behavior, human development 
and criminal pattern. Also involves the study of specific problems including substance abuse, sexual and 
medical problems and disorders.  
 "
CRJ 120,HUMAN RELA TIONS FOR CORRECTIONS,3," 
A study of the meaning and function of culture and the social and psychological implications of 
discrimination. Also involves a survey of minorities in Michigan, attitude formation and professional 
responsiveness.  
 "
CRJ 121,INTRODUCTION TO CORRECTIONS,3," 
A survey of the American corrections system as a component of the criminal justice system.  
 "
CRJ 124,INSTITUTION POPULATIONS,3," 
The nature, composition and dynamics of the prison population as a separate society are ce ntral topics in 
this course.  
 "
CRJ 125,PAROLE & PROBATION,3," 
Pre- and post -institutional treatment and alternatives are presented. Consideration is also given to 
diversion and community -based correctional programs.  
 "
CRJ 127,CORRECTIONS LAW,3," 
Deals with the law as it applies to the correctional system. Applicable court cases and legislation will be 
considered. Topics will include sentencing, prisoners’ rights and responsibilities; loss of rights, prisoner 
remedies; community corrections and restorati on of rights of offenders.  
 "
CRJ 203,FIELD STUDIES,3," (Same as SOC 203)  
This course provides an opportunity for students to work for one semester in a law enforcement or 
corrections agency.  Only open to students who have reached sophomore level  (26 or m ore credit hours), 
minimum 2.5 grade point average and permission of the instructor.  
 
………………………………………  
 
DANCE (DAN)  
 "
DAN 121,JAZZ TECHNIQUES,3," (Same as HPF 221)  
Beginner to intermediate level class exploring contemporary jazz and modern dance techniques. Includes 
an introduction to the fundamentals of choreography, exploration of the elements of dance, and history of 
dance.  
 "
DAN 122,JAZZ TECHNIQUES II,3," 
An advanced approach to jazz dance with emphasis upon combining jazz pieces into complete 
choreographies.  
Prerequisite: DAN 121 or HPF 221  
 
………………………………………  "
DHY 101,PRINCIPLES IN DENTAL HYGIENE  I,2," 
This course introduces the profession of dental hygiene, the dental hygiene code of ethics, principles of 
infect ion and exposure control and the CDC Bloodborne Pathogens Standard. Fundamental concepts on 
dental hygiene process of care including patient management, dental hygiene diagnosis, oral health 
education techniques, and disease prevention strategies will be d iscussed. Additionally, dental 
instrumentation and oral deposits are discussed.  
Prerequisite: Admission into the DENT.AAS program  
Corequisites: DHY 102, DHY 103, DHY 104 and DHY 105  
 "
DHY 102,PRECLINICAL DENTAL HYGIENE ,2," 
The principles, protocols, and components learned in DHY 101 will be performed in this clinical setting 
with an introduction in dental hygiene procedures, basic instrumentation, and development of manual 
dexterity, dental charting, and preventive education.  
Prerequisite: Admission into the DENT.AAS program  
Corequisites: DHY 101, DHY 103, DHY 104 and DHY 105  
 
 
 "
DHY 103,"HEAD, NECK AND ORAL ANATOMY ",3," 
This course is designed for first -semester dental hygiene students. The topics include anatomy of the teeth 
and dental nomenclature, the development, eruption, function, and morphological characteristics of the 
human deciduous and secondary dentition, and a review of the bones and muscles of the orofacial 
complex. This examination of the temporomandibular joint and functio n, and dental occlusion 
classification will complete this course.  
Prerequisite: Admission into the DENT.AAS program  
Corequisites: DHY 101, DHY 102, DHY 104 and DHY 105  
 "
DHY 104,BIOCHEMISTRY & NUTRITION ,2," 
This course provides dental hygiene students wi th an overview of nutrition biochemistry, nutritional 
guidelines, diet analysis and planning. The role of nutrition in dental health and systemic diseases are 
emphasized along with the clinical application of nutritional counseling strategies.  
Prerequisit e: Admission into the DENT.AAS program  & DHY 101, DHY 102, DHY 103, DHY 105, and DHY 113  
Corequisites: DHY 101, DHY 102, DHY 103, and DHY 105  
 "
DHY 105,MEDICAL EMERGENCIES IN THE DENTAL OFFICE,1," 
Familiarity with critical steps in prevention, preparation, early recognition, and appropriate management 
of common medical emergencies in the dental office.  
Prerequisite: Admission into the DENT.AAS program  
Corequisites: DHY 101, DHY 102, and DHY 104  
 "
DHY 111,PRINCIPLES IN DENTAL HYGIENE  II,2," 
The development of a theoretical framework of dental hygiene treatment to begin attainment of 
proficiency in all areas of dental hygiene treatment. Presentation and discussion of case histories from 
patients an d preventive measures employed against disease with emphasis on special needs patients.  
Prerequisites: DHY 101, DHY 102, DHY 104 , DHY 105 and DHY 113 
 "
DHY 112,CLINICAL DENTAL HYGIENE  I,2, 
DHY 113,DENTAL RADIOLOGY ,3," 
This course is designed to provide the student with the theory and procedures used in dental radiography. 
Topics include history of dental x -rays, radiation safety, and film exposure techniques, processing and 
mounting of radiographs, radiographic findings  and patient management.  
Prerequisites: DHY 101, DHY 102, DHY 104 and DHY 105  
Corequisites: DHY 111, DHY 112, and DHY 114  
 "
DHY 114,PERIODONTOLOGY ,3," 
This course is designed to provide advanced study of the periodontium and its relationship to the 
path ogenesis of periodontal disease. It focuses on the relationships between periodontal disease, 
systemic health, prevention, risk assessments, classifications, current modalities of treatment and 
management strategies.  
Prerequisites: DHY 104, DHY 111, DHY 1 15, DHY 120 and DHY 121  
 
 "
DHY 115,CLINICAL DENTAL HYGIENE I,3," 
The principles, protocols and components of dental  hygiene process of care are introduced in this  clinical 
setting emphasizing patient care. The  development of skills includes ultrasonic  instrumentation, case  
management, treatment  planning and dental hygiene prevention services.  
Prerequisites: DHY 101, DHY 102, DHY 103, DHY 105, and DHY 113  
 "
DHY 120,DENTAL MATERIALS ,2," 
This course is designed for dental hygiene students and is the study  of dental materials including their 
biological, physical, mechanical and chemical properties. The lab portion of this course includes proper 
manipulation and technique, handling, and storage of dental materials. The course is designed to discuss 
commonly used dental products.  
Prerequisites: DHY 101, DHY 102, DHY 103, DHY 105 and DHY 113  
 "
DHY 121,PHARMACOLOGY FOR THE DENTAL HYGIENIST ,2," 
Classifications and varieties of drugs, pharmacologic effects, adverse reactions, usual indications and 
contraindications. Discussion of drugs utilized to treat common diseases. Pharmacokinetics of local and  
general anesthetic agents and their use.  
Prere quisites: DHY 101, DHY 102, DHY 103, DHY 105, and DHY 113,   
 "
DHY 201,PRINCIPLES IN DENTAL HYGIENE  III,2," 
Continued development of a theoretical framework of dental hygiene treatment with advancement of 
dental hygiene proficiency in all areas of dental  hygiene treatment. Presentation and discussion of case 
histories from patients and preventive measures employed against disease with emphasis on special 
needs patients.  
Prerequisites: DHY 104, DHY 111, DHY 115, DHY 120 and DHY 121  
 "
DHY 202,CLINICAL DENTAL HYGIENE  III,3," 
The principles, protocols and components of dental hygiene process of care are continued in this clinical 
setting emphasizing patient care. The continued advancement of skills includes non -surgical periodontal "
DHY 203,PAIN MANAGEMENT ,2," 
This course will provide the stu dent with basic and current concepts of local anesthesia and pain control 
for the safe and effective administration of local anesthesia and nitrous oxide/oxygen sedation. Instruction 
in local anesthetic technique and an introduction to the use of nitrous o xide as an analgesia is included. 
Successful completion of this course confers eligibility to take the CDCA exams for Local Anesthesia and 
Nitrous Oxide/Oxygen sedation with program director approval.  
Prerequisites: DHY 104, DHY 111, DHY 115, DHY 120 and DY 121  
 "
DHY 204,ORAL PATHOLOGY ,2," 
This course is designed for dental hygiene students. The topics incorporate important concepts in general 
pathology and their relationship to the oral cavity. Fundamental concepts stress comprehensive oral 
examination procedures, disease recognition, and i dentification of pathological conditions that affect the 
patient’s systemic health in relation to the oral cavity.  
Prerequisites: DHY 104, DHY 111, DHY 115, DHY 120 and DHY 121  
 
 
 "
DHY 205,CLINICAL DENTAL HYGIENE II,3," 
The principles, protocols and com ponents of dental  hygiene process of care are continued in this  
clinical setting emphasizing patient care. The  continued advancement of skills includes  non-surgical 
periodontal treatment, ultrasonic  instrumentation, case management, treatment  planning and dental 
hygiene prevention services.  
Prerequisites: DHY 104, DHY 111, DHY 115 DHY 120 and DHY 121  
 "
DHY 211,PRINCIPLES IN DENTAL HYGIENE  IV,2," 
Ethics, jurisprudence, and practice management concepts, including a study of state practice acts and 
business management procedures. Comprehensive review of formats and procedures involved in national, 
regional and state board examinations. Guidance will be given in developing employment -seeking skills, 
including résumé writing. The course includes case -based stud y questions relative to dental hygiene with  
emphasis on content and test -taking strategies.  
Prerequisites: DHY 114, DHY 201, DHY 203 , DHY 204 and DHY 205  
 "
DHY 213,COMMUNITY DENTAL HEALTH ,2," 
This course is designed for the dental hygiene student to review the history, philosophy, administration 
and current events of community oral health. Topics include emphasis on health promotion, epidemiology 
of dental disease, community service, designing,  implementing and assessing a community health project.  
Prerequisites:  DHY 114, DHY  201, DHY 203 DHY 204 and DHY 205  
 "
DHY 215,CLINICAL DENTAL HYGIENE III ,4," 
This course is designed for the dental hygiene student to review the history, philosophy, admi nistration 
and current events of community oral health. Topics include emphasis on health promotion, epidemiology 
of dental disease, community service, designing, implementing and assessing a community health project.  
Prerequisites: DHY 114, DHY 201, DHY 203, DHY 204 and DHY 205  
 
………………………………………  
 "
DMS 100,INTRODUCTION TO DIAGNOSTIC IMAGING,3," 
Students are introduced to the radiologic sciences. Modalities discussed include x -rays, nuclear medicine, 
ultrasound, compute rized tomography (CT), magnetic resonance imaging (MRI) and photon emission 
tomography (PET). Students learn indications for a variety of diagnostic studies, how they are evaluated 
and interpreted, correlations of multiple studies, and how to prepare the patient for the study.  
 "
DMS 101,SONOGRAPHIC ORIENTATION,3," 
This course prepares sonography students for their clinical work -site experiences. Students will explore 
interpersonal relationship skills, ethical decision making, and a review of clinical technical skills as they 
relate to the on -site work experience. Students  will learn basic cross -sectional anatomy as related to 
beginning sonographic scanning of the abdomen.  
Prerequisite: Acceptance into DMS program  
 "
DMS 102,"VASCULAR ANATOMY, PHY SIOLOGY, AND PATHOPHYSIOLOGY",3," 
In this course, anatomy of the venous, arterial, microcirculation, and anatomic variants of the body is 
introduced. The abdominal structures associated with the vasculature is explored. In this course, normal 
function of  the venous and arterial systems, abnormal mechanisms, risk factors, and indications of arterial 
and venous disease associated with a range of pathological conditions will be covered.  
Prerequisite: Acceptance into VSON program  
 "
DMS 103,INTRODUCTION TO SONOGRAPHIC REASONING AND RESEARCH,2," 
In this course, students are introduced to the sonographic reasoning method framework. Using analytical 
framework, students will be provided with a fundamental approach to critical thinking and prob lem 
solving associated with vascular ultrasound examinations. This course explore s basic research steps and 
the importance of contributing to sonography education and becoming lifelong learners. Students will 
become members of the Society of Vascular Ultra sound and begin exploring the process for writing 
abstracts and journal articles.  
Prerequisite: Acceptance into VSON program  
 "
DMS 104,INTRODUCTION TO SONOGRAPHIC INSTRUMENTATION,3," 
In this course students will learn the history and basic principles of static and real -time ultrasound 
machines.  The instrumentation of A -mode and its conversion into the real time B -mode scanners will be 
explored. Laboratory assignments reinforce learning activities.  
Prerequisites: MAT 13 0* or higher, plus signed DMS fact sh eet (EQV -DMSFS)  
 "
DMS 105,SONOGRAPHIC TECHNIQUES,3," 
This course instructs the DMS student in scan planes, anatomical positioning, scan protocols, scan 
preparations, scan scheduling, appropriate history recording, correlations with other diagnostic 
proce dures, and the techniques required for initiating and completing diagnostic sonographic procedures 
of the abdominal, obstetrical and gynecological patients.  
Prerequisites: DMS 101 and DMS 104  
 "
DMS 107,SONOGRAPHIC ORIENTATION -VASCULAR,3," 
This course pre pares sonography students for their clinical work -site experiences. Students will explore 
interpersonal relationship skills, ethical decision making, and a review  of clinical technical skills as they 
relate to the on -site work experience. Students will lea rn basic cross -sectional anatomy as related to 
beginning sonographic scanning of the arterial and venous systems, of the extremities, neck and 
abdomen.  "
DMS 108,ESSENTIALS OF SONOGRAPHY,3," 
This course will address the high priorities in the health  care  field such as good character, strong work 
ethic and professional traits and behaviors that apply to all health care workers. Affective domain, as well 
as the ability to process and understand physical relationships among objects, will be assessed through 
scanning exercises.  
  "
DMS 122,CLINICAL EXPERIENCE I,6," 
In this course, students receive supervised clinical work experience in an approved clinical education 
center. This course provides basic scanning opportunities, patient interviewing techniques, professional 
attitudes and ethics, and other basic patient/professional situations under the direct supervision of a 
registered diagnostic medical sonographer (RDMS). Completions of professional and technical scanning 
proficiencies are required . A minimum of 515 hours is required to complete this course.  
Prerequisite: DMS 101  
 "
DMS 140,SONOGRAPHIC ORIENTATION & TECHNIQUE,3," 
In this course students learn the principles of application of ultrasound as it pertains to echocardiographic 
exam. Topi cs of study include: windows and views, anatomy and physiology of the heart and great vessels,  
Doppler techniques, nomenclature of cardiac structures per ASE guidelines, LV assessment and function, 
as well as clinical indications for the echo. These studies are for preparation of applying correct techniques 
in the acquisition of sonographic cardiac images.  
 "
DMS 141,ADULT ECHO I,4," 
In this course students learn fundamentals of cardiac pressures, cardiac cycle, and the cardiac conduction 
system. Stu dies include: cardiac valves – normal and abnormal conditions, flow abnormalities, and 
physiological complications from these conditions. These studies are for  preparation of applying correct 
techniques in the acquisition of sonographic cardiac images.  
 "
DMS 142,ECHO CLINICAL I,2," 
In this course students will attend a  supervised clinical experience in an approved clinical education 
center. This course provides hands -on experience in basic cardiac imaging, patient care, and application of 
knowledge and sk ills acquired in DMS 140 and DMS 141. Successful completion of professional and 
technical scanning proficiencies is required to remain in the program. This course is the first in a series of 
three clinical courses that prepare the student for the final obj ective of performing and evaluating the 
adult echocardiogram.  
Prerequisite: Acceptance into the DMS program.  
Corequisite s: DMS 140 and DMS 141  
 "
DMS 144,CARDIOVASCULAR PRINCIPLES,3," 
This course is a study of cardiac anatomy and physiology, cardiac hemod ynamics, principles of Doppler, 
and ECG interpretation. Problem solving, evaluation, and echo interpretation will be emphasized in this 
course. This course contains materials and instruction that will prepare the student in meeting the 
program’s final obje ctive of independent performance and evaluation of the complete adult 
echocardiogram.  
Prerequisites: DMS 140 and DMS 141  
  "
DMS 148,ECHO CLINICAL II,7," 
In this course, students will attend a supervised clinical experience in an approved clinical educati on 
center. This course provides hands -on experience in intermediate level cardiac imaging and use of 
cardiovascular equations. Successful completion of scanning proficiencies is required to remain in the "
DMS 160,INTRODUCTION TO VASCULAR TECHNOLOGY AND PROFESSIONAL LAB PRACTICE,3," 
In this course, students are introduced to and practice the Intercostal Accreditation Commission (IAC) 
exam testing protocols of the venous duplex obstruction testing, carotid duplex testing (including manual 
blood pressure measurements) and ABI exam. The routines of the daily lab are simulated using various   
in-patient scenarios and outpatient scenarios. Students are introduced to practice oral communication in a 
concise, clear, and intelligent manner with students, faculty, and staff. Students actively e xplore 
ultrasound equipment and scanning techniques. The appropriate use of color, pulse -wave Doppler, and 
gray -scale settings is applied to obtain optimal images and Doppler waveform patterns. Students are 
assessed for proper ergonomics while manipulating  the transducer and scanning in the transverse to 
sagittal scan plans. HIP AA, OSHA, blood -borne, university precautions, and basic patient transfer 
techniques are practiced. The affective, cognitive, and psychomotor skills are also assessed in this course.  
 "
DMS 161,VASCULAR CLINICAL I,4," 
In this course students receive 300 -plus hours of supervised clinical experience in an approved vascular 
laboratory. This course provides hands -on experiences in basic color Doppler imaging (CDI), 
hemodynamics, segmenta l pressures and duplex sonography. Students are instructed and supervised by 
registered vascular technologists. Completion of clinical competencies is required to complete this course.  
 "
DMS 196,INTRODUCTION TO CARDIAC CLINICAL,5," 
This course prepares cardiac sonography students for their clinical externship. Students will study and 
practice the technical as well as personal skills as they relate and are required for the on -site work 
experience. Students will demonstrate sonographic scanning of  their discipline with the expected outcome 
of a basic level competency. Admission to the cardiac sonography program required to register for this 
course.  
  "
DMS 197,INTRODUCTION TO CLINICAL,5," 
This course will allow students to gain basic knowledge and  practical skills that are necessary to begin a 
clinical externship in sonography. Students will study and practice:  
1) communication skills as they are applied to the student - to patient/sonographer/physician relationship, 
2) patient assessment, and 3) sc anning techniques that will be a part of their daily routine in their     
clinical practice.  
Admission to the sonography program requir ed to register for this course.  
 "
DMS 200,ABDOMEN AND SMALL PARTS SONOGRAPHY,4," 
In this course students learn in -dept h, cross -sectional anatomy and pathology as related to sonographic 
scanning of the abdomen and small parts in the adult and pediatric patient.  The class gives attention to 
physiologic and pathological changes of specific, non -specific diseases, and trauma as they relate to 
sonographic interpretation of the abdomen and small parts. Mastery level achievement is encouraged and 
expected.  
 "
DMS 201,OBSTETRIC AND GYNECOLOGIC SONOGRAPHY,4," 
Students learn in -depth, cross -sectional anatomy and pathology as relate d to sonographic scanning of the 
pelvis in the adult and pediatric patient, and the gravid uterus. The  class gives attention to physiologic and 
pathological changes of specific, non -specific diseases, and trauma as th ey relate to sonographic 
interpretation of the pelvis and  gravid uterus. Mastery level achievement is encouraged and expected.  "
DMS 202,"BASIC CARDIOVASCULAR PRINCIPLES, HEMODYNAMICS AND DOPPLER WAVEFORMS",3," 
In this course, students are introduced to math equations and the rela tionship of variables to the physics 
of normal and abnormal blood flow patterns. Basic fluid properties of the venous and arterial systems are 
defined. The Doppler Effect and color Doppler imaging are also introduced in this course. The use of the 
Doppler equation is used to show how the Doppler spectrum is formed. Measurement of the Doppler 
waveform is covered and artifacts that may occur are explained.  
Prerequisite: Acceptance into VSON program  
 "
DMS 203,VENOUS DUPLEX TESTING,3," 
In this course , theorie s, techniques and venous testing procedures of the lower and upper extremity 
exams are covered. Other topics will include: differential diagnosis; other imaging modalities; identifying 
deep vein thrombosis; advanced exploration of venous anatomy and co llateral pathways; pathology & 
pathophysiology; Color Doppler & PW Doppler waveforms techniques & principles; and preliminary 
writing. Assessment of these skills will occur in this didactic course and applied in the clinical course work.  
 "
DMS 205,ARTERIAL DUPL EX AND PHYSIOLOGICAL TESTING,3," 
In this course, theories, techniques and arterial testing procedures of the lower and upper extremity 
duplex and physiological exams are covered. Other topics include: bypass graft imaging; differential 
diagnosis; other imaging modalities; advanced exploration of arterial anatomy and collateral pathways; 
pathology and pathophysiology; techniques and principles of color, PW, CW Doppler waveforms; and 
preliminary writing. Assessment of these skills will occ ur in this didactic course and appl ied in the clinical 
coursework.  "
DMS 206,SONOGRAPHIC INSTRUMENTATION,4," 
Students explore the mechanics of A -mode, B -mode,  M-mode, Doppler, and real time equipment. 
Accessory equipment such as cameras, transducers, phas ed, annular and linear arrays, and all types of 
hard copy documentation  instruments are investigated. Multiple methods of preventative maintenance 
and quality control are presented. Laboratory reinforces learning activities.  
Prerequisite – DMS 104 and MAT 130 or higher.  
 "
DMS 207,CEREBROVASULAR PROCEDURES,3," 
In this course, theories, techniques and testing procedures (imaging and non -imaging) of the extracranial 
and intracranial exams are covered. Topics include: different ial diagnosis; other imaging modalities; tests 
of accuracy; advanced exploration of arterial anatomy; collateral pathways, pathology and 
pathophysiology; techniques and principles of color and PW Doppler waveforms; and preliminary writing. 
Assessment of th ese skills will occur in this didactic course and applied in the clinical coursework.  
 "
