Code,Title,Hours,Description
ENGL 2250,Greco-Roman Literature II,3,"This course is a study of the early history, worship, organization, 
mission, and message of the church of the New Testament through an exegetical approach to the Acts of the 
Apostles. "
ENGL 2343,Creative Nonfiction Essays,3,"This course is a composition course that builds on writing 
competencies developed in English 1013 and ENGL 1014. The course focuses primarily on analyzing and writing 
creative nonfiction, specifically the personal essay. Instruction and content emphasize the ways that writing can (and 
often should) be both personal and persuasive. Prerequisites: English Composition I and II with a grade of C or 
higher. "
ENGL 2352,Literature for Children & Adolescents,3,"This course surveys the field of children’s literature. It 
includes an examination of effective ways to use literature with students in primary and intermediate educational 
settings. It is designed to enable students to become familiar with many books, authors, and illustrators. (Florida 
only) "
ENGL 3200,Advanced Composition,3,"This course expands on and develops student writing for academic and 
professional contexts beyond the undergraduate degree. Instruction focuses on establishing proficiency in 
communicating with specified audiences, enhanced sophistication and style in presentation of ideas, and more 
effective incorporation of appropriate scholarly research. Prerequisite: English Composition I and II with a grade of 
C or higher. "
ENGL 3310,English Language: History & Grammar,3,"This course surveys the historical development of the 
English language from its Anglo-Saxon inception through its current proliferation in world communication. 
Furthermore, the course reviews the grammatical structure and application of English within communication 
contexts. Prerequisites: English Composition I and II with a grade of C or higher;2000-level English course. "
ENGL 3313,Literary & Rhetorical Theory,3,"This course functions as an introduction to upper-level 
coursework in literature and rhetoric. The course provides an initial survey of modern critical theories relevant for 
the study of English and advanced instruction in applying critical theories to research and writing. Prerequisites: 
English Composition I and II with a grade of C or higher; 2000-level English course. "
ENGL 3350,Race & Representation in Literature & Film,3,"This course surveys and analyzes representations 
of race in literature and film. Students will consider how the narrative and cinematic gazes construct images of 
Black, Middle Eastern, Latino, and Asian characters. In-class lectures and discussions will consider how these 
groups have been presented historically in American cinema as well as how these representations have changed and 
persisted in contemporary films. Students will demonstrate understanding of key terms and critical theories through 
a research paper and in-class presentation. Selected films included in this course are Black Klansman, In the 
Heights, Wind River, and Selena. Prerequisites: English Composition I and II with a grade of C or higher. "
ENGL 3353,Rhetoric of Prophetic Black Preachers,3,"African American preaching was born out of protest, and 
by virtue of such a birth, its essential character is prophetic. Preaching, in general, is a kind of truth-telling and 
communication on behalf of God by man to humankind in a contextualized situation or event. However, telling the 
truth has not always been advantageous for black preachers; nonetheless, preach they did and truth they told without 
fear. This course will explore this disadvantage historically; also, it will pursue discussions of black preachers as 
spiritual rhetoricians who spoke truth to powers by proclaiming a certain kind of speech concerning God’s justice 
Johnson University Undergraduate Academic Catalog 2023-2024 (Approved June 20, 2023)  
Course Descriptions 
 

 
 
and mercy. Thus, the course will think of “prophetic” as a style and critical language practice more than through a 
theological lens, even though theology will, no doubt, emerge from the sermons. Students will read multiple texts 
from a myriad of black preachers (male and female) of the 19th to 21st century, like Frederick Douglas, Sojourner 
Truth, Maria W. Stewart, Malcolm X, M.L. King, Jr., and Vashti McKenzie. Prerequisites: English Composition I 
and II with a grade of C or higher. "
ENGL 3410,19th Century Russian Writers,3,"This course examines four nineteenth century Russian novelists: 
Turgenev, Dostoevsky, Tolstoy, and Chekhov. Instruction covers novel and short story genres within the Realism 
tradition. The course gives special emphasis to the spiritual experiences and psychological observations as presented 
by these authors. Prerequisites: English Composition I and II with a grade of C or higher. "
ENGL 3420,20th Century British Writers: The Inklings,3,"This course examines the lives and creative writing 
careers of three 20th century British novelists: J.R.R. Tolkien, C.S. Lewis, and Charles Williams. Instruction covers 
the Inklings’ use of the fantasy genre and emphasizes the Christian themes developed in these writers’ works. Texts 
include selections for young adults and adolescents. Prerequisites: English Composition I and II with a grade of C 
or higher. "
ENGL 3440,Shakespearean Tragedies,3,"This course examines the ten tragedies by William Shakespeare. 
Instruction includes consideration of film and stage interpretation of these plays. From an overview reading, 
discussion examines politics, love, and personal dilemma as presented in the tragedies. Prerequisite: English 
Composition I and II with a grade of C or higher. "
ENGL 3450,African Literature & Cultures,3,"This course examines how African authors represent African 
culture and experiences across time and place. This is not to say, however, that these are monolithic representations. 
Rather, students analyze texts by men and women from four broad geographic areas (North, West, East, and South) 
and several individual countries to see how specific historical, cultural, colonial, linguistic, and religious influences 
shape African literary expressions. Prerequisites: English Composition I and II with a grade of C or higher. "
ENGL 3460,Women Writers in World Literature,3,"This course examines ways that female authors represent 
and respond to issues particular to women across time and cultures. Students analyze the way context (e.g., culture, 
history) influences women writers’ choices and concerns in their writings. More specifically, students pay particular 
attention to how sex, race, and class converge to shape female authored texts about finding a voice in patriarchal 
cultures, maternity, identity, and resistance. Additionally, students read appropriate works of Feminist/Gender 
theory and analyze how these theories can be applied to the primary texts for the course. Prerequisites: English 
Composition I and II with a grade of C or higher. "
ENGL 3480,African American Literature,3,"This course examines literature by African American authors in 
several genres—slave narratives, essays, poetry, drama, and fiction—written for a variety of audiences, including 
young adults and adolescents. Students situate each work within its historical and cultural contexts and, in so doing, 
develop a better understanding of the range and scope of issues that African American authors confront in 
representing black experience in literature. Prerequisites: English Composition I and II with a grade of C or higher. "
ENGL 4310,Technical & Professional Writing,3,"This course involves advanced study of the principles and 
practices of technical and professional writing. It includes planning, organizing, and writing technical descriptions, 
instructions, proposals, and recommendation reports, as well as designing visual aids and editing. Assignments 
include individual and group projects and at least one complete technical report. Prerequisites: English Composition 
I and II with a grade of C or higher. "
ENGL 4320,Creative Writing,3,"This is a course on creative writing—creative nonfiction, poetry, prose, and 
drama—with concern for the relation of form to content, viewpoint, narrative, voice, audience, syntax, imagery, and 
diction. Students may take COMM 2998 spiritual Formation and Creativity as a substitute/equivalent for this course. 
Prerequisites: English Composition I and II with a grade of C or higher. "
ENGL 4330,Journalism,3,"Students engage in intensive, advanced writing and reporting practice for the 
development of non-fiction articles for magazines, newspapers, and other print and online publications, focusing on 
human interest writing. Topics include legal and ethical issues, freelance writing techniques, working with editors, 
multimedia additions for online features, and in-depth interviewing and reporting. Students may take COMM 2100 
Reporting for Mass Media as a substitute/equivalent for this course. Prerequisites: English Composition I and II 
with a grade of C or higher. 
Johnson University Undergraduate Academic Catalog 2023-2024 (Approved June 20, 2023)  
Course Descriptions 
 
322 
 
 "
ENGL 4340,Special Topics in Writing,3,"This course offers advanced study and practice of one of the following 
genres of writing: technical and professional, creative, or journalism. Since the topics vary, students may repeat this 
course for credit. Prerequisites: English Composition I and II with a grade of C or higher. "
ENGL 4350,Writers’ Workshop,3,"This course integrates stylistic development with production output. 
Instruction considers formal expression and offers students a chance to hone their skills in one of the following 
genres of writing: technical and professional, creative, or journalism. Prerequisites: English Composition I and II 
with a grade of C or higher; an additional English writing course.  "
ENGL 4400,Immigrant Literature,3,"This course examines how immigrant authors represent immigrant 
experiences across time and place. Students analyze texts and films by men and women from several different 
primary cultures who are writing about first as well as second-generation immigrant experiences to several 
countries. The texts included in the course explore the immigrant experience from a variety of perspectives, 
including young adult and adolescent. Additionally, students read appropriate works of theory and criticism, as well 
as analyze how these theories can be applied to the primary texts. Prerequisites: English Composition I and II with a 
grade of C or higher. "
ENGL 4450,Special Topics in Literature,3,"This course allows for the study of a genre, author, or time period 
not already represented within current course offerings. Since the content of the course will vary, the course may be 
repeated for credit. Prerequisites: English Composition I and II with a grade of C or higher. "
ENGL 4460,Literature & Theology of Grief,3,"Grief presents both a theological and a practical problem. 
Theologically, grief seems to challenge the core of the Christian claim that Christ has overcome the conditions that 
produce grief, such as death, corruption, failure, shame, and loss. Grief would not seem to have a place within the 
church, because to grieve—to mourn a loss—challenges the truth of the gospel that Christians proclaim. At the same 
time, however, Christians and all humans continue to inhabit a world in which grief remains a universal experience, 
one that presents not only an intellectual problem but an existential one: how can we cope with something that is at 
once so common and so crippling? This course takes up these questions and proceeds from two closely related 
propositions: (1) that theology provides categories and practices for addressing the problem of grief, and (2) that 
literature offers us a framework for engaging the intersection between the problem of grief and the human, lived 
experience of it. Accordingly, we will use a critical reading of important literary, theoretical and theological texts to 
begin the process of reflecting on the problems of grief and loss and to begin the process of imagining what response 
to grief might look like. We will frame this discussion throughout as an explicitly theological attempt to construct a 
vision of Christian faith and practice that emphasizes the priority of healing and wholeness. Prerequisites: English 
Composition I and II with a grade of C or higher. "
ENGL 4998/COMM 4998,Spiritual Formation & Creativity,3,"Students are equipped with a biblical 
perspective on creativity, communication, and arts, and engage in the process of creativity from a Great Commission 
perspective. Students learn how to integrate and articulate the biblical foundations underlying creative endeavors, 
demonstrate the process of creativity, and develop the means to sustain creativity. "
ENTR 3033,Entrepreneurship & Small Business Management,3,"Students will study how to turn a model or 
idea into a profitable product or service, launch a new business enterprise, and take over and manage an existing 
business. Students will develop a business plan to demonstrate their ability to synthesize their business acumen. 
Prerequisite: MGMT 3013 Principles of Management "
ENTR 4103,New Venture Creation,3,"The primary focus of this course is to identify and evaluate opportunities 
for the formation of a new venture. Topics include: industry analysis, market demands, competitive factors, idea 
positioning, customer behavior, and needs. Prerequisite: ENTR 3033 Entrepreneurship & Small Business 
Management, MKTG 3013 Marketing "
ENTR 4203,Entrepreneurial Finance,3,"This course focuses on funding opportunities for entrepreneurial 
ventures. Topics include: venture capital funding, start up financing sources, various business models and 
appropriate funding, and valuation. Prerequisite: BUSN 3053 Business Finance, ENTR 3033 Entrepreneurship & 
Small Business Management "
ENTR 4303,Entrepreneurship Growth Strategies,3,"This course addresses the growth phase of a new venture 
including managing for growth, scaling for growth, and creating growth that produces sustainability in the 
marketplace. Prerequisite: ENTR 3033 Entrepreneurship & Small Business Management, MKTG 3013 Marketing 
Johnson University Undergraduate Academic Catalog 2023-2024 (Approved June 20, 2023)  
Course Descriptions 
 

 "
EPSY 2112,Educational Psychology,3,"This course includes a study of the physical, social, emotional and mental 
development of the child from birth to adolescence. This includes the role of preschool through eighth-grade 
teachers as they work with these children. Observations and assessments of children are included in this experience. 
Special attention is directed to working with students with emotional and family problems in early childhood, 
elementary and middle schools.  "
ESED 2100,Foundations in Linguistics,3,"This course introduces students to the complexity of human language. 
It is designed to introduce material in three interrelated units, including the nature of language, the grammatical 
aspects of language, and the applied areas of language. The course focuses on issues such as how the brain and 
language are related, how language sounds are produced and formed into words and sentences, and how those words 
and sentences are used to convey meaning. The course also addresses applied areas, such as dialects of English, 
pragmatics, bilingualism, language acquisition, and language instruction. While covering these various aspects of 
language, the ways in which the content relates to education are addressed. "
ESED 3133,English as a Second Language Methods & Materials for Teacher Education,3,"This course is 
required for students seeking licensure in ESL or TESOL credentials. Students learn how to integrate language 
learning methods and subjects taught in the elementary and middle school, with special emphasis on reading, 
writing, listening, speaking, and vocabulary development. Students focus on methods and approaches used by 
educators for language instruction and effective lesson preparation using those methodologies. "
ESED 4133,"Special Topics in ESL K-12 This course is designed to assist students in integrating knowledge and 
skills they learned in their methods courses into cohesive units of study that will help children to make connections 
in their learning.  Students will research integration and learning theory as well as applying those methods to 
comprehensive teaching units.  (Prerequisites— Language Arts Methods, Science, Health and PE Methods, Social 
Studies and Bible Methods, and Reading Methods). 
ESED 5527 Student Teaching: English as a Second Language",6,"Students complete a term of student teaching 
in English as a Second Language. Prerequisite: Students must have passing PRAXIS II scores. "
EXSC 3210,Applied Exercise Anatomy & Physiology,3,"This course provides an introduction to the effects of 
exercise on major systems in the body, including cellular, skeletal, neuromuscular, cardiovascular, respiratory, 
glandular, and metabolic systems. Other factors influencing human exercise are also examined, including climate, 
altitude, weight, acute exercise stress, cardiovascular disease, and ergogenic aids. Knowledge and application of 
these scientific principles are necessary to develop peak performance in athletes and to maintain health and fitness in 
the general population. A lab component focuses on practical applications based on these studies. [ACSM-CPT, 
ACSM-GEI, ACSM-HFS, NSCA-CPT, NSCA-CSCS] "
FAMS 2013,Internal Family Dynamics,3,"Family Systems approach to the study of normative changes and non-
normative events and their impact on marriage and family relationships; attention to variations in the socio-economic 
contexts of family transitions, and to methods for reducing the negative effects of such transitions. Topics include 
social processes, conflict and communication, relationship roles and dynamics, culture and socioeconomic issues, 
impact of stress, and special needs in families, including adoptive, foster, migrant, low income, military, and blended 
families as well as those members with chronic illness and/or disabilities. "
FAMS 2203,Human Development,3,"This course provides an overview of human development in the physical, 
cognitive, social, emotional, and spiritual domains from conception to death in old age. Emphases include the 
ecological context of human development; biological and environmental influences on development; developmental 
anomalies and their impact on the individual and family; and implications of the knowledge of human development 
for Christian ministry, counseling, and family life education. "
FAMS 3102/THEO 3102,Holistic Sexuality,3,"This course is a theological and biopsychosocial-spiritual 
investigation into human sexuality. Issues discussed in this course include, though are not limited to, characteristics 
of healthy and unhealthy sexual relationships, interpersonal dynamics of sexual intimacy, gender, marriage, and 
sexual orientation. Students will learn the art of theological reflection and worldview analysis as they explore 
sexuality in both ancient and modern contexts and address human sexuality from value-respectful positions. 
Additional attention will be given to investigating attitudes, behaviors, and decision-making as an expression of their 
understanding. Prerequisite: THEO 2XXX THEO Study 1 and THEO 2303 Biblical Interpretation (not applicable 
for A.S. Health Science) 
Johnson University Undergraduate Academic Catalog 2023-2024 (Approved June 20, 2023)  
Course Descriptions 
 

 
 "
FAMS 3310,Family & Community Resource Management,3,"This course focuses on individual and family use 
of resources, including time, energy, material possessions, and environment. The roles of the church and Christian 
community are discussed, and students engage strategies for assessing and maximizing the influence of these 
resources.  "
FAMS 3410,Parent Education & Guidance,3,"Students identify and discuss how parents teach, guide, and 
influence children and adolescents, as well as the changing nature, dynamics, and needs of the parent-child 
relationship across the lifespan. Topics include significant childcare, work, media, and community issues, as well as 
communication techniques, values clarification, learning principles, disciplinary techniques, family dynamics, 
diverse family forms and functions, and a theological perspective on parenting children. Prerequisite: FAMS 2203 
Human Development or EPSY 2112 Educational Psychology.  "
FAMS 3520,Family Law & Public Policy,3,"This course examines historical and current trends in contemporary 
American society as they relate to community and family life. Significant attention is given to social and public policy 
as it intersects with issues of diversity and the impact these have on individual and family life. This course examines 
legal issues, policies, and laws influencing the well-being of families. It provides an understanding of policy processes, 
distinguishes between lobbying, policy evaluation, analysis, education, and advocacy. Students identify current law, 
public policy and initiatives, and the influence these have on services to community and family.  "
FAMS 4210,Family Life Education Methodology,3,"This course provides an understanding of the general 
philosophy and broad principles of family life education in conjunction with the ability to plan, implement, and 
evaluate such educational programs in a variety of setting (government, non-profit, faith based, etc.). An understanding 
and application of employing various strategies, educational principles, techniques and technologies, to meet the needs 
of diverse audiences are addressed. Special emphasis is given to the implementation of evidence based programs. "
FAMS 4914/PSYC 4914,Internship,3,"This internship is designed to provide students opportunities to use and 
apply the theoretical knowledge, concepts, and skills acquired in their training. Students serve 125 clock hours of 
supervised field experience, which includes a minimum number of direct service hours based on their future goals. 
Students serve with and are mentored by full-time faculty and professional practitioners in the field at a site approved 
by the instructor. Prerequisite: Senior standing. Special Considerations: Program permission required to enroll. 
Liability insurance and TBI/FBI background check required. "
FAMS 4915/PSYC 4915,Advanced Internship,3,"The Advanced Internship provides students with an additional 
125 hours of field experience beyond the basic internship. Students continue at their basic practicum site or may 
choose another site, allowing them to deepen or broaden their real-life experiences. The Advanced Internship, in 
conjunction with the concurrent seminar that incorporates individual and group supervision, helps students further 
clarify and establish goals for vocational ministry and /or graduate study. Prerequisite: FAMS 4914 Internship. 
Special Considerations: Program permission required to enroll. Liability insurance and TBI/FBI background check 
required.  "
FLED 1031,"Field Experience: School Observations (0.5). This practical field experience is designed to acquaint 
entry-level students with a variety of schools and classrooms in the Knoxville area. Students examine various 
aspects of the classroom environment, management, and teaching methods in the classrooms they visit. This 
information is shared in written and oral form with their classmates and the faculty supervisor at regular meetings. 
This course is a prerequisite for other field experiences.  
FLED 2022 Field Experience: Tutoring (0.5). This course is a one-on-one tutoring session with an at-risk child in 
partnership with Mooreland Heights Elementary and Johnson University.  
FLED 2121 Field Experience: Special Education I (0.5). This course is a semester long experience spent in a 
classroom for moderately disabled students. It is a thirty hour experience. It also includes a weekly meeting with the 
field experience coordinator to discuss their experiences and complete assigned tasks.  
FLED 2222 Field Experience: Early Childhood Learning Center (0.5). In this term-long experience, students 
spend 20 hours working in Johnson University’s Early Childhood Learning Center (ECLC). They observe classroom 
teacher instruction, prepare weekly lessons, reflect and discuss experiences with a field experience coordinator, and 
complete assigned tasks.  
FLED 2522 Field Experience: English as a Second Language Grades 6-12 (0.5). In this term-long experience, 
students spend 20 hours working in a Middle Grade/High School ESL classroom. They observe classroom teacher 
Johnson University Undergraduate Academic Catalog 2023-2024 (Approved June 20, 2023)  
Course Descriptions 
 

 
 
instruction, prepare weekly lessons, reflect and discuss experiences with a field experience coordinator, and 
complete assigned tasks.  
FLED 3310 Field Experience: Team Teaching (0.5). This course is a term-long experience spending after-school 
hours on Mondays at Bonny Kate Elementary School. Students work in teams preparing and teaching science 
lessons complete with hands-on activities, incorporate technology into lessons, reflect and discuss experiences with 
a field experience coordinator, and complete assigned tasks. 
FLED 3311 Field Experience: Team Teaching (0.5). This course is a semester-long experience spending time in a 
special education classroom working with a partner or in a small group with several special needs students. They 
will reflect and discuss experiences with the field experience coordinator, and complete assigned tasks. 
FLED 3312 Field Experience: General (0.5). Teacher Education students are placed in local schools where they 
gain classroom-related experience. See the Teacher Education Handbook for the placements required for a given 
program.  
FLED 3314 Practicum: Day in School (0.5). This course is a term-long experience for five full days at Maryville 
Christian School. Students observe classroom teacher instruction, prepare weekly lessons, reflect and discuss 
experiences with a field experience coordinator, and complete assigned tasks.  
FLED 3401 Practicum: School Music Program Elementary (0.5). This is a 30 hour practicum that takes place in 
one or more local elementary schools with a Music Education teacher. The teacher may travel to more than one 
location. Music Education candidates will observe and assist in a variety of settings at the elementary level. 
Opportunities to interact with exceptional students, disabled and gifted as well as diverse school populations are 
provided. 
FLED 3513 Practicum: Christian School (0.5). This course is a term-long experience for 30 hours in a Christian 
school classroom. Students observe classroom teacher instruction, prepare weekly lessons, reflect and discuss 
experiences with a field experience coordinator, and complete assigned tasks.  
FLED 4001 Practicum: School Music Program Secondary (0.5). This is a 30 hour practicum that takes place in 
one or more local middle or High Schools with a Music Education teacher. The teacher may travel to more than one 
location. Music Education candidates will observe and assist in a variety of settings at the middle and high school 
level. Opportunities to interact with exceptional students, disabled and gifted as well as diverse school populations 
are provided. 
FLED 4004 Practicum: English as a Second Language I (0.5). This course is a term-long experience spending 40 
hours in a public ESL classroom. Students observe classroom teacher instruction, prepare weekly lessons, reflect 
and discuss experiences with a field experience coordinator, and complete assigned tasks.  
FLED 4034 Practicum: English as a Second Language II (0.5). This course is a term-long experience spending 
40 hours in a private school ESL classroom. Students observe classroom teacher instruction, prepare weekly lessons, 
reflect and discuss experiences with a field experience coordinator, and complete assigned tasks. 
FLED 4061 Practicum: Exceptional Students (0.5). This course is a term-long experience spending 40 hours in a 
public classroom with mainstreamed ESE students. Candidates observe classroom teacher instruction, prepare 
weekly lessons, reflect and discuss experiences with a field experience coordinator, and complete assigned tasks. 
FLED 4101: Practicum: Inclusion (0.5) This course is a semester long experience in special education 
interventionist. Students will spend time in RTI2 Tier II and Tier III. They will gain experience working with 
students with an IEP in a regular classroom and in a pull-out situation. This is a 30 hour experience where students 
reflect and discuss experiences with the field experience coordinator and complete assigned tasks. 
FLED 4124 Senior Practicum (0.5). This course is a term-long experience working with literacy and reading 
activities, assessing an individual child’s reading fluency and comprehension, preparing activities, and participating 
in Math Day at Gap Creek Elementary School. Students observe classroom teacher instruction, prepare weekly 
lessons, reflect and discuss experiences with a field experience coordinator, and complete assigned tasks.  
FLED 4130 Senior Practicum Reading (0.5). The course is a 40-hour field experience in a local public school 
taken with EDUC 4111 Reading Methods. Students will observe and practice what they are studying in their course 
in the public-school classroom. 
Johnson University Undergraduate Academic Catalog 2023-2024 (Approved June 20, 2023)  
Course Descriptions 
 

 
 
FLED 4208 Practicum: Public Preschool (0.5). This course is a term-long experience spending 30 hours in a 
public preschool. Students observe classroom teacher instruction, prepare weekly lessons, reflect and discuss 
experiences with a field experience coordinator, and complete assigned tasks. 
FREN 2100 French I",3,"This course is an introduction to the French language. Students are introduced to the 
Francophone world and its culture. It is designed to equip students with the basic knowledge necessary to function in 
a French-speaking environment. Emphasis is given to basic communication sentences and vocabulary to use in 
practical and familiar contexts. Simple grammatical sentences are introduced to create a strong foundation for oral 
and written proficiency in French.  "
FREN 2200,French II,3,"This course is designed to review and expand on the knowledge acquired in French I. It 
is intended to stimulate appreciation of the role of French-speaking cultures in a global context. Emphasis is given to 
improving and increasing basic conversation and grammatical structures. Students are introduced to short reading 
passages and begin developing writing skills. Prerequisites: FREN 2100 French 1 or placement.  "
FREN 3200,French III,3,"This course is designed to increase knowledge in French linguistic tasks in order to 
build up proficiency. Emphasis is given to more meaningful conversation and more advanced grammar. Materials 
used promote the strengthening of reading and writing skills. Prerequisites: FREN 2200 French II or placement.  "
FREN 3210,French IV,3,"This course is designed to create an environment where students use the French 
language with more complex sentences. Emphasis is given to the development of reading comprehension and 
writing skills. Prerequisites: FREN 3200 French III or placement.  "
FYSC 1013,"Success, Calling, & Purpose",3,"This course provides an orientation to college life for first-year 
students at Johnson University. The course supports the adjustment of students to college life by providing guidance 
on spiritual health, physical health, time management, organization, reading for comprehension, study skills, note 
taking, test taking, stress management, relating to others, and other skills necessary for a successful college 
experience. Students will also learn about the concepts of calling, purpose, vocation, and work in order to reflect on 
their own strengths and gifts and produce a personal purpose statement and action plan. Note: must be taken in 
students’ first term at Johnson University. 
 GREK 2100 Elementary Greek I (3). Elementary Greek I introduces students to the basics of Koiné Greek 
grammar, syntax, and vocabulary, with particular reference to biblical texts (New Testament and Septuagint). Both 
this course and its follow-on, GREK 2200, develop a greater appreciation for the relation between the Greek New 
Testament and modern translations, and encourage students to explore the challenges and opportunities of 
communicating the ancient Word of God in contemporary global contexts.  "
GREK 2200,Elementary Greek II,3,"Elementary Greek II continues the introduction of GREK 2100. Students 
translate a significant biblical text (e.g. 1 John) with the aid of appropriate Greek reference tools. Both this course 
and its predecessor, GREK 2100, develop a greater appreciation for the relation between the Greek New Testament 
and modern translations, and encourage students to explore the challenges and opportunities of communicating the 
ancient Word of God in contemporary global contexts. Prerequisites: GREEK 2100 Elementary Greek I. "
GREK 3200,Intermediate Greek I,3,"This course enables students to improve their skills in translation and 
grammatical analysis, with an emphasis on translation from selected New Testament passages. Prerequisites: GREK 
2100 Elementary Greek I and GREK 2200 Elementary Greek II. "
GREK 3210,Intermediate Greek II,3,"This course enables students to continue improving their skills in 
translation and grammatical analysis, with an emphasis on translation from Greek Judeo-Christian material. Students 
also learn how to apply their skills in congregational or missional settings. Prerequisites: GREK 3200 Intermediate 
Greek I. "
GREK 5553,Greek A,3,"This introduction to the fundamentals of Greek focuses on common vocabulary, 
pronunciation, grammatical forms, elementary syntax, sentence structure, and basic translation. Students learn to use 
scholarly tools, such as Greek lexicons, and grammars.  "
GREK 5563,Greek B,3,"In this advanced course in Greek, students increase their reading vocabulary, expand 
their knowledge of Greek grammar and syntax, and further develop their translation skills. They also practice using 
scholarly tools, such as Greek lexicons, grammars, syntaxes, and commentaries. Prerequisite: GREK 5553 Greek A  
Johnson University Undergraduate Academic Catalog 2023-2024 (Approved June 20, 2023)  
Course Descriptions 
"
HEBR 2100,Elementary Hebrew I,3,"An introduction to elements of biblical Hebrew prose, including basic 
grammar, verb forms, and common vocabulary. This course and its follow-ups develop the ability to read and 
translate the Hebrew Old Testament for more insightful ministry in the contemporary world.  "
HEBR 2200,Elementary Hebrew II,3,"A continuation of the study of biblical Hebrew grammar, morphology, and 
vocabulary as introduced in Elementary Hebrew I, aiming to complete the basic preparation that students will need 
to be able to read and translate biblical Hebrew prose. Prerequisite: HEBR 2100 Elementary Hebrew I.  "
HEBR 3200,Intermediate Hebrew I,3,"Reading of selected prose texts from the Hebrew Bible in follow-up to 
Elementary Hebrew I–II, with focus on basics of Hebrew syntax and use of lexicons and other biblical Hebrew 
exegetical tools. Prerequisites: HEBR 2100 Elementary Hebrew I and HEBR 2200 Elementary Hebrew II.  "
HEBR 3210,Intermediate Hebrew II,3,"Continuation of developing proficiency in reading selected prose texts 
from the Hebrew Bible, with focus on the use of biblical commentaries and other scholarly tools which are helpful 
for doing exegesis for preaching and teaching. Prerequisite: HEBR 3200 Intermediate Hebrew I.  "
HEBR 5543,Hebrew A,3,"This introduction to the elements of Hebrew focuses on common vocabulary, 
grammatical forms, basic syntax, and sentence structure. Students learn how to use scholarly tools, such as Hebrew 
texts, lexicons, and grammars.  "
HEBR 5553,Hebrew B,3,"In this advanced course in Hebrew, students increase their reading vocabulary, expand 
their knowledge of Hebrew grammar and syntax, engage in discourse analysis, and further develop their translation 
skills. They also practice using scholarly tools, such as Hebrew texts, lexicons, grammars, syntaxes, and 
commentaries. Prerequisites: HEBR 5543 Hebrew A. "
HIST 1100,World Civilizations I,3,"This course is a survey of World Cultures and Civilizations from the 
appearance of organized societies in the Ancient Near East until 1500AD. While political, cultural and economic 
events are covered, special emphasis is placed on the appearance and spread of religious and philosophical ideas, 
including Judaism, Hinduism, Greek Philosophy, Confucianism, Buddhism, Christianity, and Islam.  "
HIST 1200,World Civilizations II,3,"This course is a survey of World Cultures and Civilizations from 1492 to 
the present. While political, cultural, and intellectual events are covered, special emphasis is placed on the effect of 
globalization on patterns of trade, religion, and migration.  "
HIST 1913,The Historian’s Craft I: Introduction to Historiography,3,"This course is an introduction to the 
scholarly discipline of history. Historiography includes the study of the theories and practice of writing history, the 
nature of historical research, major themes in historical interpretation, identifying and evaluating primary and 
secondary sources, and a basic introduction to the practice of historical research and writing.  "
HIST 2100,American History I,3,"This is a study of the social, political, economic, religious and cultural 
developments of the United States from the era of exploration and settlement through the Civil War. It focuses on 
events and processes involved in the expansion of the United States to the Pacific Ocean and leading to the Civil 
War.  "
HIST 2123,History of Christianity,3,"This is a survey of the history of Christianity from its Jewish and Greco-
Roman contexts in the first century to its global present, examining the development of the church’s theology, 
organization, spirituality, and social impact. The modern era emphasizes Stone-Campbell Movement origins and 
identity. Note: Should be taken in a student’s first two years. "
HIST 2200,American History II,3,"This is a continuation of HIST 2100. It presents the development of the 
United States from the post-Civil War Reconstruction to the present time. Its focus is on America’s modernization 
and emergence into a world leadership role.  "
HIST 2923,The Historian’s Craft II: Advanced Historiography,3,"This course builds on Historian’s Craft I, 
furthering student knowledge and practice of the scholarly discipline of history. Prerequisite: HIST 1913 The 
Historian’s Craft I: Introduction to Historiography. "
HIST 3081,History & Archaeology of Ancient Egypt,3,"This class surveys ancient Egyptian civilization by 
examining relevant geographical, historical, and archaeological data. Among other topics, the course will include a 
detailed study of references to Egypt in the Bible. We will use a variety of approaches and resources (e.g., readings, 
films, lectures, artifacts) to investigate the discipline of Egyptology.  
Johnson University Undergraduate Academic Catalog 2023-2024 (Approved June 20, 2023)  
Course Descriptions 
 
328 
 
 "
HIST 3201,World Christian History 1 (100–600),3,"This course examines the expansion and development of 
Christianity around the world from the end of the apostolic era to 600. Students analyze the expansion 
of Christianity in Asia, Africa, and Europe by exploring topics which could include the Apostolic Fathers, martyrs, 
apologists, Gnosticism, formation of the canon, Bible interpretation, monasticism, church-state relations, Jewish-
Christian relations, women, Trinitarian theology, Christology, Christian practices, Constantine, Augustine, pagan-
Christian relations, Byzantine Christianity, missions, etc. Students also learn central theological ideas of this early 
Christian era. "
HIST 3211,World Christian History 2 (600–1600),3,"This course examines the expansion, contraction, and 
development of Christianity around the world from the rise of Islam to the Protestant Reformations. Students 
analyze the development of Christianity in Asia, Africa, Europe, and the Americas by exploring topics which could 
include Muslim-Christian relations, Asian Christianity, Bible Interpretation and Genesis 1, the Crusades, 
monasticism, church-state relations, scholasticism, popular religion in the Middle Ages, Renaissance, Protestant 
Reformations, religious wars, early exploration and colonization, etc. Students also learn central theological ideas of 
the Middle Ages and Reformation. "
