code,name,credits,description
WMU 3385,Studio Management/Multimedia Law ,Three,"Students will study the basic aspects of managing a multimedia studio. This course examines intellectual 
property laws and litigation in the United States relevant to multimedia developers, performing and 
visual artists. Three hours. 
 "
WMU 3400,Worship Music Theory III ,Three,"A continuation of Music Theory II with strong emphasis on part writing, cadences, non chord tones, and 
modulation techniques. Ear training and keyboard proficiency will also be included. Prerequisite: WMU 
3100. Three hours 
 "
WMU 3510,Worship Arts Technology ,Three,"Introduction to the technological resources basic to work in the Worship Arts environment including 
lighting, audio, and video. Includes hands-on experience with MIDI and sequencing, music notation 
programs, desktop publishing, digital sound formats, as well as basic lighting design and video 
shooting/editing. Prerequisites: WMU 2600 and WMU 3100. Three hours.   
 "
WMU 3770,History of Christian Worship  ,Three,"This course provides an historical overview of Christian worship. Historical traditions and current trends 
of worship ministry will be studied, including music styles and the broader role of the arts in the local 
church. The interaction between worship and today’s culture will also be addressed. Three hours. 
 "
WMU 3840,Selected Topics in Worship Music ,Three,"Selected topics in Worship Music offered on an as-available basis. Content includes research, field 
experience, and a music product. Three hours. 
 
 
 
Grace College and Seminary Catalog | 2023- 2025 
 
Visual and Performing Arts     
 25 
 
 
 
 "
WMU 4100,Arranging ,Three,"A continuation of WMU 3100 Worship Music Theory II in which students apply concepts learned by 
working on projects in transcription (adapting music composed for one musical medium to a different 
medium), music arrangements (free treatment of pre-existing material), and composition utilizing MIDI 
keyboards and recording software. Prerequisites: WMU 2600 and WMU 3100. Three hours. 
 "
WMU 4200,Biblical Theology of Worship Arts  ,Three,"This course is a study of the biblical and theological aspects of worship. A wide spectrum of Christian 
traditions will be studied as well as the relationship of personal to corporate worship. Emphasis will be 
given to understanding how the patterns of worship found in the Bible affect every aspect of the 
worship service. Three hours. 
 "
WMU 4230,Worship Music Integrations ,Three,"Advanced level synthesis in performing, developing, producing, or presenting worship arts content or 
forms. Cross-discipline or community integration would result in performing arts evidence utilized in a 
final portfolio or public presentation. Prerequisite: permission of program director. Three hours. 
 "
WMU 4300,Advanced Studio Recording ,Three,"Provides students with the tools and hands-on experience for working in a professional recording studio. 
Students will learn microphone placement for a wide range of instruments, as well as tracking and 
mixing in Pro Tools. Students will be equipped to record a wide range of projects from live bands to 
music and film. Prerequisite: WMU 2460 Intro to Recording (formerly WMU 2450). Three hours. 
 "
WMU 4350,Musical Improvisation  ,0,"Students apply knowledge gained from Theory I and II, learning different approaches to using scales to 
improvise over chord progressions. There will be a focus on blues and jazz styles as well as 
contemporary music. Students will learn to transcribe solos from recordings. Prerequisites: WMU 2600, "
WMU 4400,Advanced Recording II ,Three,"This course builds on advanced recording, allowing students hands on experience working within a 
professional studio environment. Prerequisite: WMU 4300. Three hours. 
 "
WMU 4490,"Methods Keyboard, Voice, Guitar, Percussion ",Three,"Worship leaders and directors need to have a basic understanding of how all the instruments function in 
a worship team. Focus is on the elementary principles of playing keyboard, voice, guitar, and percussion. 
Emphasis is on development of tone production of each instrument, as well as transposition and the 
capabilities and limitations of each instrument. Prerequisites: WMU 2600 and WMU 3100. Three hours.   
 "
WMU 4550,Nashville – Contemporary Music Center ,credit,"The course of study for a Fall or Spring semester at the Contemporary Music Center (CMC) is offered 
through the Council for Christian Colleges and Universities (CCCU) GlobalEd program. A total of sixteen 
credit hours are taken on location in Nashville, TN.  All other credits in the Worship Arts major are taken 
at Winona Lake, Grace campus.  Prerequisite: Junior or Senior academic level. Sixteen hours. 
 
This fully immersive entertainment industry training ground with a faith-based world view, includes the 
choice of three music tracks: Artist, Business, or Technical. Select tracks include composing, recording, 
live event production, performing, management, promoting, and more or for more information on the 
Grace College and Seminary Catalog | 2023- 2025 
 
Visual and Performing Arts     
 26 
 
 
 
 "
WMU 4620,Senior Capstone  ,Three,"Presentation of a corporate worship service representing significant research and creative endeavor 
during the academic year preceding graduation. Presentation projects must be approved by the 
program director, department chair, and faculty adviser. Program notes must be submitted to and 
approved by the program director prior to the presentation. Student is responsible for assembling the 
necessary team to execute the live event (musicians, speakers, etc.). Prerequisites: completion of major 
course requirements and approval of department chair. Three hours. 
 "
WMU 4730,Worship Arts Internship ,Three,"An internship served under the guidance of an experienced and qualified worship arts leader in an 
approved church music program. Prerequisite: permission of program director. Three hours.  
 "
WMU 4830,Advanced Individual Studies in Worship Arts ,Three,"This advanced level worship performance or worship production-based research course focuses on an 
individual topic selected by the student. Prerequisite: completion of major course requirements, 
approval of research proposal, and permission of program director and department chair. Three hours. 
Grace College and Theological Seminary Catalog
2023-2024
School of 
Science and Engineering
Grace College and Seminary Catalog | 2023-2025 
School of Sciences and Engineering 
  "
MAT 3130,Linear Algebra ,90," CHM 1610/1620 General Chemistry I and Lab 
 
Major Requirements (90 hours): 
Math and Science Requirements (24 hours): "
MAT 1250,Calculus II ,0,MAT 2250 Calculus III 
MAT 2280,Differential Equations ,0,PHY 2240/2250 University Physics I and Lab 
MAT 3200,Probability and Statistics ,24," 
Mechanical Engineering Science (24 hours): "
MEG 2100,Statics and Mechanics of Materials ,0,MEG 2200 Dynamics 
MEG 2300,Engineering Materials ,0,MEG 2400 Electrical Science (Circuits) 
MEG 2500,Thermodynamics ,0,MEG 2600 Heat Transfer 
MEG 2700,Fluid Mechanics ,36," 
Mechanical Engineering Fundamentals (36 hours): "
MEG 1000,Engineering Service ,0,MEG 1200 Intro to Mechanical Engineering 
MEG 1400,Intro to Programming in MATLAB ,0,MEG 1900 Engineering Modeling and Tolerancing 
MEG 1950,Industrial Machining and Measurements ,0,MEG 2000 Engineering Internship 
MEG 2800,Kinematics and Linkage Design ,0,MEG 2900 Machine Component Design 
MEG 3100,Experimental Methods and Sensors ,0,MEG 3200 Control Systems 
MEG 3300,Advanced Manufacturing Processes ,0,MEG 3400 Intro to Finite Element Analysis 
MEG 4100,Senior Engineering Project ,6," 
Technical Electives – choose from the following (6 hours): "
MEG 3500,Orthopedic Biomechanics ,0,"MEG 3600 Robotics 
Grace College and Seminary Catalog | 2023-2025 
Engineering   
   4 "
MEG 1000,Engineering Service  ,for,"This course will allow the student to perform actual service using their engineering skills before 
graduation. These service activities could include a variety tasks including helping with engineering 
education in the surrounding school systems, performing engineering work for non-profits, or other 
ways to make the world a better place using their growing engineering skills.  Faculty approval is needed 
for each student’s engineering service project. A minimum recommendation for hours of service is 10. 
Zero hours. 
 "
MEG 1200,Introduction to Mechanical Engineering ,Four,"This course will give an overview of the mechanical engineering profession, introduce key skills used in 
engineering, including problem solving, the design process, and quickly give an overview of Mechanical 
engineering sciences, including an introduction into basic statics and free-body diagrams. Hands-on 
laboratory activities, such as 3D printing, digital scanning, and mechanical tensile testing, will also be 
performed in this course to give the students a well-rounded engineering introduction. Four hours. 
 "
MEG 1400,Introduction to Programming in MATLAB ,Two,"This course will begin with an introduction to basic programming including programming structure, 
variables, and loops. In this course, programming will be used to perform mechanical functions using 
various equipment. This course will also include an introduction to numerical methods for solving 
engineering problems. Prerequisite: MAT 1230/1240. Two hours. 
 "
MEG 1900,Engineering Modeling and Tolerancing ,Three,"This course will teach graphical communication for engineers starting with the fundamentals of 
engineering drawings, then work significantly on 3D model creation, and end with an introduction to 
geometric dimensioning and tolerancing. Emphasis is placed on developing the skills needed for 
mechanical engineering design. Each student will design their own part or mechanism based on given 
design inputs. This project will be built in MEG 1950. Three hours. 
 "
MEG 1950,Industrial Machining and Measurements ,Three,"This course will begin with machine shop safety and then teach the processes of running a manual mill 
and lathe and other common machining tools. Students will use these new skills to build their device 
that was designed in MEG 1900. The second portion of the course will focus on measurements of 
parameters key to design and manufacturing. Prerequisite: MEG 1900. Three hours. 
 "
MEG 2000,Engineering Internship  ,One,"This course will include journaling, self and manager assessments, and other activities during an 
internship working as a professional engineer. One hour. 
 
 
 
Grace College and Seminary Catalog | 2023-2025 
Engineering   
   6 "
MEG 2800,Kinematics and Linkage Design  ,Three,"Study of the kinematics and kinetics of machines and mechanisms. Topics will include displacement, 
velocity, and acceleration analysis of linkage and cam mechanisms by graphical and analytical methods. 
Also covered are synthesis of mechanisms, gears, and gear trains. Design projects are normally required. 
Prerequisites: MAT 2280 and MEG 2200. Three hours. 
 "
MEG 2900,Machine Component Design ,Three,"Review of stress/strain and force/deflection relationships. Introduction to static and dynamic failure 
theories. Discussion of design and selection of some machine elements. Design projects are normally 
required. Prerequisite: MEG 2100. Three hours. 
 "
MEG 3100,Experimental Methods and Sensors ,Three,"This lecture and lab course will develop a basic understanding of the use of common engineering 
sensors in experimental and design applications. Introduction to sensors for the measurement of 
temperature, pressure, stress/strain, position and flow is accompanied by application of sensor signals 
including signal conditioning, filtering, and acquisition and processing. Experimental planning and 
execution fundamentals are covered as well as data analysis and statistical evaluation of experimental 
data. Computer based acquisition and analysis methods are directly experienced by hands on lab work. 
Prerequisite: MEG 2400. Three hours. 
 "
MEG 3200,Control Systems ,Three,"This course will present the following concepts: basic elements of continuous-time signals and systems; 
differential equation models of systems; Fourier series and Fourier transforms; system response to 
periodic inputs; Laplace transforms; transfer functions and stability analysis. The final project typically 
involves design and tuning of an electromechanical and/or electrohydraulic motion control system. 
Prerequisites: MEG 1400, MEG 2400, and MAT 2280. Three hours. 
 "
MEG 3300,Advanced Manufacturing  ,Two,"This course will introduce different advanced manufacturing methods and introduce the students to 
CNC machining. Tools will be introduced that can be used to analyze and improve manufacturing 
processes. Prerequisite: MEG 1950. Two hours. 
 "
MEG 3400,Introduction to Finite-Element Analysis  ,Three,"Introduction to linear and nonlinear programming, and numerical techniques for solving mechanical 
problems. Introduction to finite-element analysis and optimization to engineering design using 
commercial software such as ANSYS. Prerequisites: MEG 2300 and MEG 2900. Three hours. 
 "
MEG 4100,Senior Engineering Project  ,Three,"As part of the capstone engineering experience, students will work on projects that may be derived from 
industry sources or other integrated design problems. Projects may be undertaken by individuals or 
teams, and may be interdisciplinary or specific to an area of concentration. Prerequisite: Senior standing 
in the engineering program. Three hours each in consecutive fall and spring semesters, six hours total. 
 
 
 
 
Grace College and Seminary Catalog | 2023-2025 
Engineering   
   7 "
MEG 2100,Statics and Mechanics of Materials ,Four,"This course combines statics and mechanics of materials into one course. The statics subjects 
covered include; force and moment vectors, equivalent systems, trusses, frames, and machines, 
equilibrium of particles and rigid bodies, static friction, centroids and moments of inertia. The 
mechanics of materials section teaches the concepts of stress and strain in engineering 
materials. Subjects in this section include: Hooke’s law and Poisson’s relationship; analysis of 
axial, shear, flexural, and torsional stresses; combined stress; shear and moment distribution in 
beams; and deformation of structural members. Co-requisites: PHY 2240/2250 and MAT 1250. 
Four hours. 
 "
MEG 2200,Dynamics  ,Three,"Introduction to particle and rigid-body kinematics and kinetics; motion analysis; work-energy and 
momentum methods; engineering applications; and, vibrations. Prerequisites: MEG 2100. Three hours. 
 "
MEG 2300,Engineering Materials  ,Three,"Introduction to common materials utilized in engineering applications. Content covered includes the 
primary types of materials (metals, ceramics, and polymers) and composites. Students learn the 
fundamental principles of material structure and relationship to properties as well as manufacture and 
application of those materials to engineering solutions. Prerequisite: CHM 1610/1620. Three hours. 
 "
MEG 2400,Electrical Science (Circuits)  ,Four,"Analysis of linear networks, AC and DC electric circuits that involve multiple independent sources, using 
Ohm's Law, Kirchhoff's voltage and current laws, Thévenin's and Norton's theorems, and the maximum 
power transfer theorem. Also explored is the steady state and transient behavior of capacitors and 
inductors. Includes laboratory experience. Prerequisite: MAT 1230/1240. Four hours. 
 "
MEG 2500,Thermodynamics  ,Four,"Introduction to the thermal-fluid sciences, beginning with a classical macroscopic study of energy, its 
forms and transformations, and the interactions of energy with matter, including properties of pure 
substances, the first and second laws of thermodynamics, entropy, power cycles, vapor cycles, 
refrigeration cycles, gas mixtures, and chemical reactions. Prerequisite: MEG 2100. Four hours. 
 "
MEG 2600,Heat Transfer  ,Three,"Introduction to heat transfer by conduction, convection, and radiation and applications to heat 
exchanges, ducts and pipes, surfaces, phase exchanges, and mass transfer, and heat transfer processes. 
Prerequisites: MEG 2500 and MEG 2700. Three hours. 
 "
MEG 2700,Fluid Mechanics ,Three,"Introduction to Newtonian fluids; statics, continuity, momentum, and energy principles; dimensional 
analysis and similarity; laminar and turbulent, incompressible, internal and external, viscous flow; 
boundary layers; and the basics of pumps and fluid systems. Prerequisites: MAT 2250 and MEG 2200. 
Three hours. 
 
 
Grace College and Seminary Catalog | 2023-2025 
Engineering   
   8 "
MEG 3500,Orthopedic Biomechanics ,Three,"The human musculoskeletal system will be investigated and then evaluated as a mechanical system. 
Experimental data and research documents will be used to solve different biomechanical problems.  An 
introduction to orthopedic implant science will also be included. Prerequisite: MEG 2900. Three hours. 
 "
MEG 3600,Robotics ,Three,"This course provides an overview of robot mechanisms, dynamics, and intelligent controls. Topics 
include planar and spatial kinematics, and motion planning; mechanism design for manipulators and 
mobile robots, multi-rigid-body dynamics, 3D graphic simulation; control design, actuators, and sensors. 
Training and certification on a KUKA 6-axis educational robot will be included in this course. 
Prerequisites: MEG 2800, MEG 3100, and MEG 3200. Three hours. 
Grace College and Theological Seminary Catalog
2023-2024
Department of 
Science and Mathematics
Grace College and Seminary Catalog | 2023-2025 
 
Science and Mathematics    
  1 "
BIO 2310,Biochemistry ,0,BIO 3110 Cellular & Molecular Biology  
BIO 4210,Genetics ,0,"BIO 4010 Senior Seminar 
Grace College and Seminary Catalog | 2023-2025 
 
Science and Mathematics    
  7 "
BIO 2210,Nutrition ,25," BIO 2410/2420 Plant Biology and Lab 
 BIO 2510/2520 Animal Biology and Lab 
 BIO XXX Development Biology 
 BIO 4110/4120 Microbiology and Lab 
 
Neurobiology Concentration (25 hours) 
 PSY 2170 Abnormal Psychology 
 CHM 3610 Analytical & Environmental Chemistry 
 BIO 3210/3220 Advanced Anatomy & Physiology I and Lab 
 NSM I Neuroscience Foundations 
 NSM II Biological Basis of Perception & Movement 
 NSM III Cognitive Neuroscience 
 NSM IV Clinical Neuropathology 
 BIO Pathophysiology 
 
 
Electives - choose from the following (15-16 hours): "
MAT 3200,Probability and Statistics ,10," 
Other Science Electives (10 hours): 
Choose 10 additional hours from approved BIO/ENV/SCI/EXS courses, at least one of which must 
include a lab. 
 
NOTE: Course description for PSY can be found in the Department of Behavioral Science course listings. NSM 
courses are offered via partnership with LCMC and course descriptions can be found here. Additional fees may 
apply to partnership programs. For more information, please contact the Director of Partnership Programs at 
staton@grace.edu. 
 
 
 
Grace College and Seminary Catalog | 2023-2025 
 
Science and Mathematics    
  8 "
SCI 1140,Physical Science Survey ,0,SCI 1160 Theories of Origins 
BIO 2310,Biochemistry  ,0,BIO 3110 Celular & Molecular Biology 
BIO 4210,Genetics ,36," 
Professional Education Requirements (36 hours): "
SED 1000,Teaching School in America ,0,SED 2200 The School Age Child 
SED 2210,Responsive and Differentiated Instruction ,0,SED 2400 Teaching Exceptional Learners 
SED 2500,Teaching in a Pluralistic Society ,0,SED 2600 Teaching and Learning 
SED 3600,Teaching in the Middle and High School Setting ,0,SED 4660 Methods of Teaching Secondary Science 
SED 4700,The Moral Practitioner ,0,"SED 4900 Student Teaching and Seminar 
Grace College and Seminary Catalog | 2023-2025 
 
Science and Mathematics    
  9 "
MAT 1120,College Algebra ,22,"PSY 1100 Introduction to Psychology 
 
Required Grace College courses (22 hours): "
BIO 3710,Pathophysiology ,0,MAT 3200 Probability and Statistics 
BIO 2210,Nutrition ,0,"BIO 2310 Biochemistry 
Grace College and Seminary Catalog | 2023-2025 
 
Science and Mathematics    
  11 "
BIO 3110,Cellular & Molecular Biology  ,0,BIO 3210/3220 Advanced Anatomy & Physiology I and Lab 
BIO 4210,Genetics ,15," 
PUBLIC HEALTH MINOR 
The public minor complements many existing healthcare-related majors, including health and behavioral 
sciences. Students enrolled in this minor will learn about practices for assessing health indicators and 
outcomes, as well as the social and psychological factors that influence healthcare reform. Two of the 
courses in this minor are delivered remotely via partner institutions (LCMC).       
 
Required Public Health Courses (15 hours): "
BIO 2240,Introduction to Public Health ,0,PHM 3100 Epidemiology 
PHM 3200,Health Services ,0,MAT 3200 Probability and Statistics 
PSY 3550,Health Psychology ,3,"  
Elective – choose one of the following (3 hours): "
SOC 1100,Introduction to Sociology ,0,BIO 2200 Nutrition 
ENV 3410,Environmental Ethics ,0,ENV 4010 Senior Seminar 
ENV 4210,Genetics ,0,ENV 4830 Field Education 
ENV 4810,Field Education ,0,ENV 4820 Field Education 
ENV 4830,Field Education ,0,ENV 3950 Various Au Sable Institute courses 
MAT 3200,Probability and Statistics ,19,"SCI 1160 Theories on Origins 
 
Required Chemistry minor (19 hours):  "
CHM 3610,Environmental Analytical Chemistry ,0," 
NOTE: MAT 3200 Probability and Statistics and POS 3010 State and Local Government are the required courses for 
the additional general education portion of the Bachelor of Science degree. 
 
 
Grace College and Seminary Catalog | 2023-2025 
 
Science and Mathematics    
  13 "
CHM 3610,Environmental Analytical Chemistry  ,0,ENV 2110/2120 General Ecology and Lab 
ENV 3410,Environmental Ethics ,0, 
ENV 4020,Senior Seminar ,0,ENV 4830 Field Education 
POS 2010,Introduction to Political Thought ,0, 
PSY 1100,Introduction to Psychology  ,7," 
Electives – choose from the following (at least 7 hours): "
ENV 3950,Various Au Sable Institute courses  ,0,ENV 4210 Genetics 
ENV 4810,Field Education ,0,ENV 4820 Field Education 
ENV 4830,Field Education  ,0,POS 3010 State and Local Government  
SCI 1160,Theories of Origins ,credit,"SOC 2140 Social Problems 
 
A minor is required for this major. 
 
NOTE: MAT 3200 Probability and Statistics and POS 3010 State and Local Government are the required courses for 
the additional general education portion of the Bachelor of Science degree. 
 
 
ENVIRONMENTAL STUDIES MAJOR 
Bachelor of Science and Bachelor of Arts 
The requirement to complete a major in environmental studies is 43 credit hours in a variety of scientific 
disciplines. A minor is also required. This major replaces some specialized science classes with courses 
that will provide the student with business and organizational tools.  For example, the environmental 
studies major might be for those students wishing to focus on grass-roots advocacy or not-for-profit 
organizations. 
 
Grace College and Seminary Catalog | 2023-2025 
 
Science and Mathematics    
  14 "
BUS 1010,Foundations of Business ,0,CHM 1010/1020 Introduction to Chemistry and Lab 
ENV 3410,Environmental Ethics ,0,"ENV 4010 Senior Seminar 
 "
ENV 4830,Field Education ,0,PSY 1100 Introduction to Psychology 
POS 2010,Introduction to Political Thought ,10," 
Electives – choose from the following (at least 10 hours): "
CHM 3610,Environmental Analytical Chemistry  ,0,ENV 2410/2420 Plant Biology and Lab  
GEO 1010,World Geography ,0,GEO 3300 Geography of North America 
POS 2200,Intro to American Government  ,0,POS 3100 International Relations 
SCI 1160,Theories of Origins  ,credit,"SOC 2140 Social Problems 
 
A minor is required for this major. 
 
NOTE: MAT 3200 Probability and Statistics and POS 3010 State and Local Government are the required courses 
for the additional general education portion of the Bachelor of Science degree. 
 
ENVIRONMENTAL SCIENCE MINOR 
The requirement for a minor in environmental science is 18 credit hours in science. 
Required Courses (14 hours):  "
ENV 3410,Environmental Ethics ,4," 
Elective – choose one of the following (4 hours): "
EXS 1000,Introduction to Exercise Science  ,0,EXS 1050 Dynamics of Fitness  
EXS 2000,Kinesiology  ,0,EXS 2250 Care and Prevention of Injuries  
EXS 3000,Strength and Conditioning  ,0,EXS 3600 Fitness Assessment  
EXS 3750,Exercise Cardiology ,0,EXS 4180 Exercise Physiology  
EXS 4240,Biomechanics  ,19," 
Science Requirements (19 hours): "
BIO 2210,Nutrition  ,0,"Grace College and Seminary Catalog | 2023-2025 
 
Science and Mathematics    
  16 "
EXS 2150,Practicum in Exercise Science ,0,EXS 4840 Research in Exercise Science 
EXS 4930,Internship in Exercise Science ,credit," 
A minor is required with this major concentration. 
 
FITNESS AND NUTRITION CONCENTRATION (73 credit hours) 
Exercise Science Foundation (30 hours): "
EXS 1000,Introduction to Exercise Science  ,0,EXS 1050 Dynamics of Fitness  
EXS 2000,Kinesiology  ,0,EXS 2130 Principles of Coaching 
EXS 2250,Care and Prevention of Injuries ,0,EXS 1500 Group Fitness Instruction  
EXS 3000,Strength and Conditioning  ,0,EXS 3300 Special Topics in Fitness 
EXS 3600,Fitness Assessment  ,22,"EXS 4180 Exercise Physiology  
 
Nutrition Requirements (22 hours): "
CHM 1010,Introduction to Chemistry ,0,CHM 1020 Introduction to Chemistry Lab 
BIO 2210,Nutrition ,0,BIO 2240 Public Health 
EXS 2300,Nutrition for Life Cycles ,0,EXS 3200 Nutrition for Sport Performance 
EXS 3240,"Diet, Planning, and Counseling ",7,"EXS 3280 Nutrition for Health and Disease 
 
Experiential Learning Requirements (7 hours): "
EXS 2150,Practicum in Exercise Science ,0,EXS 4840 Research in Exercise Science 
EXS 4930,Internship in Exercise Science ,8," 
Science Requirements (8 hours): "
PSY 3300,Sports Psychology ,0,PSY 3550 Health Psychology 
PSY 3600,Motivation and Emotion ,0," 
No minor is required for this major concentration. 
Grace College and Seminary Catalog | 2023-2025 
 
Science and Mathematics    
  17 "
EXS 1000,Introduction to Exercise Science  ,0,EXS 1050 Dynamics of Fitness  
EXS 2000,Kinesiology  ,0,EXS 2250 Care and Prevention of Injuries  
EXS 3000,Strength and Conditioning  ,0,EXS 3600 Fitness Assessment  
EXS 4180,Exercise Physiology  ,35,"EXS 4240 Biomechanics  
 
Science Requirements (35 hours): "
BIO 2210,Nutrition  ,0,BIO 3210/3220 Advanced Anatomy & Physiology I and Lab  
EXS 2150,Practicum in Exercise Science ,0,EXS 4840 Research in Exercise Science 
EXS 4930,Internship in Exercise Science ,6," 
Suggested Electives* - choose from the following (6 hours): "
EXS 2130,Principles of Coaching  ,0,PSY 2170 Abnormal Psychology 
PSY 2360,Child and Adolescent Psychology ,0,PSY 2280 Life Span Development 
PSY 3300,Sport Psychology ,0,PSY 3550 Health Psychology 
PSY 3600,Motivation and Emotion ,0,SMT 2050 Risk Management 
SOC 3230,Substance Use and Abuse ,credit," 
*Suggested electives are intended to enhance the major, but are not part of the required 66 credit 
hours. 
 
No minor is required for this major. 
 
NOTE: Course descriptions for SMT can be found in the Department of Sport Management course listings. Course 
descriptions for PSY and SOC can be found in the Department of Behavioral Science course listings. 
 
 
NUTRITION MINOR 
The requirement for a minor in nutrition is 22 credit hours in nutrition-focused courses. 
Grace College and Seminary Catalog | 2023-2025 
 
Science and Mathematics    
  18 "
BIO 2240,Public Health ,0,EXS2050 Principles of Nutrition 
EXS 2300,Nutrition for Life Cycles ,0,EXS 3200 Nutrition for Sports Performance 
EXS 3240,"Diet, Planning and Counseling ",credit,"EXS 3280 Nutrition for Health and Disease 
 
MATHEMATICS PROGRAM 
Mathematics is the language we use to understand God’s creation, as well as a necessary skill associated 
with solving real world problems. The mathematics program is built on four areas of strength: 
education, pure math, actuarial science, and applied math. The math education - secondary major (B.A. 
and B.S. degree options) prepares students for a career in teaching. The mathematics major can prepare 
students for graduate school or be used to fortify studies in other disciplines such as business or science. 
The math and computing major prepares students for technology related jobs. The actuarial science 
major prepares students for jobs as an actuary or a statistician. The mathematics program offers a 
variety of liberal arts and support courses to serve other majors.  
Program Learning Outcomes 
1. Students will be able to use mathematical and logical language. 
2. Students will be able to do the mathematics necessary for their respective majors. 
3. Students will be able to apply mathematics to solve problems. 
Liberal Arts Electives 
Every student at Grace College pursuing a Bachelor of Science degree is required to take a math class 
(certain majors have specific requirements). The mathematics program offers a variety of courses to fit 
the interests of each student: Quantitative Reasoning, College Algebra, Probability and Statistics, 
Calculus, etc.  
MAJORS AND MINORS IN THE MATHEMATICS PROGRAM 
ACTUARIAL SCIENCE MAJOR 
Bachelor of Science and Bachelor of Arts 
The actuarial science major equips students for statistics based careers. A total of 46 credit hours in 
mathematics, business, and information systems courses are required. 
Math Requirements (25 hours): "
MAT 1250,Calculus II  ,0,MAT 2250 Calculus III 
MAT 2280,Differential Equations ,0,MAT 4200 Probability Theory 
MAT 4320,Mathematical Statistics ,0,MAT 4020 Senior Seminar in Mathematics 
MAT 4930,Mathematics Internship ,0," 
Grace College and Seminary Catalog | 2023-2025 
 
Science and Mathematics    
  19 "
ACC 2110,Financial Accounting ,0,ACC 2120 Managerial Accounting 
BUS 2230,Economics ,0,BUS 3050 Business Spreadsheet Applications 
FIN 3240,Corporate Finance ,0,FIN 4610 Advanced Financial Mathematics 
ISM 1150,Introduction to Computer Science ,credit," 
A minor is required for this major. 
 
NOTE: Course descriptions for ACC, BUS, FIN, and ISM can be found in the Department of Business course listings. 
COMPUTER SCIENCE MAJOR 
Bachelor of Science and Bachelor of Arts 
The requirement for a major in Computer Science includes 61 credit hours in a variety of computing and 
math disciplines. Specific Computing Science courses are offered online through a partnership with the 
Lower Cost Models for Independent Colleges Consortium (LCMC). A total of 3 concentrations are offered 
for students to pursue a more specific area of interest in Computer Science. 
 
Computing Core (21 hours):  "
CSI 1150,Introduction to Computer Science ,0,ISM 2700 HTML and Web Development 
ISM 2150,Object Oriented Programming ,0,ISM 3410 Database Programming 
ISM 4110,Client-Side Programming ,0,ISM 4120 Application Development Lab 
ISM 4930,Internship ,13," 
Math Core (13 hours): "
MAT 1230,Calculus 1 ,0,MAT 1240 Calculus 1 Lab 
MAT 1250,Calculus 2 ,0,MAT 2200 Discrete Mathematics 
MAT 3130,Linear Algebra ,15," 
Computer Science (15 hours): 
CSM I Introduction to C 
CSM II Inside of a Microprocessor 
CSM III Data Structures 
CSM IV Algorithms 
CSM V Product Development 
 
Concentrations – select one of the following (12 hours): 
 
Concentration 1: Business "
BUS 1010,Foundations of Business ,0,"ACC 2110 Financial Accounting 
Grace College and Seminary Catalog | 2023-2025 
 
Science and Mathematics    
  20 "
MGT 2430,Principles of Management ,0,"ISM 4800 ISM Senior Seminar 
 
Concentration 2: Pre-Data Science "
MAT 4200,Probability Theory ,0,MAT 4320 Mathematics Statistics 
MAT 4830,Research in Mathematics ,0,"MAT 4020 Math Senior Seminar 
 
Concentration 3: Application Development "
ISM 4800,ISM Senior Seminar ,credit,"3 Electives from the following LCMC Courses: 
 
CSC I Internet History, Technology and Security 
 
CSC IV Web Development 
 
CSC V Application Development I 
 
CSC VI Application Development II 
 
NOTE: Course descriptions for BUS, ACC, ISM and MGT can be found in the Department of Business course listings. 
CSC and CSM courses are offered via partnership with LCMC and course descriptions can be found here. Additional 
fees may apply to partnership programs. For more information, please contact the Director of Partnership 
Programs at statoncg@grace.edu. 
 
 
MATHEMATICS MAJOR 
Bachelor of Science and Bachelor of Arts 
The mathematics major equips students for a broad variety of applications. Students will learn how 
mathematics is the language we use to describe and predict God’s creation. The program places a strong 
focus on practical problem solving with applications in business and the sciences. A total of 47-48 credit 
hours in mathematics, physics, and related courses are required. 
 
Math and Science Requirements (35 hours): "
ISM 1150,Introduction to Computer Science ,0,MAT 1230/1240 Calculus I and Lab 
MAT 1250,Calculus II ,0,MAT 2100 Introduction to Proofs 
MAT 2200,Discrete Mathematics ,0,MAT 2250 Calculus III 
MAT 2280,Differential Equations ,0,MAT 3130 Linear Algebra 
MAT 4020,Senior Seminar in Mathematics ,0,MAT 4930 Mathematics Internship 
MAT 4140,Abstract Algebra ,0,"MAT 4280 Real Analysis 
Choose two from the following: 
Grace College and Seminary Catalog | 2023-2025 
 
Science and Mathematics    
  21 "
MAT 3280,College Geometry ,0,MAT 3930 Independent Study in Mathematics 
MAT 4200,Probability Theory ,0,MAT 4280 Real Analysis or 4140 Abstract Algebra 
MAT 4320,Mathematical Statistics ,0,"MAT 4830 Research in Mathematics 
Choose one of the following: "
BUS 3050,Business Spreadsheet Applications ,0,ISM 2150 Object-Oriented Programming 
ISM 1150,Introduction to Computer Science ,0,MAT 1230/1240 Calculus I and Lab 
MAT 1250,Calculus II ,0,MAT 2250 Calculus III 
MAT 2100,Introduction to Proofs ,0,MAT 2200 Discrete Mathematics 
MAT 3130,Linear Algebra ,0,MAT 3280 College Geometry 
MAT 4020,Senior Seminar in Mathematics ,6,"MAT 4140 Abstract Algebra  
 
Electives - choose from the following (6 hours):   "
MAT 2280,Differential Equations ,0,MAT 3930 Independent Study in Mathematics 
